DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20070614,37.00,39.26,37.00,38.85,662600,0
20070615,39.10,39.10,38.25,38.80,1150000,0
20070618,39.05,39.10,37.15,37.15,853600,0
20070619,37.15,37.70,36.10,36.70,951000,0
20070620,36.83,36.83,35.33,35.95,1721800,0
20070621,36.00,36.70,35.75,36.70,537700,0
20070622,37.00,39.50,36.80,38.95,250300,0
20070625,39.10,40.00,38.25,39.25,203200,0
20070626,39.31,39.80,39.20,39.50,119600,0
20070627,39.50,39.80,39.00,39.75,270700,0
20070628,39.75,39.95,39.50,39.60,151200,0
20070629,39.60,39.60,39.60,39.60,0,0
20070702,39.20,40.63,38.98,39.97,2008000,0
20070703,39.98,40.61,39.08,39.66,3752325,0
20070705,39.60,41.28,39.24,39.45,4277800,0
20070706,39.40,39.92,38.80,39.82,3950700,0
20070709,39.55,40.35,38.48,40.20,4351287,0
20070710,39.50,39.50,38.48,39.00,5483200,0
20070711,39.00,39.25,38.70,39.06,5964800,0
20070712,38.95,39.06,38.31,39.01,4094400,0
20070713,38.30,39.89,38.00,39.47,2064600,0
20070716,38.00,39.85,37.07,39.30,2514800,0
20070717,39.02,39.50,38.27,38.86,3913400,0
20070718,36.95,38.86,36.60,37.94,4909400,0
20070719,38.04,38.45,37.63,38.10,2078400,0
20070720,38.10,38.18,37.87,38.03,3406800,0
20070723,35.10,39.00,35.10,38.91,2164500,0
20070724,38.72,39.22,38.13,38.40,2119000,0
20070725,38.25,38.57,38.00,38.47,2421500,0
20070726,38.00,38.30,36.72,37.56,3630300,0
20070727,36.00,38.13,35.73,36.95,2912900,0
20070730,36.40,36.45,35.58,36.05,2915500,0
20070731,36.05,36.08,35.70,35.82,2148800,0
20070801,34.92,36.00,34.76,35.22,3771700,0
20070802,34.61,35.50,34.09,35.27,2519100,0
20070803,35.10,35.43,35.00,35.09,2445000,0
20070806,35.20,35.32,34.98,35.15,3896600,0
20070807,34.85,35.38,34.00,34.85,2624200,0
20070808,32.09,35.47,32.09,34.74,3355761,0
20070809,34.30,34.77,33.62,33.73,2058526,0
20070810,33.73,33.73,32.38,32.81,6034514,0
20070813,33.00,33.25,32.39,32.99,3860000,0
20070814,33.13,33.25,32.12,32.45,6021869,0
20070815,32.53,33.24,32.50,32.96,4280447,0
20070816,32.06,33.25,32.00,33.04,4133279,0
20070817,33.90,35.23,33.50,35.10,3026504,0
20070820,34.87,35.98,34.60,34.95,1948772,0
20070821,33.90,34.97,33.85,34.67,2257583,0
20070822,34.75,35.34,34.30,34.86,2233000,0
20070823,35.25,35.53,34.87,35.36,3054100,0
20070824,35.28,37.00,35.10,36.27,2105000,0
20070827,36.20,36.56,35.40,35.47,1431130,0
20070828,34.95,35.63,34.90,35.12,2243700,0
20070829,35.32,35.50,34.81,35.36,1615900,0
20070830,35.08,35.97,34.63,34.96,1590000,0
20070831,34.53,35.55,34.00,34.87,2286900,0
20070904,34.87,35.02,34.30,34.91,1909737,0
20070905,34.50,34.77,33.95,34.69,2133000,0
20070906,32.00,36.69,32.00,35.23,3414700,0
20070907,34.80,34.81,33.15,33.50,1869400,0
20070910,33.41,33.95,33.17,33.20,2340000,0
20070911,33.27,33.46,32.60,33.04,1921100,0
20070912,32.82,33.19,32.40,32.56,2867900,0
20070913,33.01,33.22,32.65,32.89,2351800,0
20070914,32.68,33.69,32.63,33.06,2744500,0
20070917,32.80,33.31,32.59,33.14,2246100,0
20070918,33.03,34.99,32.62,33.59,2236900,0
20070919,34.00,34.59,32.54,33.07,13839200,0
20070920,33.07,33.66,32.80,33.46,1814900,0
20070921,33.86,33.97,33.18,33.45,2627700,0
20070924,33.53,33.71,33.03,33.39,1549200,0
20070925,33.33,33.77,33.14,33.77,1516500,0
20070926,34.25,35.35,34.22,34.54,3838200,0
20070927,34.74,35.75,34.54,35.18,2099800,0
20070928,35.02,35.53,34.85,35.43,1689100,0
20071001,35.70,36.64,34.93,36.28,2717400,0
20071002,36.00,36.25,35.72,35.95,3089200,0
20071003,35.96,36.00,35.25,35.66,2326900,0
20071004,35.66,36.47,34.92,35.90,3080200,0
20071005,35.85,36.89,35.81,36.05,2334300,0
20071008,36.23,37.33,36.18,37.12,1454000,0
20071009,37.12,37.33,36.57,36.73,1705100,0
20071010,36.39,37.12,36.33,36.84,5578600,0
20071011,37.00,37.24,36.35,36.65,2205100,0
20071012,36.49,37.09,36.37,37.00,1053752,0
20071015,37.15,37.43,36.81,36.97,1559500,0
20071016,37.00,37.20,36.58,36.99,1650944,0
20071017,37.10,37.50,36.60,36.90,3160400,0
20071018,36.77,36.93,36.65,36.88,1985200,0
20071019,36.82,36.92,36.06,36.24,2757200,0
20071022,35.89,36.30,35.27,35.68,2174900,0
20071023,35.90,36.10,35.00,35.12,1272900,0
20071024,35.10,35.10,33.89,34.56,1403600,0
20071025,34.64,34.65,33.77,34.04,1674200,0
20071026,34.28,34.49,33.48,33.70,1261800,0
20071029,33.94,34.60,33.87,34.38,1365500,0
20071030,34.25,35.54,34.08,35.00,1200900,0
20071031,34.95,35.76,34.73,35.67,1849800,0
20071101,35.62,36.00,35.02,35.17,1795700,0
20071102,34.75,35.74,34.75,35.37,1401800,0
20071105,35.23,35.23,33.54,33.76,1604456,0
20071106,33.76,33.77,32.65,33.77,1189300,0
20071107,33.36,33.48,32.55,32.99,3030334,0
20071108,33.02,33.38,32.85,33.14,3261424,0
20071109,32.64,33.22,31.77,32.57,3085063,0
20071112,32.45,32.61,31.31,31.36,1948018,0
20071113,31.38,33.41,31.36,32.35,1823124,0
20071114,32.61,33.06,32.47,32.50,2809193,0
20071115,32.31,33.15,31.98,33.10,2679621,0
20071116,34.87,35.86,34.11,35.02,6458797,0
20071119,34.73,35.78,34.73,35.05,4377080,0
20071120,35.04,35.36,34.66,35.20,2640607,0
20071121,34.84,35.55,34.55,35.01,2227035,0
20071123,35.17,35.43,34.79,35.43,662117,0
20071126,35.36,35.95,34.48,34.64,2325786,0
20071127,34.75,35.01,34.06,34.48,4715234,0
20071128,34.67,35.96,34.28,35.69,3414130,0
20071129,35.51,36.82,35.39,36.60,1798066,0
20071130,36.67,37.45,36.37,37.39,2650474,0
20071203,37.01,37.62,37.01,37.26,2246953,0
20071204,36.96,37.26,36.67,36.80,1435935,0
20071205,37.07,37.07,36.40,36.80,2212850,0
20071206,36.79,37.97,36.72,37.63,1866010,0
20071207,37.62,37.81,37.07,37.42,1468835,0
20071210,37.45,37.49,36.60,37.38,1351546,0
20071211,37.36,37.89,36.43,36.51,2054415,0
20071212,37.24,37.44,36.55,37.14,1974875,0
20071213,36.88,37.37,36.54,36.96,2044868,0
20071214,37.04,37.09,36.25,36.54,1398835,0
20071217,36.31,37.00,36.10,36.53,3536222,0
20071218,36.72,37.68,36.42,36.81,2270000,0
20071219,37.00,37.30,36.54,36.80,1409037,0
20071220,36.99,37.02,36.30,36.58,1987236,0
20071221,37.04,38.14,36.86,37.28,3072226,0
20071224,36.96,38.09,36.96,37.94,512089,0
20071226,37.46,38.46,37.46,37.97,971860,0
20071227,37.82,38.12,37.00,37.45,1529271,0
20071228,37.82,38.14,37.02,37.80,1393288,0
20071231,37.61,37.75,36.81,37.13,1213827,0
