DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,31.88,32.00,30.06,30.19,16250,0
20010103,31.25,37.13,30.50,37.13,56189,0
20010104,32.00,33.13,29.88,30.69,175115,0
20010105,30.75,30.94,28.75,28.88,248977,0
20010108,29.00,29.44,26.75,27.50,19512,0
20010109,27.25,29.00,27.25,29.00,0,0
20010110,28.50,30.19,27.94,30.00,14523,0
20010111,30.00,31.50,29.81,31.50,0,0
20010112,31.50,32.44,31.19,32.06,160825,0
20010115,32.06,32.06,32.06,32.06,0,0
20010116,32.06,32.44,31.94,32.25,23986,0
20010117,33.25,33.38,32.69,32.69,11973,0
20010118,32.50,32.81,32.13,32.50,9752,0
20010119,32.44,32.44,31.75,32.19,113349,0
20010122,32.19,32.19,32.19,32.19,0,0
20010123,34.06,36.13,34.00,35.38,23962,0
20010124,35.00,35.94,34.75,34.94,30379,0
20010125,34.13,36.06,34.13,35.75,228524,0
20010126,35.25,35.75,34.56,35.00,187033,0
20010129,36.78,38.09,35.63,37.34,582200,0
20010130,38.09,38.09,36.00,37.41,0,0
20010131,36.32,37.80,36.00,37.48,5874600,0
20010201,37.00,37.16,36.00,37.15,5748700,0
20010202,37.01,37.90,35.85,35.85,10421000,0
20010205,34.16,35.40,34.16,34.87,950900,0
20010206,35.55,35.80,34.56,34.80,869500,0
20010207,34.70,35.79,34.70,35.36,557900,0
20010208,35.35,35.40,34.65,34.91,1253800,0
20010209,34.91,35.18,33.28,33.42,734000,0
20010212,33.67,34.64,32.15,34.45,91102000,0
20010213,33.95,34.20,33.00,33.64,1180400,0
20010214,34.14,34.22,33.25,33.62,1450200,0
20010215,33.59,34.20,33.06,33.98,1412400,0
20010216,34.63,34.63,32.76,32.93,56377400,0
20010219,32.93,32.93,32.93,32.93,0,0
20010220,32.93,33.85,32.76,32.88,1543300,0
20010221,32.88,32.88,31.64,31.69,1312300,0
20010222,31.60,31.80,31.02,31.04,547300,0
20010223,30.60,31.50,29.45,31.29,1495700,0
20010226,31.65,33.00,31.62,32.81,668700,0
20010227,32.12,32.70,31.80,32.08,685500,0
20010228,32.02,32.13,30.95,31.11,1548900,0
20010301,31.80,32.28,30.74,31.25,13408700,0
20010302,31.40,33.65,30.50,33.60,16805500,0
20010305,33.35,33.40,32.59,32.59,740100,0
20010306,33.30,33.85,33.28,33.75,1360600,0
20010307,33.85,34.75,33.60,34.49,326600,0
20010308,34.45,34.45,33.65,33.96,622000,0
20010309,34.10,34.10,32.68,33.06,847800,0
20010312,33.05,33.05,31.21,31.22,980500,0
20010313,31.00,31.10,30.55,30.88,882200,0
20010314,29.25,29.99,29.02,29.56,1168100,0
20010315,30.00,30.46,29.72,29.76,5457800,0
20010316,29.65,29.65,28.20,28.69,1359000,0
20010319,28.50,28.69,28.20,28.50,7857400,0
20010320,28.98,31.25,28.55,28.69,1425600,0
20010321,28.70,28.84,27.37,27.38,1094500,0
20010322,27.48,27.48,26.00,26.70,1303900,0
20010323,27.00,27.80,27.00,27.64,1027000,0
20010326,27.64,27.99,27.37,27.70,1557700,0
20010327,27.75,27.98,27.31,27.93,3740200,0
20010328,27.40,27.75,26.73,27.04,909200,0
20010329,27.04,27.95,26.30,27.21,1879500,0
20010330,27.15,27.60,27.00,27.25,4778800,0
20010402,27.19,27.28,26.52,26.56,779100,0
20010403,26.63,26.63,25.12,25.26,804400,0
20010404,25.95,26.14,25.41,25.71,2783500,0
20010405,25.99,27.45,25.99,27.02,962100,0
20010406,26.15,26.39,25.15,25.69,553100,0
20010409,26.10,26.72,25.70,26.09,555600,0
20010410,26.34,28.15,26.30,28.15,919900,0
20010411,28.10,29.05,26.38,27.19,1216400,0
20010412,27.19,27.19,26.00,27.00,1783200,0
20010416,27.15,27.35,26.25,26.30,2381400,0
20010417,26.25,27.02,25.95,26.89,611800,0
20010418,28.13,29.81,28.01,29.65,1923600,0
20010419,28.62,29.95,28.62,29.30,1231400,0
20010420,29.50,30.00,29.23,29.50,1407900,0
