DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.89,17.05,16.22,16.33,0,0
20010103,16.14,16.95,16.14,16.72,8040,0
20010104,16.61,16.64,15.19,15.53,0,0
20010105,15.45,15.53,15.11,15.11,8364,0
20010108,15.03,15.53,15.03,15.33,13658,0
20010109,15.31,15.83,15.25,15.50,0,0
20010110,15.61,15.86,15.47,15.61,0,0
20010111,15.55,15.61,15.00,15.11,5990,0
20010112,15.17,15.17,14.47,14.83,11523,0
20010115,14.83,14.83,14.83,14.83,0,0
20010116,14.97,15.19,14.95,15.17,13086,0
20010117,15.28,15.39,15.03,15.11,119970,0
20010118,15.19,15.19,14.86,15.11,6327,0
20010119,15.09,15.09,14.55,14.78,8825,0
20010122,14.78,14.78,14.78,14.78,0,0
20010123,15.22,15.64,15.19,15.50,7686,0
20010124,15.50,15.89,15.39,15.78,5669,0
20010125,15.89,16.14,15.64,15.81,0,0
20010126,15.69,15.89,15.59,15.89,0,0
20010129,16.25,16.39,15.83,16.04,0,0
20010130,16.25,16.49,15.55,16.33,0,0
20010131,15.81,15.81,15.40,15.42,992700,0
20010201,15.53,15.78,15.00,15.29,1174275,0
20010202,15.30,15.66,15.13,15.42,0,0
20010205,15.42,15.73,15.35,15.59,474300,0
20010206,15.80,15.80,14.91,15.01,1641825,0
20010207,15.11,15.33,15.11,15.19,0,0
20010208,15.31,15.45,15.13,15.21,1496025,0
20010209,15.29,15.29,14.91,15.11,0,0
20010212,15.20,15.79,15.20,15.75,3172275,0
20010213,16.00,16.22,15.73,15.77,1328625,0
20010214,15.77,15.90,15.58,15.63,0,0
20010215,15.31,15.38,15.12,15.33,922050,0
20010216,15.49,15.69,15.38,15.55,549675,0
20010219,15.55,15.55,15.55,15.55,0,0
20010220,15.73,15.73,15.00,15.15,709425,0
20010221,15.37,15.51,14.91,14.98,768825,0
20010222,15.05,15.13,14.82,15.05,732150,0
20010223,15.07,15.09,14.87,14.95,1528425,0
20010226,14.94,15.26,14.90,15.26,360675,0
20010227,15.55,15.98,15.33,15.81,4719150,0
20010228,16.00,16.11,15.31,15.47,985050,0
20010301,15.60,15.98,15.60,15.77,9834075,0
20010302,15.87,16.40,15.86,16.12,1313100,0
20010305,16.14,16.27,15.90,16.09,612000,0
20010306,15.80,16.25,15.80,16.19,941850,0
20010307,16.19,16.31,16.07,16.15,12236625,0
20010308,16.14,16.30,16.03,16.13,774675,0
20010309,16.13,16.29,16.02,16.09,5038650,0
20010312,16.13,16.43,15.91,15.99,2038275,0
20010313,16.05,16.09,15.78,15.99,1578825,0
20010314,15.78,15.98,15.65,15.73,12139650,0
20010315,15.85,16.13,15.73,15.98,985950,0
20010316,15.90,16.07,15.81,15.82,1842300,0
20010319,15.82,15.98,15.78,15.94,2906100,0
20010320,16.00,16.14,15.87,15.89,2915775,0
20010321,15.98,16.05,15.86,15.91,19361475,0
20010322,15.82,15.95,15.49,15.83,1730475,0
20010323,15.87,16.29,15.79,16.03,17035650,0
20010326,16.31,16.65,16.13,16.30,862650,0
