DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,29.60,29.73,28.80,29.00,0,0
20010103,29.00,29.00,27.89,28.69,1145800,0
20010104,28.45,29.49,28.39,29.03,23526300,0
20010105,28.90,28.90,27.55,27.64,769400,0
20010108,27.56,27.99,26.72,27.05,521300,0
20010109,27.15,27.15,26.10,26.40,722900,0
20010110,26.41,27.06,26.26,26.80,1631600,0
20010111,26.85,28.25,26.77,28.17,0,0
20010112,28.15,28.25,27.75,28.02,1207200,0
20010115,28.02,28.02,28.02,28.02,0,0
20010116,28.00,28.05,27.60,28.00,1259100,0
20010117,27.99,28.20,27.82,28.00,0,0
20010118,28.00,28.00,27.65,27.90,540500,0
20010119,27.89,27.90,26.45,26.69,958700,0
20010122,26.69,26.69,26.69,26.69,0,0
20010123,27.47,27.65,27.01,27.14,594200,0
20010124,27.25,27.80,27.20,27.55,21003000,0
20010125,27.70,27.74,27.10,27.52,0,0
20010126,27.48,27.90,27.16,27.68,0,0
20010129,29.41,30.09,28.00,30.09,3674200,0
20010130,28.00,31.34,28.00,29.66,1763900,0
20010131,29.20,29.65,29.16,29.65,1292900,0
20010201,29.50,29.60,29.20,29.55,0,0
20010202,29.50,30.29,29.41,29.97,0,0
20010205,30.01,30.11,29.50,29.86,1585500,0
20010206,29.75,30.24,29.50,30.17,580500,0
20010207,30.15,30.30,29.75,30.09,226500,0
20010208,30.04,30.62,30.01,30.51,784600,0
20010209,30.26,30.26,28.90,29.84,5703000,0
20010212,29.81,30.30,29.70,29.72,736500,0
20010213,29.75,30.00,29.60,29.99,786100,0
20010214,29.95,29.95,29.19,29.19,0,0
20010215,29.30,29.75,29.25,29.60,894800,0
20010216,29.35,29.35,28.88,29.29,498800,0
20010219,29.29,29.29,29.29,29.29,0,0
20010220,29.45,29.80,29.25,29.60,7009800,0
20010221,29.65,29.65,28.47,28.52,1137300,0
20010222,28.40,28.45,26.60,27.00,1621100,0
20010223,26.40,27.05,26.01,27.00,1573500,0
20010226,27.25,28.95,27.24,28.68,1697800,0
20010227,28.60,28.75,28.20,28.57,509300,0
20010228,28.75,28.76,27.66,27.90,650400,0
20010301,27.89,27.91,26.99,27.20,376700,0
20010302,27.25,27.80,27.00,27.12,670300,0
20010305,27.11,28.10,26.92,28.05,49669700,0
20010306,28.30,28.40,27.80,27.88,288800,0
20010307,27.95,28.06,27.41,28.03,4393500,0
20010308,28.29,28.37,27.79,28.00,613100,0
20010309,27.85,27.85,26.87,27.10,4353300,0
20010312,27.15,27.20,26.10,26.12,958700,0
20010313,26.35,26.35,25.10,25.35,709800,0
20010314,24.90,24.90,23.35,24.01,1532900,0
20010315,24.20,24.75,24.00,24.20,774600,0
20010316,23.35,23.75,22.20,22.65,1341400,0
20010319,22.75,22.80,21.16,21.94,2061400,0
20010320,22.10,22.17,21.30,21.33,709500,0
20010321,21.50,22.35,20.56,20.80,1218300,0
20010322,20.00,20.10,19.25,19.85,2169400,0
20010323,19.90,21.50,19.90,21.43,1954400,0
20010326,21.43,23.10,21.43,22.47,4538200,0
20010327,22.30,22.51,21.46,22.00,1399000,0
20010328,22.00,22.20,21.62,22.10,651700,0
20010329,22.00,22.50,22.00,22.40,2517900,0
20010330,22.35,22.60,21.89,22.49,578100,0
20010402,22.41,22.44,21.77,22.00,4580000,0
20010403,21.70,21.70,20.45,20.97,1511200,0
20010404,20.80,22.10,20.80,21.80,792900,0
20010405,21.93,22.99,21.91,22.85,767500,0
20010406,22.85,22.95,22.21,22.29,1174500,0
20010409,22.29,22.68,22.09,22.55,11605300,0
20010410,22.54,22.56,20.80,21.30,2266000,0
20010411,21.30,21.60,21.00,21.00,1631500,0
20010412,20.95,21.30,20.87,21.28,1853100,0
20010416,21.28,21.44,20.89,21.05,7601500,0
20010417,21.05,21.71,21.05,21.70,858800,0
20010418,22.08,23.99,22.08,22.95,1013200,0
20010419,22.95,23.19,22.73,23.13,12534000,0
20010420,23.28,23.48,22.56,22.75,3441300,0
20010423,22.90,22.90,22.25,22.46,378200,0
20010424,22.45,23.02,22.39,22.58,913400,0
20010425,22.58,23.02,22.42,22.74,565000,0
20010426,22.90,23.70,22.79,23.27,877100,0
20010427,24.75,24.75,23.50,24.42,116064000,0
20010430,26.15,27.00,25.76,26.36,18619300,0
20010501,26.75,26.79,26.46,26.57,1717000,0
20010502,26.80,27.10,26.55,26.99,8378400,0
20010503,27.00,27.00,25.40,25.60,4537800,0
20010504,25.61,26.35,25.61,26.24,6303100,0
20010507,26.25,26.50,26.20,26.26,1315500,0
20010508,26.30,26.70,26.05,26.65,386500,0
20010509,26.40,26.41,26.00,26.21,2219600,0
20010510,26.21,26.70,26.20,26.61,254000,0
