DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20111208,26.0600,27.7800,25.7590,26.5500,414197,0
20111209,27.9300,28.0000,26.7000,27.9100,693212,0
20111212,28.2800,28.2800,27.0000,27.4500,393101,0
20111213,28.5300,28.5300,27.0100,27.5000,441793,0
20111214,28.1900,28.1900,26.8500,27.1200,413200,0
20111215,27.8700,29.1000,27.6000,28.3300,1137857,0
20111216,29.9200,29.9200,28.0000,28.4600,948626,0
20111219,28.6900,29.4600,28.4080,28.9700,1047511,0
20111220,29.5000,30.6200,29.4700,30.2500,1885355,0
20111221,30.2500,30.2500,30.2500,30.2500,0,0
20111222,27.1200,27.6000,23.9900,24.5300,4852854,0
20111223,24.7100,27.1400,24.5000,26.0200,2571113,0
20111227,25.3600,26.1000,24.6300,25.9400,2873197,0
20111228,25.2500,25.9800,24.9400,25.7700,1930049,0
20111229,25.5400,25.6600,24.7900,24.8200,2229056,0
20111230,24.9700,25.5500,24.6400,25.2100,1765050,0
20120103,26.1500,27.3500,26.1050,26.6300,3693394,0
20120104,25.8200,26.0900,25.4100,25.6800,1657099,0
20120105,24.5700,25.8200,24.5700,25.5200,1399364,0
20120106,25.5200,26.0200,25.1700,25.5700,1462261,0
20120109,25.7400,26.7700,25.6500,26.2500,1965044,0
20120110,26.7300,28.2400,26.5900,27.7500,3789368,0
20120111,26.6900,28.2200,26.5600,27.7900,1773698,0
20120112,28.5200,29.1700,28.4000,28.4600,2003991,0
20120113,28.2200,29.7700,27.9300,29.5100,1975500,0
20120117,29.5800,29.8000,28.9100,28.9900,3139112,0
20120118,28.6900,29.4300,28.5200,29.0300,1196733,0
20120119,29.1000,30.8850,29.0200,30.3300,2710165,0
20120120,30.4200,30.4900,29.8200,30.4000,1297285,0
20120123,30.5400,30.7900,30.2300,30.3800,2370992,0
20120124,30.1400,30.7500,29.9700,30.6900,1244197,0
20120125,30.5500,32.3300,30.5500,31.4900,2343608,0
20120126,31.4800,31.9400,30.4600,31.0500,1872643,0
20120127,30.3900,31.4600,30.3500,31.2400,1224492,0
20120130,30.9600,31.8400,30.6400,31.6400,890012,0
20120131,30.8400,33.0400,30.8400,32.9100,1224648,0
20120201,33.1100,35.1700,33.0800,35.0600,3602504,0
20120202,35.2800,35.6000,33.8300,34.8800,2437302,0
20120203,35.0700,35.9300,35.0700,35.3800,2904580,0
20120206,35.3500,35.7500,35.0600,35.1500,1900247,0
20120207,35.2800,35.4800,34.8200,34.8400,2010804,0
20120208,34.7800,34.9700,33.0200,34.3400,2938589,0
20120209,28.2800,29.8500,27.9900,29.3400,12218650,0
20120210,29.0200,30.8900,28.6500,30.0400,3611037,0
20120213,30.0700,30.1300,28.5000,28.5900,2194207,0
20120214,28.7000,28.7880,26.9290,27.6300,4051928,0
20120215,27.8000,30.1000,27.5200,29.2800,4907783,0
20120216,29.2700,30.6500,28.7300,30.4000,2545534,0
20120217,30.5000,30.9400,29.9500,30.7000,1908088,0
20120221,30.6100,30.7400,30.1200,30.6700,2215863,0
20120222,30.9500,30.9500,29.8500,30.0000,3238094,0
20120223,30.0600,30.6900,29.5600,30.5900,2028415,0
20120224,30.1900,32.0000,30.1900,31.8000,1903875,0
20120227,31.3800,32.0800,31.1400,31.9100,1332992,0
20120228,32.0900,33.4900,32.0000,32.3100,2407989,0
20120229,32.3200,32.4300,31.6700,32.2300,1207933,0
20120301,31.8900,32.8800,31.0900,32.6200,2635571,0
20120302,32.3700,33.0900,32.0400,32.4500,1635335,0
20120305,32.2900,32.4099,31.8100,31.9700,647896,0
20120306,31.5000,31.8000,30.8000,31.4100,1032364,0
20120307,31.5000,31.6600,30.9100,31.0700,1477932,0
20120308,31.2000,31.7900,31.1400,31.2600,1150152,0
20120309,31.3000,31.3499,30.5600,30.7000,701582,0
20120312,30.7300,31.0600,30.5000,30.6900,1489874,0
20120313,30.9200,30.9900,30.2500,30.4800,2115345,0
20120314,30.4000,31.0000,30.2300,30.9900,1225848,0
20120315,31.1400,32.5400,30.9250,32.4700,2287436,0
20120316,32.5100,34.9200,31.9900,34.0000,4046053,0
20120319,33.8000,34.1500,33.8000,34.0000,848575,0
20120320,33.4600,34.2900,33.4600,34.0900,1060464,0
20120321,34.1700,34.4000,33.3500,33.7700,1310820,0
20120322,33.5100,33.7600,33.0200,33.2500,1002258,0
20120323,33.0100,33.3600,32.8108,33.2700,524116,0
20120326,33.3100,34.5000,32.8600,34.2950,2178588,0
20120327,34.3000,36.0500,33.9000,35.2800,2866813,0
20120328,35.1500,35.7300,34.0800,34.5700,1223385,0
20120329,34.2500,35.1775,33.9200,35.1600,1435109,0
20120330,35.2800,36.8600,35.2700,35.6700,3035939,0
20120402,35.6200,37.7800,35.0400,37.3700,3361064,0
20120403,37.4200,37.5900,36.5400,36.5900,1829317,0
20120404,36.4100,36.8000,35.8000,36.2500,1633165,0
20120405,36.0400,36.9325,35.8500,36.2300,2233921,0
20120409,35.5600,35.8300,35.1600,35.5000,1096667,0
20120410,35.4500,35.5600,34.4700,34.5800,1135426,0
20120411,35.0100,35.4125,34.7400,34.7850,1010237,0
20120412,34.8400,35.4700,34.7500,35.1000,1154059,0
20120413,35.0600,35.3599,34.3900,34.5000,554852,0
20120416,34.6300,34.8400,33.7400,33.8300,906976,0
20120417,34.1600,35.1800,33.9800,35.0000,1911104,0
20120418,34.7800,35.6000,34.7500,35.4400,923596,0
20120419,35.3300,36.4300,35.1600,35.2200,1048496,0
20120420,35.3500,35.6600,34.9400,35.0200,1225963,0
20120423,34.7200,34.7500,33.7500,33.9400,3264874,0
20120424,33.7900,34.2000,33.2300,33.3800,909421,0
20120425,33.7300,34.1000,33.5300,33.6900,1175868,0
20120426,33.7400,34.5100,33.2700,34.3800,1913668,0
20120427,36.2400,37.8500,35.8800,36.8700,5855074,0
20120430,36.4600,37.5400,36.4000,37.5100,2449034,0
20120501,36.3800,37.8900,36.0700,36.5300,4084814,0
20120502,43.2500,44.4600,42.0800,42.6300,7456543,0
20120503,42.6300,43.5000,40.2400,40.9000,3501229,0
20120504,39.9900,40.6900,39.7500,40.2000,3483116,0
20120507,39.8000,40.9800,39.8000,40.9700,3020606,0
20120508,40.6900,41.3000,39.4000,41.2000,2284972,0
20120509,40.5400,41.0800,40.1000,40.6800,1053311,0
20120510,41.1900,41.7000,40.4500,40.7900,1533975,0
20120511,40.5700,42.0500,40.5000,41.7300,1490669,0
20120514,41.4000,42.5700,41.0100,41.6400,1305265,0
20120515,41.8100,43.0900,41.4700,42.6500,2557345,0
20120516,42.9300,43.8400,42.7200,43.6400,3079538,0
20120517,43.6900,43.7300,40.7300,41.0300,2480564,0
20120518,41.5700,41.5900,39.8100,40.6600,3219893,0
20120521,40.8700,42.6300,40.3300,42.1700,2172208,0
20120522,42.3300,44.2240,41.9900,42.6300,2267425,0
20120523,42.2100,45.8200,41.9100,45.1500,3126823,0
20120524,45.0400,45.3200,44.2500,44.4000,1631092,0
20120525,44.5300,45.2300,44.5150,45.0000,2129819,0
20120529,45.8000,45.8000,44.3900,45.2600,1555174,0
20120530,44.8800,44.8800,42.7100,43.1600,2058295,0
20120531,43.4800,43.8499,42.1400,42.8800,2473958,0
20120601,41.6100,41.8000,39.9200,41.0200,2339923,0
20120604,41.1600,41.6200,40.1200,41.4900,1508226,0
20120605,41.2100,42.2100,40.4400,41.0900,1300574,0
20120606,40.8600,43.8100,40.8600,42.9900,2160068,0
20120607,44.0000,44.0000,41.5900,41.6700,1853693,0
20120608,42.0100,43.1500,41.5600,43.0200,1971246,0
20120611,44.4600,44.8600,42.5300,42.9400,2259816,0
20120612,43.0400,45.0700,42.8000,45.0180,2106014,0
20120613,44.4900,45.3100,43.3100,43.4300,1330716,0
20120614,43.6300,44.5670,42.7000,44.0500,940084,0
20120615,44.1800,44.4500,43.5000,44.3800,1788622,0
20120618,44.1400,45.4100,43.7700,44.9100,1442909,0
20120619,45.0000,45.1200,43.6300,44.2400,1829747,0
20120620,44.1000,44.1000,42.7400,43.2900,1355011,0
20120621,43.5300,43.8483,42.3500,43.0100,969946,0
20120622,43.4600,46.0900,43.3700,45.5300,2789853,0
20120625,44.7600,45.3900,43.9800,44.0700,1131968,0
20120626,44.0500,44.8790,43.9500,44.0100,877822,0
20120627,44.3600,45.3500,43.8800,44.4200,993218,0
20120628,43.9700,44.2600,42.1800,43.5800,1202178,0
20120629,44.7400,46.3000,44.1300,44.6900,1899610,0
20120702,44.7300,47.0000,44.7200,46.0000,1809704,0
20120703,46.0200,46.1700,44.7000,46.0500,560705,0
20120705,46.0900,47.4400,45.7100,46.2700,1501641,0
20120706,45.8400,46.5400,45.3550,46.3600,880176,0
20120709,46.2700,46.6900,44.9500,45.4400,925602,0
20120710,45.7000,45.8100,43.7600,44.7600,1229700,0
20120711,44.9600,45.4700,43.9800,44.2800,920730,0
20120712,43.7900,44.5400,43.2600,43.8800,1540926,0
20120713,44.0100,46.9500,43.4900,45.8500,2270112,0
20120716,45.9100,46.2446,44.4400,46.1500,1002754,0
20120717,47.0000,47.0300,45.3700,45.5200,1759113,0
20120718,45.2800,46.0700,45.2800,45.4200,805675,0
20120719,45.4200,47.8100,44.7500,45.1000,2607963,0
20120720,45.3300,46.4000,44.8100,44.9000,2200809,0
20120723,44.1500,46.0100,43.0600,45.6100,2360657,0
20120724,46.2500,46.3800,43.1400,43.4700,4115661,0
20120725,36.1300,37.4500,35.0050,36.1800,9045916,0
20120726,36.7650,37.0100,34.0300,35.0400,6632217,0
20120727,35.5700,36.6300,35.1200,35.4100,3019689,0
20120730,35.5200,36.1800,35.2520,36.0100,2581034,0
20120731,36.1700,37.6000,35.9900,37.4100,3138791,0
20120801,37.4700,37.8200,36.3050,36.5700,2690417,0
20120802,36.2000,37.5000,35.5800,36.2100,1660050,0
20120803,36.5700,37.0300,35.9100,36.6800,2287045,0
20120806,36.6700,38.3900,36.5000,38.0100,1940170,0
20120807,38.4500,39.0000,38.2400,38.6600,2053291,0
20120808,37.0800,37.6900,36.1000,36.7700,4016533,0
20120809,36.9200,37.1200,36.1000,36.1800,1633702,0
20120810,36.2600,36.5400,35.0500,35.1000,3802174,0
20120813,35.2700,35.2900,32.8000,33.5200,9381860,0
20120814,33.7600,33.9300,32.2800,33.1600,5752005,0
20120815,33.2000,34.7200,32.5100,33.9600,4073689,0
20120816,33.8900,34.3000,33.1400,33.8500,1982660,0
20120817,33.6600,33.7350,32.3700,33.4500,3034622,0
20120820,33.2700,33.9500,32.7600,33.8400,1837875,0
