DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20040402,40.77,42.75,40.77,42.75,2789300,0
20040405,42.75,42.75,42.75,42.75,0,0
20040406,42.75,42.75,42.75,42.75,0,0
20040407,42.75,42.75,42.75,42.75,0,0
20040408,42.75,42.75,42.75,42.75,0,0
20040412,42.85,43.31,42.62,42.99,3496100,0
20040413,43.09,43.24,41.90,41.90,3191700,0
20040414,42.18,42.18,40.96,41.22,3275400,0
20040415,41.30,41.86,40.90,41.85,3354300,0
20040416,41.85,42.99,41.78,42.70,3631200,0
20040419,42.59,42.89,42.25,42.85,2163300,0
20040420,42.86,42.88,42.00,42.32,2898800,0
20040421,42.40,42.40,41.85,42.20,2664000,0
20040422,42.25,43.24,42.00,42.90,3015700,0
20040423,42.91,42.91,42.27,42.60,2891200,0
20040426,42.58,42.80,42.15,42.55,2339300,0
20040427,42.85,43.15,42.70,42.81,2084100,0
20040428,42.70,42.76,42.00,42.25,2727000,0
20040429,41.85,42.54,40.88,41.86,6098600,0
20040430,41.89,42.13,40.67,40.67,2102900,0
20040503,40.50,41.32,40.50,41.21,2704600,0
20040504,41.33,41.75,40.64,41.00,3107700,0
20040505,41.40,41.40,40.77,40.98,3537600,0
20040506,40.80,41.07,40.34,40.37,2354400,0
20040507,40.00,40.48,39.98,40.23,2660900,0
20040510,39.75,40.00,39.19,39.80,3180100,0
20040511,39.80,40.45,39.80,40.27,2284600,0
20040512,39.96,40.90,39.88,40.80,3873200,0
20040513,40.20,40.65,40.00,40.15,2594400,0
20040514,40.15,40.48,39.82,40.23,1835200,0
20040517,39.75,40.63,39.26,39.81,1438200,0
20040518,39.80,40.04,39.71,39.90,1747000,0
20040519,39.96,40.15,39.15,39.53,2775100,0
20040520,39.53,39.53,38.98,39.18,1601600,0
20040521,39.43,39.97,39.35,39.76,1773700,0
20040524,39.94,39.94,39.36,39.52,1235300,0
20040525,39.34,39.97,39.14,39.88,1602500,0
20040526,39.75,39.97,39.50,39.73,3263800,0
20040527,39.72,40.05,39.56,39.72,1932400,0
20040528,39.70,39.85,39.45,39.68,2420500,0
20040601,39.70,40.00,39.43,39.97,2025700,0
20040602,40.00,40.61,40.00,40.55,2177400,0
20040603,40.45,40.75,40.13,40.71,2134400,0
20040604,40.75,40.88,40.30,40.46,1646500,0
20040607,40.55,41.25,40.54,41.24,2454300,0
20040608,40.77,40.99,40.66,40.80,2157000,0
20040609,40.75,40.86,40.34,40.41,1356200,0
20040610,40.70,41.38,40.68,41.30,2813900,0
20040614,41.21,41.40,40.51,40.79,1612700,0
20040615,40.99,41.39,40.98,41.27,1919900,0
20040616,41.38,41.50,41.10,41.15,1556000,0
20040617,41.02,41.23,40.56,41.10,2014600,0
20040618,40.70,41.53,40.67,41.27,2055700,0
20040621,41.25,41.40,40.69,40.87,1350600,0
20040622,40.65,40.99,40.25,40.90,2009000,0
20040623,40.90,41.00,40.29,40.95,3532600,0
20040624,40.90,41.10,40.56,40.90,2620200,0
20040625,40.75,41.59,40.75,41.59,5987600,0
20040628,41.59,41.75,40.77,40.80,3022100,0
20040629,40.85,40.88,40.36,40.45,1649500,0
20040630,40.35,40.60,40.09,40.54,1992300,0
20040701,40.70,40.70,39.58,39.70,3168700,0
20040702,39.52,39.71,39.10,39.61,2964600,0
20040706,39.02,39.41,38.81,39.34,3510400,0
20040707,39.10,39.23,38.94,39.19,3277600,0
20040708,39.19,39.19,38.56,38.68,1957000,0
20040709,38.69,38.97,38.62,38.72,1747700,0
20040712,38.82,39.00,38.55,38.82,1565000,0
20040713,38.99,39.12,38.88,39.11,1074300,0
20040714,39.11,39.23,38.77,38.95,1591800,0
20040715,38.95,39.11,38.63,38.83,4196500,0
20040716,38.95,39.00,38.30,38.30,2557800,0
20040719,38.31,38.49,37.77,38.00,2152700,0
20040720,38.00,38.00,36.71,37.73,3558400,0
20040721,37.75,37.99,37.00,37.00,2149300,0
20040722,37.00,37.00,36.16,36.55,3019000,0
20040723,35.50,36.35,34.19,35.66,7400700,0
20040726,36.30,36.80,36.04,36.68,4759000,0
20040727,36.88,37.70,36.88,37.40,3832500,0
20040728,37.15,37.46,36.85,37.15,2117500,0
20040729,37.15,37.30,36.71,36.80,2434500,0
20040730,36.79,37.09,36.69,37.07,1259100,0
20040802,37.12,37.12,36.20,36.62,1719000,0
20040803,36.71,37.17,36.51,37.16,2798600,0
20040804,36.75,36.95,36.20,36.48,2191300,0
20040805,36.00,36.25,34.70,34.75,3952700,0
20040806,34.00,34.06,33.39,33.86,5553300,0
20040809,33.37,33.94,33.05,33.77,2900300,0
20040810,33.77,34.26,33.77,34.23,3386600,0
20040811,34.00,34.13,33.64,33.99,1721300,0
20040812,33.73,33.80,32.82,33.00,3044000,0
20040813,32.85,32.97,32.31,32.94,3209400,0
20040816,32.94,33.68,32.92,33.58,2178600,0
20040817,33.58,34.64,33.40,34.03,3924900,0
20040818,33.78,34.10,33.74,34.02,2035400,0
20040819,35.00,35.45,34.49,34.51,3297600,0
20040820,34.45,34.85,34.42,34.73,1758200,0
20040823,34.80,34.80,34.06,34.15,1977200,0
20040824,34.40,34.40,33.93,34.16,1547000,0
20040825,34.25,34.70,34.02,34.62,1407300,0
20040826,34.77,34.77,34.26,34.26,1465500,0
20040827,34.30,34.77,34.21,34.75,3057000,0
20040830,34.79,34.90,34.53,34.75,2099700,0
20040831,34.77,34.84,34.63,34.69,2406200,0
20040901,34.69,34.70,33.98,33.99,2723700,0
20040902,34.00,34.39,33.60,34.35,2990400,0
20040903,34.59,34.78,34.27,34.32,1147300,0
20040907,34.32,34.97,34.23,34.38,2510300,0
20040908,34.34,34.50,34.04,34.04,2205300,0
20040909,34.10,34.10,33.29,33.70,1817200,0
20040910,33.83,33.85,33.48,33.69,1897100,0
20040913,33.55,33.97,33.46,33.95,2146500,0
20040914,33.97,35.09,33.90,34.38,1701100,0
20040915,34.39,35.16,33.46,34.12,3371500,0
20040916,34.37,34.98,34.31,34.84,2541700,0
20040917,35.00,35.35,34.89,35.18,3384100,0
20040920,34.95,35.11,34.27,34.56,1703300,0
20040921,35.00,35.22,34.82,35.15,3067400,0
20040922,35.15,35.15,34.35,34.40,1622900,0
20040923,34.55,34.65,34.14,34.15,1899100,0
20040924,34.33,34.35,34.04,34.32,1532500,0
20040927,34.17,34.32,32.70,32.73,6297100,0
20040928,32.61,33.05,32.36,32.53,2960200,0
20040929,32.38,32.66,32.00,32.58,2674000,0
20040930,32.59,33.06,32.40,33.06,3016300,0
20041001,33.41,33.71,33.24,33.51,1910100,0
20041004,33.51,33.83,33.51,33.67,1870900,0
20041005,33.57,33.70,33.22,33.27,1787900,0
20041006,33.37,34.11,33.29,34.11,2675300,0
20041007,34.10,34.10,33.76,33.80,2203200,0
20041008,33.65,34.04,33.64,33.85,1755500,0
20041011,34.00,34.31,33.94,34.01,1667300,0
20041012,33.70,34.20,33.70,34.02,2323400,0
20041013,34.25,34.37,33.92,34.00,2072000,0
20041014,34.40,34.40,32.74,33.00,6271400,0
20041015,33.01,33.01,31.60,31.94,9512500,0
20041018,31.93,32.26,31.82,31.90,5902100,0
20041019,31.91,32.05,30.95,30.99,4619000,0
20041020,30.95,31.35,30.91,31.23,5213200,0
20041021,31.44,31.46,30.92,31.16,3670600,0
20041022,31.24,31.85,31.10,31.13,3569200,0
20041025,30.55,31.40,30.23,31.08,3007000,0
20041026,32.80,33.20,32.07,33.13,4438900,0
20041027,33.14,33.70,32.68,33.49,2574400,0
20041028,33.00,33.73,32.83,33.58,2993500,0
20041029,33.68,33.99,33.45,33.96,2256300,0
20041101,33.99,34.08,33.75,33.81,1734600,0
20041102,33.87,34.50,33.87,34.13,2041700,0
20041103,35.15,35.50,34.65,34.91,3375300,0
20041104,35.30,36.35,34.90,36.11,4629800,0
20041105,36.24,36.60,36.00,36.31,3435700,0
20041108,36.31,36.75,36.26,36.58,1970500,0
20041109,36.58,36.79,36.22,36.32,1975500,0
20041110,35.86,36.58,35.64,36.46,2600900,0
20041111,36.43,36.48,36.08,36.11,2150100,0
20041112,36.25,36.60,35.80,36.54,2605600,0
20041115,36.44,36.75,36.28,36.62,2000400,0
20041116,36.62,36.80,36.40,36.45,1229500,0
20041117,36.45,36.74,36.07,36.21,2524300,0
20041118,36.35,36.39,35.96,36.30,1437600,0
20041119,36.20,36.40,35.71,35.71,1812000,0
20041122,35.72,36.22,35.53,36.16,2676400,0
20041123,36.04,36.30,35.80,36.24,2141300,0
20041124,36.57,36.69,36.28,36.40,1453600,0
20041126,36.52,36.65,36.25,36.42,368900,0
20041129,36.35,36.56,35.84,36.04,1630800,0
20041130,36.10,36.65,35.89,36.48,2308500,0
20041201,36.48,37.62,36.48,37.54,2115100,0
20041202,37.48,37.55,37.20,37.45,1380500,0
20041203,37.37,37.43,36.91,37.23,2420400,0
20041206,36.95,37.38,36.90,37.30,1556500,0
20041207,37.25,37.84,36.82,36.82,3237800,0
20041208,36.92,37.04,36.61,36.88,1906600,0
20041209,36.75,36.91,36.35,36.61,2066200,0
20041210,37.27,37.27,36.22,36.85,2359500,0
20041213,36.98,37.21,36.97,37.09,2157800,0
20041214,37.21,37.23,37.06,37.13,254900,0
20041215,37.21,37.23,36.78,36.94,2738800,0
20041216,37.08,37.22,36.90,37.10,2159700,0
20041217,36.75,37.24,36.75,37.19,2836500,0
20041220,37.19,37.40,36.66,36.68,1851600,0
20041221,36.60,36.73,36.25,36.48,3600500,0
20041222,36.58,37.05,36.44,37.00,2161500,0
20041223,36.85,37.15,36.81,37.06,1447800,0
20041227,37.00,37.02,36.70,36.82,1149900,0
20041228,36.83,37.33,36.83,37.33,2401600,0
20041229,37.18,37.45,37.17,37.40,1624000,0
20041230,37.37,37.49,37.20,37.20,1528300,0
20041231,37.25,37.50,37.07,37.07,1746200,0
20050103,37.45,37.86,37.25,37.25,2765600,0
20050104,37.40,37.73,36.97,37.04,1776600,0
20050105,37.00,37.13,36.80,36.98,2447800,0
20050106,37.45,37.46,36.99,37.15,2592200,0
