DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,0.5313,0.5469,0.5313,0.5352,686400,0
20010103,0.5430,0.6719,0.5430,0.5625,384000,0
20010104,0.6211,0.6211,0.5860,0.6055,124800,0
20010105,0.6211,0.6211,0.5391,0.5625,544000,0
20010108,0.5625,0.5625,0.5430,0.5430,153600,0
20010109,0.5625,0.5860,0.5625,0.5860,57600,0
20010110,0.5703,0.5938,0.5625,0.5938,217600,0
20010111,0.5938,0.6875,0.5938,0.6641,1003200,0
20010112,0.6621,0.7696,0.6621,0.7422,1257600,0
20010115,0.7422,0.7422,0.7422,0.7422,0,0
20010116,0.7383,0.7969,0.7344,0.7813,1020800,0
20010117,0.8008,0.8164,0.7891,0.8125,128000000,0
20010118,0.8125,0.8360,0.7969,0.8047,1950400,0
20010119,0.8203,0.8282,0.7735,0.8047,980800,0
20010122,0.8047,0.8242,0.7891,0.8242,196800,0
20010123,0.8242,0.8321,0.8164,0.8242,188800,0
20010124,0.8321,0.8457,0.8321,0.8438,102400,0
20010125,0.8477,0.9141,0.8477,0.8867,1339200,0
20010126,0.8711,0.9102,0.8594,0.9063,585600,0
20010129,0.8907,0.9180,0.8907,0.9141,251200,0
20010130,0.9102,0.9102,0.8985,0.9063,190400,0
20010131,0.9063,0.9219,0.8867,0.9219,430400,0
20010201,0.9258,0.9297,0.9102,0.9258,206400,0
20010202,0.9239,0.9258,0.8946,0.9063,512000,0
20010205,0.8985,0.9141,0.8750,0.8828,281600,0
20010206,0.8672,0.8867,0.8516,0.8867,1766400,0
20010207,0.8828,0.8828,0.8672,0.8789,156800,0
20010208,0.8750,0.8828,0.8750,0.8789,256000,0
20010209,0.8731,0.8828,0.8711,0.8789,552000,0
20010212,0.8828,0.8828,0.8711,0.8828,1724800,0
20010213,0.8828,0.8828,0.8789,0.8789,1371200,0
20010214,0.8828,0.8828,0.8672,0.8828,1785600,0
20010215,0.8828,0.8828,0.8711,0.8750,476800,0
20010216,0.8750,0.8828,0.8750,0.8750,348800,0
20010219,0.8750,0.8750,0.8750,0.8750,0,0
20010220,0.8789,0.9063,0.8789,0.8828,524800,0
20010221,0.8750,0.8828,0.8672,0.8711,1019200,0
20010222,0.8711,0.8985,0.8711,0.8907,168000,0
20010223,0.8867,0.8867,0.8672,0.8750,294400,0
20010226,0.8672,0.9024,0.8672,0.9024,315200,0
20010227,0.8907,0.9063,0.8907,0.9024,76800,0
20010228,0.9024,0.9024,0.8946,0.9024,131200,0
20010301,0.9063,0.9141,0.9063,0.9141,70400,0
20010302,0.9063,0.9297,0.9063,0.9219,80000,0
20010305,0.9258,0.9336,0.9219,0.9297,155200,0
20010306,0.9102,0.9219,0.9024,0.9141,1060800,0
20010307,0.9102,0.9219,0.9024,0.9063,774400,0
20010308,0.9180,0.9219,0.9043,0.9063,1035200,0
20010309,0.9063,0.9063,0.8907,0.8946,628800,0
20010312,0.8946,0.8946,0.8672,0.8828,1078400,0
20010313,0.8907,0.9024,0.8750,0.8946,1139200,0
20010314,0.8907,0.8907,0.8711,0.8789,51200,0
20010315,0.8750,0.8828,0.8750,0.8750,416000,0
20010316,0.8789,0.8946,0.8750,0.8789,420800,0
20010319,0.8828,0.8828,0.8711,0.8789,32000,0
20010320,0.8711,0.9063,0.8594,0.8750,308800,0
20010321,0.8750,0.8750,0.8594,0.8594,147200,0
20010322,0.8516,0.8711,0.8203,0.8516,638400,0
20010323,0.8750,0.8750,0.8555,0.8555,364800,0
20010326,0.8750,0.8750,0.8672,0.8672,4800,0
20010327,0.8519,0.9025,0.8363,0.8556,691200,0
20010328,0.8556,0.8869,0.8519,0.8869,97600,0
20010329,0.8750,0.8750,0.8675,0.8750,44800,0
20010330,0.8788,0.8832,0.8713,0.8750,284800,0
20010402,0.8832,0.8850,0.8788,0.8788,121600,0
20010403,0.8788,0.8832,0.8713,0.8713,35200,0
20010404,0.8713,0.8832,0.8675,0.8832,318400,0
20010405,0.8713,0.9025,0.8675,0.8750,291200,0
20010406,0.8732,0.8750,0.8675,0.8713,526400,0
20010409,0.8707,0.8769,0.8707,0.8750,52800,0
20010410,0.8782,0.8788,0.8707,0.8707,16000,0
20010411,0.8763,0.8825,0.8750,0.8807,512000,0
20010412,0.8750,0.8750,0.8688,0.8744,345600,0
20010416,0.8732,0.8744,0.8682,0.8719,121600,0
20010417,0.8782,0.8782,0.8700,0.8700,44800,0
20010418,0.8794,0.8844,0.8625,0.8813,358400,0
20010419,0.8782,0.8956,0.8713,0.8807,494400,0
20010420,0.8750,0.8863,0.8688,0.8800,620800,0
20010423,0.8719,0.8750,0.8713,0.8750,380800,0
20010424,0.8682,0.8750,0.8438,0.8688,1676800,0
20010425,0.8763,0.8763,0.8713,0.8750,209600,0
20010426,0.8632,0.9375,0.8632,0.8938,553600,0
20010427,0.8875,0.9407,0.8844,0.9407,302400,0
20010430,0.9375,0.9500,0.9375,0.9500,131200,0
20010501,0.9438,1.0194,0.9432,0.9825,432000,0
20010502,0.9894,1.0256,0.9894,1.0256,35200,0
20010503,1.0081,1.0138,0.9907,0.9925,134400,0
20010504,0.9963,1.0275,0.9925,1.0063,52800,0
20010507,1.0013,1.0119,1.0013,1.0119,16000,0
20010508,1.0250,1.0250,1.0000,1.0063,142400,0
20010509,1.0044,1.0119,0.9938,1.0031,96000,0
20010510,0.9944,0.9975,0.9550,0.9625,102400,0
20010511,0.9625,1.0256,0.9625,0.9994,483200,0
20010514,0.9994,1.0063,0.9994,1.0063,105600,0
20010515,1.0125,1.0281,0.9850,0.9850,67200,0
20010516,1.0000,1.0263,0.9963,0.9982,110400,0
20010517,1.0019,1.0275,1.0000,1.0157,92800,0
20010518,1.0081,1.0081,1.0007,1.0007,32000,0
20010521,1.0081,1.0094,0.9850,0.9863,456000,0
20010522,0.9919,0.9919,0.9625,0.9719,649600,0
20010523,0.9700,0.9725,0.9650,0.9725,16120000,0
20010524,0.9650,0.9788,0.9650,0.9681,115200,0
20010525,0.9681,1.0000,0.9681,0.9731,144000,0
20010528,0.9731,0.9731,0.9731,0.9731,0,0
20010529,0.9844,0.9844,0.9650,0.9650,219200,0
20010530,0.9650,0.9688,0.9588,0.9588,2465600,0
20010531,0.9619,0.9719,0.9613,0.9713,835200,0
20010601,0.9681,0.9907,0.9644,0.9907,926400,0
20010604,0.9938,0.9982,0.9813,0.9882,200000,0
20010605,0.9857,0.9950,0.9800,0.9806,17155200,0
20010606,0.9813,0.9813,0.9669,0.9738,206400,0
20010607,0.9738,1.0000,0.9738,1.0000,424000,0
20010608,0.9919,1.0044,0.9919,1.0031,1180800,0
20010611,0.9950,1.0050,0.9938,1.0013,372800,0
20010612,1.0031,1.0038,0.9957,0.9975,1012800,0
20010613,0.9975,1.0031,0.9963,0.9963,628800,0
20010614,0.9969,1.0063,0.9969,0.9988,1457600,0
20010615,1.0125,1.0125,1.0000,1.0000,224000,0
20010618,1.0038,1.0038,0.9932,0.9932,243200,0
20010619,0.9938,0.9969,0.9500,0.9875,502400,0
20010620,0.9825,1.0038,0.9706,0.9706,164800,0
20010621,0.9700,0.9875,0.9700,0.9813,27200,0
20010622,1.0000,1.0000,1.0000,1.0000,1600,0
20010625,0.9888,1.0250,0.9888,1.0069,537600,0
20010626,1.0100,1.0107,1.0075,1.0075,91200,0
20010627,1.0119,1.0138,0.9688,1.0113,811200,0
20010628,0.9750,0.9988,0.9750,0.9988,376000,0
20010629,1.0038,1.0050,0.9950,0.9994,123200,0
