DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,12.00,12.25,11.31,11.81,44922,0
20010103,11.88,12.19,11.50,11.56,25316,0
20010104,11.56,11.63,10.63,10.81,70180,0
20010105,10.88,11.44,10.75,11.44,125621,0
20010108,11.44,11.75,11.38,11.75,15933,0
20010109,12.00,12.25,12.00,12.25,0,0
20010110,12.13,12.69,12.13,12.44,11117,0
20010111,12.44,12.44,12.44,12.44,0,0
20010112,12.44,12.44,12.44,12.44,0,0
20010115,12.44,12.44,12.44,12.44,0,0
20010116,12.44,12.44,12.44,12.44,0,0
20010117,12.44,12.44,12.44,12.44,0,0
20010118,12.44,12.44,12.44,12.44,0,0
20010119,12.44,12.44,12.44,12.44,0,0
20010122,12.44,12.44,12.44,12.44,0,0
20010123,12.44,12.44,12.44,12.44,0,0
20010124,12.44,12.44,12.44,12.44,0,0
20010125,13.38,13.50,12.56,13.06,182385,0
20010126,12.94,14.06,12.88,13.94,0,0
20010129,14.25,14.88,14.13,14.53,3621100,0
20010130,14.25,14.56,13.22,13.88,0,0
20010131,13.34,13.75,13.33,13.51,0,0
20010201,13.55,13.55,12.92,13.25,476400,0
20010202,13.20,13.60,13.20,13.25,469700,0
20010205,13.25,13.66,13.15,13.52,0,0
20010206,13.52,13.52,13.52,13.52,0,0
20010207,13.52,13.52,13.52,13.52,0,0
20010208,13.52,13.52,13.52,13.52,0,0
20010209,13.52,13.52,13.52,13.52,0,0
20010212,13.52,13.52,13.52,13.52,0,0
20010213,13.52,13.55,13.40,13.42,404700,0
20010214,13.41,13.42,13.00,13.36,373300,0
20010215,13.31,13.32,13.00,13.07,528600,0
20010216,13.08,13.15,12.75,12.89,0,0
20010219,12.89,12.89,12.89,12.89,0,0
20010220,12.98,13.15,12.78,13.03,19701100,0
20010221,13.03,13.08,12.46,12.71,1035400,0
20010222,12.61,12.84,12.60,12.79,2502200,0
20010223,12.75,13.04,12.60,12.75,414200,0
20010226,12.76,12.95,12.75,12.77,569800,0
20010227,12.80,12.85,12.66,12.80,901400,0
20010228,13.00,13.05,12.22,12.61,19942700,0
20010301,12.55,12.60,12.30,12.50,922800,0
20010302,12.51,12.90,12.40,12.60,709100,0
20010305,12.70,12.77,12.40,12.48,408000,0
20010306,12.48,12.48,12.26,12.30,2337600,0
20010307,12.30,12.52,12.28,12.47,2413600,0
20010308,12.47,12.75,12.40,12.75,461300,0
20010309,12.61,12.64,12.38,12.60,439200,0
20010312,12.60,12.74,12.32,12.71,459000,0
20010313,12.90,13.50,12.80,13.38,14446900,0
20010314,13.38,13.38,13.38,13.38,0,0
20010315,13.38,13.38,13.38,13.38,0,0
20010316,13.38,13.38,13.38,13.38,0,0
20010319,13.38,13.38,13.38,13.38,0,0
20010320,13.38,13.38,13.38,13.38,0,0
20010321,13.38,13.38,13.38,13.38,0,0
20010322,13.38,13.38,13.38,13.38,0,0
20010323,13.38,13.38,13.38,13.38,0,0
20010326,13.38,13.38,13.38,13.38,0,0
20010327,13.38,13.38,13.38,13.38,0,0
20010328,13.38,13.38,13.38,13.38,0,0
20010329,13.38,13.38,13.38,13.38,0,0
20010330,13.38,13.38,13.38,13.38,0,0
20010402,13.38,13.38,13.38,13.38,0,0
20010403,13.38,13.38,13.38,13.38,0,0
20010404,13.38,13.38,13.38,13.38,0,0
20010405,13.38,13.38,13.38,13.38,0,0
20010406,13.38,13.38,13.38,13.38,0,0
20010409,13.38,13.38,13.38,13.38,0,0
20010410,13.38,13.38,13.38,13.38,0,0
20010411,13.38,13.38,13.38,13.38,0,0
20010412,13.38,13.38,13.38,13.38,0,0
20010416,13.38,13.38,13.38,13.38,0,0
20010417,13.38,13.38,13.38,13.38,0,0
20010418,13.38,13.38,13.38,13.38,0,0
20010419,13.38,13.38,13.38,13.38,0,0
20010420,13.38,13.38,13.38,13.38,0,0
20010423,13.38,13.38,13.38,13.38,0,0
20010424,13.38,13.38,13.38,13.38,0,0
20010425,13.38,13.38,13.38,13.38,0,0
20010426,13.38,13.38,13.38,13.38,0,0
20010427,13.38,13.38,13.38,13.38,0,0
20010430,13.38,13.38,13.38,13.38,0,0
20010501,13.38,13.38,13.38,13.38,0,0
20010502,13.38,13.38,13.38,13.38,0,0
20010503,13.38,13.38,13.38,13.38,0,0
20010504,13.38,13.38,13.38,13.38,0,0
20010507,13.38,13.38,13.38,13.38,0,0
20010508,13.38,13.38,13.38,13.38,0,0
20010509,13.38,13.38,13.38,13.38,0,0
20010510,13.38,13.38,13.38,13.38,0,0
20010511,13.38,13.38,13.38,13.38,0,0
20010514,13.38,13.38,13.38,13.38,0,0
20010515,13.38,13.38,13.38,13.38,0,0
20010516,13.38,13.38,13.38,13.38,0,0
20010517,13.38,13.38,13.38,13.38,0,0
20010518,13.35,13.41,13.11,13.20,1246200,0
20010521,13.20,13.35,13.20,13.35,475700,0
20010522,13.35,13.35,13.35,13.35,0,0
20010523,13.35,13.35,13.35,13.35,0,0
20010524,13.35,13.35,13.35,13.35,0,0
20010525,13.35,13.35,13.35,13.35,0,0
20010528,13.35,13.35,13.35,13.35,0,0
20010529,13.35,13.35,13.35,13.35,0,0
20010530,13.35,13.35,13.35,13.35,0,0
20010531,13.35,13.35,13.35,13.35,0,0
20010601,13.35,13.35,13.35,13.35,0,0
20010604,13.35,13.35,13.35,13.35,0,0
20010605,12.50,12.50,12.30,12.35,268000,0
20010606,12.35,12.35,12.06,12.19,178900,0
20010607,12.19,12.19,12.08,12.08,6297200,0
20010608,12.08,12.09,11.86,11.88,206300,0
20010611,11.80,11.80,11.51,11.60,1484600,0
20010612,11.60,11.60,11.21,11.37,2240800,0
20010613,11.37,11.55,11.27,11.38,392600,0
20010614,11.37,11.45,11.26,11.43,16294400,0
20010615,11.33,11.40,11.31,11.39,1173200,0
20010618,11.00,11.00,9.15,9.37,16573300,0
20010619,9.28,9.28,8.55,8.72,3968800,0
20010620,8.82,9.55,8.82,9.54,53878300,0
20010621,9.57,10.06,9.25,9.29,3226400,0
20010622,9.39,9.59,9.19,9.24,12879000,0
20010625,9.28,9.56,9.26,9.35,3233400,0
20010626,9.28,9.30,8.85,8.89,3121600,0
20010627,8.98,9.21,8.76,8.85,4433500,0
20010628,8.80,9.19,8.67,9.17,17067200,0
20010629,9.25,9.25,9.00,9.21,5519000,0
20010702,9.28,9.30,9.20,9.30,13104900,0
20010703,9.30,9.42,9.28,9.42,1941400,0
20010704,9.42,9.42,9.42,9.42,0,0
20010705,9.42,9.50,9.30,9.42,2140700,0
20010706,9.43,10.00,9.37,9.93,59952900,0
20010709,9.90,10.01,9.87,9.98,87363000,0
20010710,9.98,10.12,9.90,9.95,8614800,0
20010711,9.95,9.95,9.85,9.89,2201200,0
20010712,9.90,9.90,9.57,9.62,36934700,0
20010713,9.63,9.71,9.55,9.65,6728600,0
20010716,9.62,9.68,9.58,9.65,4602000,0
20010717,9.62,9.63,9.40,9.48,7704500,0
20010718,9.50,9.53,9.40,9.40,1043000,0
20010719,9.45,9.62,9.45,9.61,1931900,0
20010720,9.55,10.08,9.55,10.00,2465800,0
20010723,9.90,9.97,9.76,9.88,16038300,0
20010724,9.93,10.13,9.63,10.08,51199600,0
20010725,10.07,10.29,9.97,10.26,1059500,0
20010726,10.26,10.72,10.15,10.59,2815000,0
20010727,10.58,10.69,10.35,10.36,5447200,0
20010730,10.41,10.41,9.71,9.88,1708600,0
20010731,9.88,10.30,9.87,10.30,2673900,0
20010801,10.30,10.50,9.90,10.37,2424600,0
20010802,10.38,10.50,10.31,10.39,40213400,0
20010803,10.39,10.68,10.37,10.63,5047200,0
20010806,10.60,10.69,10.37,10.51,75372500,0
20010807,10.51,10.87,10.42,10.50,61765500,0
20010808,10.50,10.78,10.45,10.73,27552300,0
20010809,10.70,10.78,10.65,10.75,31734000,0
20010810,11.19,11.19,10.42,10.70,13339900,0
20010813,10.70,10.74,10.50,10.63,10786600,0
20010814,10.60,10.69,10.45,10.69,25532500,0
20010815,10.59,10.71,10.46,10.48,14313300,0
20010816,10.47,10.54,10.26,10.51,27288400,0
20010817,10.54,10.59,10.32,10.39,7425600,0
20010820,10.49,10.49,10.15,10.23,23951500,0
20010821,10.28,10.30,10.16,10.20,643000,0
20010822,10.19,10.27,10.10,10.25,979700,0
20010823,10.22,10.23,10.15,10.19,2543900,0
20010824,10.18,10.26,10.10,10.21,10548300,0
20010827,10.19,10.35,10.18,10.26,7376700,0
20010828,10.25,10.39,10.18,10.32,638000,0
20010829,10.26,10.38,10.25,10.38,1442300,0
20010830,10.35,10.42,10.24,10.24,28498400,0
20010831,10.21,10.57,10.18,10.54,31051600,0
20010903,10.54,10.54,10.54,10.54,0,0
20010904,10.45,10.54,10.43,10.49,3303000,0
20010905,10.45,10.52,10.41,10.49,9587000,0
20010906,10.46,10.49,10.42,10.47,3220300,0
20010907,10.45,10.45,10.03,10.17,862200,0
20010910,10.07,10.15,9.99,10.08,897700,0
20010911,10.08,10.08,10.08,10.08,0,0
20010917,9.51,9.96,9.50,9.80,1861500,0
