DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,22.25,22.44,21.75,21.88,0,0
20010103,22.00,22.50,21.50,22.31,0,0
20010104,22.13,24.38,22.13,24.13,1785,0
20010105,24.06,24.13,23.25,23.44,650,0
20010108,23.44,23.44,22.94,23.38,0,0
20010109,23.38,23.50,21.88,22.31,0,0
20010110,22.19,23.88,22.06,23.06,436,0
20010111,23.06,23.63,23.00,23.25,0,0
20010112,23.38,23.38,22.56,22.69,0,0
20010115,22.69,22.69,22.69,22.69,0,0
20010116,22.50,23.00,21.63,22.56,30957,0
20010117,22.88,23.25,22.56,22.88,0,0
20010118,23.00,23.13,22.63,22.94,0,0
20010119,23.38,23.38,22.56,22.56,0,0
20010122,22.56,22.56,22.56,22.56,0,0
20010123,22.75,23.25,22.63,23.13,425,0
20010124,23.25,23.25,22.63,23.13,0,0
20010125,23.13,23.19,22.63,22.63,90,0
20010126,22.63,23.13,22.50,23.13,0,0
20010129,25.50,25.97,24.00,24.69,0,0
20010130,24.88,25.06,23.00,23.66,0,0
20010131,23.20,23.50,23.00,23.50,0,0
20010201,23.65,24.50,23.40,24.34,0,0
20010202,24.17,24.27,23.50,24.02,65200,0
20010205,23.75,24.00,23.70,24.00,0,0
20010206,23.95,24.22,23.95,24.00,21300,0
20010207,24.05,24.38,24.00,24.15,25700,0
20010208,24.15,24.20,23.91,23.91,0,0
20010209,23.91,23.91,23.80,23.85,11600,0
20010212,23.85,24.35,23.85,24.28,47100,0
20010213,24.25,24.27,24.05,24.13,25500,0
20010214,23.70,23.95,23.37,23.90,0,0
20010215,23.94,24.30,23.80,24.25,37100,0
20010216,24.15,24.63,23.84,23.93,75200,0
20010219,23.93,23.93,23.93,23.93,0,0
20010220,24.04,24.04,23.60,23.89,34600,0
20010221,23.70,23.80,23.25,23.43,65500,0
20010222,23.50,23.50,22.97,23.24,56000,0
20010223,23.25,23.60,23.16,23.60,38000,0
20010226,23.60,24.13,23.45,24.01,30000,0
20010227,24.13,24.13,24.00,24.00,28800,0
20010228,23.95,24.00,23.80,24.00,21000,0
20010301,23.90,24.17,23.70,24.14,38800,0
20010302,24.05,24.15,24.01,24.15,13800,0
20010305,24.10,24.25,24.01,24.19,25700,0
20010306,24.16,24.19,24.05,24.15,15400,0
20010307,24.10,24.30,24.06,24.30,1025300,0
20010308,24.35,24.40,24.10,24.16,24700,0
20010309,24.20,24.20,23.90,24.00,19500,0
20010312,23.90,23.90,23.50,23.58,45400,0
20010313,23.57,23.57,22.85,23.10,49700,0
20010314,23.00,23.00,22.01,22.20,58100,0
20010315,22.10,23.23,22.10,22.65,1031400,0
20010316,22.80,22.80,22.20,22.45,60700,0
20010319,22.40,22.67,22.40,22.50,22200,0
20010320,22.55,22.55,22.31,22.31,21000,0
20010321,22.25,22.50,22.25,22.30,43200,0
20010322,22.20,22.29,21.50,22.00,113700,0
20010323,22.00,22.44,22.00,22.25,77000,0
20010326,22.22,23.05,22.22,22.90,32000,0
20010327,22.86,22.86,22.70,22.75,9000,0
20010328,22.75,23.05,22.75,23.02,26400,0
20010329,22.92,23.20,22.86,23.00,38700,0
20010330,23.00,24.60,23.00,24.60,70600,0
20010402,24.52,25.20,24.35,25.20,71500,0
20010403,25.30,25.50,25.11,25.30,87500,0
20010404,25.25,25.25,24.14,24.40,73000,0
20010405,24.35,24.40,24.10,24.39,11400,0
20010406,24.55,24.65,24.35,24.53,1013200,0
20010409,24.46,24.51,24.31,24.48,15500,0
20010410,24.40,24.56,24.40,24.43,22100,0
20010411,24.70,25.30,24.70,25.10,37800,0
20010412,25.10,25.10,25.02,25.06,19200,0
20010416,25.02,26.40,25.02,25.91,1099300,0
20010417,26.05,26.35,25.06,25.24,88300,0
20010418,25.34,25.90,25.34,25.81,66000,0
20010419,25.83,27.05,25.50,27.05,74400,0
20010420,27.05,27.05,26.52,26.66,24000,0
20010423,26.56,26.56,26.26,26.35,34000,0
20010424,26.25,26.30,26.00,26.12,32900,0
20010425,26.20,26.26,26.05,26.26,28900,0
20010426,26.36,26.75,26.35,26.45,30600,0
20010427,26.50,28.44,26.50,28.19,111500,0
20010430,28.30,29.00,27.90,28.20,121700,0
20010501,28.15,28.75,28.01,28.35,61700,0
20010502,28.36,28.55,28.10,28.51,10100,0
20010503,28.25,28.50,28.10,28.35,28400,0
20010504,28.45,28.69,28.25,28.41,32500,0
20010507,28.51,28.70,28.15,28.19,24500,0
20010508,28.21,28.21,27.80,28.05,14100,0
20010509,28.09,28.09,27.60,28.01,40600,0
20010510,28.40,28.40,28.00,28.20,26900,0
20010511,28.24,28.25,28.00,28.01,15000,0
20010514,28.01,28.47,28.00,28.46,25000,0
20010515,28.40,29.30,28.40,29.30,55000,0
20010516,29.30,29.85,29.10,29.77,48900,0
20010517,29.00,29.95,29.00,29.89,24500,0
20010518,29.80,29.99,29.60,29.83,35300,0
20010521,29.68,29.99,29.60,29.75,31200,0
20010522,30.00,30.40,29.65,30.30,28600,0
20010523,30.25,30.25,29.80,29.89,18500,0
20010524,29.74,29.75,29.30,29.73,31300,0
20010525,29.75,29.85,29.70,29.80,7200,0
20010528,29.80,29.80,29.80,29.80,0,0
20010529,29.80,29.81,29.30,29.31,19800,0
20010530,29.30,29.30,29.00,29.00,10500,0
20010531,29.00,29.25,28.92,29.06,17500,0
20010601,29.30,32.00,29.30,31.70,117500,0
20010604,31.95,32.00,30.51,30.51,1066700,0
20010605,30.64,30.65,30.00,30.36,50700,0
20010606,30.36,30.45,29.90,30.11,19900,0
20010607,30.20,30.41,30.12,30.20,7900,0
20010608,30.20,30.52,29.90,30.52,19900,0
20010611,30.72,30.80,30.20,30.20,17100,0
20010612,30.30,30.30,29.60,29.88,21600,0
20010613,29.98,30.50,29.90,30.40,28100,0
20010614,30.49,30.49,28.40,28.59,74700,0
20010615,28.49,29.25,28.39,28.72,50700,0
20010618,28.72,28.72,27.65,28.00,65800,0
20010619,27.88,27.98,27.46,27.65,32300,0
20010620,27.60,27.99,27.50,27.55,20600,0
20010621,27.45,27.79,27.29,27.75,24400,0
20010622,27.75,28.20,27.75,28.10,6146100,0
20010625,28.05,28.10,27.40,27.56,17200,0
20010626,27.45,27.55,26.80,27.25,41400,0
20010627,27.57,28.16,27.48,28.15,100600,0
20010628,28.15,29.10,28.00,29.03,33100,0
20010629,29.03,29.09,28.40,28.40,71700,0
20010702,28.35,29.45,28.26,29.45,53700,0
20010703,29.45,29.60,29.42,29.43,40800,0
20010704,29.43,29.43,29.43,29.43,0,0
20010705,29.50,29.50,28.75,28.93,30500,0
20010706,28.94,28.97,28.50,28.67,20200,0
20010709,28.75,29.00,28.68,28.79,12600,0
20010710,28.74,28.81,28.40,28.60,32100,0
20010711,29.00,29.20,28.73,29.00,42300,0
20010712,29.00,30.40,28.98,30.27,74600,0
20010713,30.22,30.35,29.84,30.28,47700,0
20010716,30.24,32.40,30.24,32.05,118900,0
20010717,32.06,33.80,32.06,33.25,158600,0
20010718,33.25,33.25,32.01,32.01,86200,0
20010719,32.10,33.30,32.10,33.25,54500,0
20010720,33.35,34.60,33.35,34.25,84300,0
20010723,34.15,34.15,33.06,33.40,110900,0
20010724,33.40,33.50,32.95,33.50,110600,0
20010725,33.40,34.61,33.38,34.55,123200,0
20010726,34.70,35.81,34.55,35.54,168400,0
20010727,35.44,35.44,34.90,34.96,74800,0
20010730,34.99,35.84,34.97,35.09,65000,0
20010731,34.99,35.05,34.40,34.41,29900,0
20010801,34.16,34.24,34.13,34.18,78100,0
20010802,34.18,34.25,33.70,34.20,58500,0
20010803,34.35,34.35,33.99,34.00,56700,0
20010806,34.10,34.65,34.00,34.01,42200,0
20010807,34.01,34.08,33.87,33.88,28600,0
20010808,33.88,33.88,33.08,33.18,52700,0
20010809,33.00,33.00,31.69,31.97,151100,0
20010810,31.90,31.90,31.50,31.74,68700,0
20010813,31.69,32.44,30.50,32.43,62200,0
20010814,32.55,32.88,32.40,32.48,29000,0
20010815,32.40,32.40,32.02,32.15,51000,0
20010816,32.15,32.15,31.39,31.55,109300,0
20010817,31.53,31.53,30.69,30.70,36100,0
20010820,30.70,31.35,30.40,31.35,1054600,0
20010821,31.35,31.53,31.12,31.13,17800,0
20010822,31.13,31.13,30.44,30.70,73600,0
20010823,30.60,30.60,29.18,29.30,327700,0
20010824,29.05,29.07,26.16,27.59,1252800,0
20010827,27.59,27.99,27.15,27.50,130700,0
20010828,27.50,27.56,26.90,27.13,136500,0
20010829,27.08,27.08,25.99,26.00,134100,0
20010830,25.90,25.90,25.02,25.54,173500,0
20010831,25.50,25.51,24.79,25.02,226200,0
20010903,25.02,25.02,25.02,25.02,0,0
20010904,25.01,25.90,24.55,25.78,1228000,0
20010905,25.55,25.55,24.07,24.10,71300,0
20010906,23.74,23.75,22.55,22.96,337700,0
20010907,22.85,22.95,21.40,22.75,1265500,0
20010910,22.84,23.14,22.15,22.73,173800,0
20010911,22.73,22.73,22.73,22.73,0,0
20010917,22.73,22.73,21.14,21.59,168500,0
20010918,21.47,21.59,20.75,21.35,71000,0
20010919,21.35,21.70,20.37,21.70,76000,0
20010920,21.45,21.45,20.30,20.90,159400,0
20010921,20.90,20.90,20.00,20.15,181800,0
20010924,21.00,23.30,21.00,22.00,1188700,0
20010925,22.25,23.75,21.39,23.75,317500,0
20010926,23.75,23.75,22.61,23.51,111200,0
20010927,23.51,23.80,23.07,23.66,63700,0
20010928,23.75,24.77,23.35,24.77,118600,0
20011001,24.47,24.48,22.90,22.91,1153000,0
20011002,23.00,23.52,22.81,23.50,5151100,0
20011003,23.40,24.80,23.26,24.25,135100,0
20011004,24.35,25.33,24.35,24.90,59900,0
20011005,24.90,24.91,24.15,24.36,2045200,0
20011008,24.65,24.65,23.79,24.10,43300,0
20011009,24.35,24.54,23.57,24.50,159500,0
20011010,25.50,25.63,25.03,25.60,123900,0
20011011,25.78,26.45,25.05,25.31,1124400,0
20011012,24.60,25.26,24.04,24.40,111200,0
20011015,24.31,24.31,23.35,23.50,90200,0
20011016,23.50,23.72,22.60,23.29,413700,0
20011017,23.29,23.50,22.60,23.39,215700,0
20011018,23.20,23.25,22.01,22.01,122400,0
20011019,22.01,22.50,20.71,21.26,261400,0
20011022,21.26,21.59,20.51,20.79,196200,0
20011023,20.79,21.83,20.51,21.30,128100,0
20011024,21.39,21.39,20.50,20.51,87400,0
20011025,20.61,20.74,20.05,20.60,1114300,0
20011026,20.65,20.92,20.25,20.70,87600,0
20011029,20.71,20.71,20.15,20.45,33300,0
20011030,20.45,20.45,18.91,19.31,2351400,0
20011031,19.32,20.20,19.30,20.20,2130600,0
20011101,20.20,20.20,19.10,19.64,326000,0
20011102,19.65,19.98,19.26,19.98,1106200,0
