DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,23.63,23.94,23.41,23.50,24824,0
20010103,23.75,24.91,23.31,24.78,35658,0
20010104,24.19,26.19,24.16,25.88,0,0
20010105,25.94,26.00,24.00,24.19,21560,0
20010108,24.06,24.34,23.97,24.16,12896,0
20010109,24.38,24.50,24.00,24.38,15028,0
20010110,24.47,24.56,23.81,24.38,10154,0
20010111,24.38,24.94,24.00,24.72,12326,0
20010112,24.56,24.69,24.25,24.31,10656,0
20010115,24.31,24.31,24.31,24.31,0,0
20010116,24.31,24.53,24.16,24.50,13746,0
20010117,25.00,25.00,23.91,23.97,13330,0
20010118,24.06,24.84,23.91,24.31,17242,0
20010119,23.88,24.59,23.88,24.31,22632,0
20010122,24.31,24.31,24.31,24.31,0,0
20010123,23.16,23.63,22.81,23.56,37320,0
20010124,23.41,24.06,23.41,23.97,14514,0
20010125,24.03,24.41,23.84,24.19,11134,0
20010126,24.13,24.44,23.97,24.16,6532,0
20010129,24.58,25.59,24.56,24.61,916800,0
20010130,24.59,26.05,24.50,25.63,12967000,0
20010131,25.25,25.84,25.17,25.50,3135200,0
20010201,25.13,25.50,25.00,25.38,1697800,0
20010202,25.25,25.25,24.98,25.00,1816800,0
20010205,24.90,25.75,24.83,25.32,3424400,0
20010206,25.63,26.25,25.27,25.67,996800,0
20010207,25.55,26.25,25.50,25.67,1176600,0
20010208,25.65,25.85,25.61,25.68,964000,0
20010209,25.63,26.13,25.61,25.74,1334400,0
20010212,25.67,26.35,25.60,26.21,781200,0
20010213,26.13,26.48,26.10,26.28,2631200,0
20010214,26.32,26.32,25.90,25.91,3001000,0
20010215,26.55,26.83,26.50,26.83,1261400,0
20010216,26.90,26.90,26.43,26.55,977000,0
20010219,26.55,26.55,26.55,26.55,0,0
20010220,26.52,27.42,26.45,27.00,1421400,0
20010221,26.63,27.30,26.63,26.75,7011800,0
20010222,26.50,26.75,26.25,26.26,14897200,0
20010223,25.40,26.20,25.40,25.94,2175200,0
20010226,26.05,26.63,25.82,26.57,465200,0
20010227,26.52,27.42,26.48,27.37,3100000,0
20010228,27.25,27.30,26.30,26.49,931000,0
20010301,26.50,26.50,25.70,26.10,1603600,0
20010302,25.63,26.90,25.63,26.77,1726800,0
20010305,26.78,27.32,26.66,27.32,942800,0
20010306,28.25,28.25,27.60,27.91,1269200,0
20010307,27.83,28.77,27.68,28.77,3266200,0
20010308,28.50,29.88,28.41,29.63,2237800,0
20010309,29.50,29.99,29.42,29.56,5174600,0
20010312,28.75,29.10,28.52,28.52,1947800,0
20010313,28.50,28.54,27.85,28.20,785600,0
20010314,28.25,28.41,27.90,28.03,1076800,0
20010315,27.90,28.56,27.89,28.49,14591600,0
20010316,28.40,28.76,28.25,28.35,1888600,0
20010319,28.13,29.17,28.08,28.92,1179200,0
20010320,28.79,28.88,28.32,28.45,830000,0
20010321,28.40,28.42,27.13,27.40,1321800,0
20010322,27.17,27.17,25.63,26.89,1748600,0
20010323,26.77,27.03,26.07,26.98,1065200,0
20010326,26.98,27.67,26.93,27.45,424200,0
20010327,27.50,28.50,27.30,28.40,1315200,0
20010328,28.14,28.17,27.15,27.85,1254000,0
20010329,27.92,28.45,27.77,28.22,2622400,0
20010330,28.12,28.42,27.65,28.42,630000,0
20010402,28.50,28.92,28.13,28.42,1657400,0
20010403,28.23,28.23,26.77,27.00,862400,0
20010404,27.15,27.79,27.02,27.73,632200,0
20010405,27.83,28.90,27.75,28.83,960800,0
