DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20160408,41.61,44.35,41.32,44.02,3602269,0
20160411,43.64,43.68,40.97,41.46,4094862,0
20160412,41.25,41.66,40.23,41.65,3613194,0
20160413,41.33,42.68,41.33,41.80,4425387,0
20160414,41.99,42.86,41.91,42.23,2525995,0
20160415,41.82,42.05,41.19,42.00,2344083,0
20160418,41.39,42.54,41.39,42.42,2541724,0
20160419,42.55,43.36,42.25,43.00,1644552,0
20160420,42.86,43.57,42.75,42.76,2267344,0
20160421,46.35,46.53,43.99,45.73,3270959,0
20160422,45.48,46.18,44.09,45.06,2398820,0
20160425,44.89,44.90,44.11,44.26,2107535,0
20160426,44.21,44.89,43.85,43.95,2181075,0
20160427,44.19,44.21,41.75,42.16,1280876,0
20160428,42.11,43.09,41.84,41.89,1445833,0
20160429,41.71,41.89,40.47,40.80,1964394,0
20160502,40.57,40.82,39.88,40.27,1453798,0
20160503,39.42,40.47,39.42,40.12,1539218,0
20160504,38.85,38.90,37.04,37.39,4516156,0
20160505,37.40,38.17,37.08,37.49,1121631,0
20160506,37.00,37.35,36.27,36.38,1346938,0
20160509,36.31,36.72,35.96,36.31,1705626,0
20160510,36.59,37.28,36.40,36.55,1282800,0
20160511,36.00,36.12,34.81,35.23,1941428,0
20160512,35.57,35.66,34.81,35.19,1634456,0
20160513,34.97,35.23,34.48,34.71,1908143,0
20160516,34.58,34.91,34.45,34.54,1695997,0
20160517,34.45,34.74,34.10,34.47,1895456,0
20160518,34.33,34.40,33.70,34.22,980956,0
20160519,33.78,35.00,33.78,34.85,1057401,0
20160520,34.89,35.65,34.73,35.58,1052853,0
20160523,35.53,36.00,34.75,34.83,683835,0
20160524,35.01,36.09,34.99,35.58,1143097,0
20160525,35.91,36.00,35.35,35.48,1322956,0
20160526,35.51,35.51,34.91,34.92,875007,0
20160527,34.97,35.21,34.84,35.06,1105514,0
20160531,35.24,35.40,34.65,34.97,6311414,0
20160601,33.39,33.76,32.63,33.72,3080985,0
20160602,33.67,34.32,33.66,34.22,2785411,0
20160603,33.78,34.32,33.78,34.16,967862,0
20160606,34.17,34.57,34.12,34.40,1956465,0
20160607,34.80,35.28,34.21,35.20,1441146,0
20160608,35.67,36.55,35.28,36.44,1287361,0
20160609,36.23,36.32,35.84,36.14,1224965,0
20160610,35.75,36.41,35.70,35.79,616887,0
20160613,35.62,35.74,34.62,34.68,1254294,0
20160614,34.66,34.75,34.00,34.40,1086008,0
20160615,34.45,35.47,34.45,34.77,1062818,0
20160616,34.22,34.27,33.16,33.48,1215871,0
20160617,33.72,34.25,33.60,34.14,1302234,0
20160620,34.71,35.17,34.65,34.77,845879,0
20160621,34.91,35.48,34.75,34.92,585535,0
20160622,34.95,35.01,34.26,34.32,635385,0
20160623,34.55,34.78,34.40,34.67,1260783,0
