DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,27.50,27.50,24.88,25.17,15676,0
20010103,25.11,27.25,24.94,25.34,20724,0
20010104,25.31,25.50,20.67,22.19,138816,0
20010105,22.16,23.36,21.53,21.94,39080,0
20010108,22.02,22.72,21.72,22.13,0,0
20010109,22.34,22.47,21.09,21.09,18936,0
20010110,21.88,23.63,21.75,22.94,28000,0
20010111,23.13,23.33,22.59,22.78,0,0
20010112,22.78,22.78,21.69,22.25,13612,0
20010115,22.25,22.25,22.25,22.25,0,0
20010116,22.34,22.75,21.50,21.75,20756,0
20010117,21.81,21.83,20.75,21.20,23764,0
20010118,21.70,22.08,20.38,20.66,28688,0
20010119,19.97,20.16,18.63,19.44,65104,0
20010122,19.44,19.44,19.44,19.44,0,0
20010123,20.88,21.28,20.34,20.50,28168,0
20010124,20.63,20.63,19.47,19.67,31404,0
20010125,19.86,20.06,19.63,19.98,147112,0
20010126,19.86,21.38,19.86,20.92,21332,0
20010129,20.51,20.77,20.25,20.45,1850400,0
20010130,20.45,21.09,20.25,20.59,0,0
20010131,20.35,20.75,20.17,20.48,1206800,0
20010201,20.48,20.95,20.47,20.50,0,0
20010202,20.68,21.18,20.53,20.68,1242400,0
20010205,20.96,21.94,20.96,21.11,5258800,0
20010206,21.25,21.50,21.17,21.50,0,0
20010207,21.71,22.52,21.71,22.31,1846800,0
20010208,22.31,22.45,21.70,21.83,1129600,0
20010209,21.55,22.07,21.40,22.00,1461600,0
20010212,22.01,23.00,21.58,22.76,1165200,0
20010213,22.77,22.94,22.38,22.76,488800,0
20010214,22.86,22.99,22.15,22.25,0,0
20010215,22.09,22.09,21.16,21.16,970800,0
20010216,20.94,21.67,20.94,21.30,1166800,0
20010219,21.30,21.30,21.30,21.30,0,0
20010220,21.29,21.69,21.20,21.69,601200,0
20010221,21.81,21.81,20.81,20.81,814400,0
20010222,20.88,21.15,20.50,20.51,748000,0
20010223,20.50,20.63,20.08,20.43,896800,0
20010226,20.49,21.50,20.45,21.30,1082400,0
20010227,21.25,21.88,21.25,21.83,4908400,0
20010228,21.83,22.92,21.83,22.50,887200,0
20010301,22.44,22.59,22.27,22.55,5022800,0
20010302,22.55,24.01,22.45,23.25,1690400,0
20010305,23.45,23.45,22.26,22.39,910800,0
20010306,22.58,22.62,21.81,22.16,701600,0
20010307,22.22,22.50,21.50,21.63,1109600,0
20010308,21.74,21.79,21.19,21.26,1552800,0
20010309,21.23,21.41,20.88,20.93,495600,0
20010312,20.93,21.46,20.00,20.01,1312000,0
20010313,20.13,20.44,19.33,20.03,4936400,0
20010314,19.90,20.53,19.90,20.53,18090400,0
20010315,20.67,20.99,20.67,20.88,1039600,0
20010316,20.88,21.25,20.75,21.09,440000,0
20010319,21.09,21.50,20.50,21.23,1021200,0
20010320,21.23,21.61,20.91,20.91,240800,0
20010321,21.00,21.12,20.65,21.12,666000,0
20010322,21.25,21.25,20.36,20.51,2602000,0
20010323,20.61,20.91,20.61,20.71,12724000,0
20010326,21.00,21.84,20.94,21.17,579600,0
20010327,21.18,21.19,20.50,20.77,1262800,0
20010328,20.69,20.75,20.29,20.73,1043600,0
20010329,20.81,21.75,20.81,21.75,5458000,0
20010330,22.24,22.50,21.74,22.05,37331200,0
20010402,22.24,22.24,21.58,21.58,728000,0
20010403,21.60,21.73,21.10,21.39,943600,0
20010404,21.75,22.71,21.64,22.71,1834800,0
20010405,22.77,22.90,22.26,22.61,1167600,0
20010406,22.58,22.94,22.44,22.63,1708800,0
20010409,22.80,23.11,22.69,22.98,544800,0
20010410,22.73,23.25,22.40,23.08,1755600,0
20010411,23.01,23.04,21.94,22.14,871200,0
20010412,22.19,22.75,22.00,22.60,646400,0
20010416,22.63,23.00,22.25,22.28,898400,0
20010417,22.40,23.15,22.28,23.12,429600,0
20010418,23.61,24.00,22.06,22.39,2628800,0
20010419,22.20,22.23,21.38,21.38,4974000,0
20010420,21.00,21.34,20.64,21.25,2087600,0
20010423,21.30,21.52,20.75,20.90,1149600,0
20010424,21.13,21.53,21.03,21.17,519600,0
20010425,21.25,22.15,21.25,21.92,657200,0
20010426,22.05,22.11,21.60,21.69,4385200,0
20010427,21.63,22.00,21.59,21.82,434000,0
20010430,21.75,22.63,21.75,22.44,1066400,0
20010501,22.40,22.41,21.46,21.89,1427600,0
20010502,21.69,21.69,20.81,21.00,1777200,0
20010503,21.15,21.55,20.38,21.41,1367200,0
20010504,21.35,21.35,20.25,20.56,2466000,0
20010507,20.61,20.89,20.43,20.65,970000,0
20010508,20.65,20.88,20.06,20.08,2170000,0
20010509,20.20,20.40,20.00,20.17,880800,0
20010510,20.25,20.42,20.04,20.30,420800,0
20010511,20.15,20.87,20.15,20.33,8469600,0
20010514,20.44,20.71,20.22,20.38,532000,0
20010515,20.38,20.50,20.18,20.50,411200,0
20010516,20.44,20.91,20.36,20.91,603200,0
20010517,20.85,20.85,20.71,20.76,844400,0
20010518,20.75,20.75,20.31,20.31,1059200,0
20010521,20.31,20.31,19.13,19.23,1791600,0
20010522,19.31,19.94,19.14,19.85,8965200,0
20010523,19.61,19.88,18.91,18.91,2314400,0
20010524,19.02,19.74,19.02,19.73,5461600,0
20010525,19.73,20.31,19.73,20.24,5020400,0
20010528,20.24,20.24,20.24,20.24,0,0
20010529,20.14,20.14,19.38,19.45,1136800,0
20010530,19.92,19.92,19.61,19.66,1458000,0
20010531,20.00,20.25,19.94,20.05,735200,0
