DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,27.00,27.00,25.19,25.38,0,0
20010103,25.38,27.75,25.19,26.19,13321,0
20010104,26.69,26.69,24.13,24.44,0,0
20010105,24.44,24.56,23.81,24.06,10303,0
20010108,24.44,24.56,23.94,24.06,0,0
20010109,24.06,25.06,24.06,24.75,10184,0
20010110,25.19,25.63,24.94,25.06,13532,0
20010111,25.44,25.69,24.94,25.06,5546,0
20010112,24.94,24.94,24.19,24.44,8957,0
20010115,24.44,24.44,24.44,24.44,0,0
20010116,24.19,25.44,24.13,25.06,35465,0
20010117,25.13,26.00,25.13,25.50,8610,0
20010118,25.50,25.56,24.81,25.19,9487,0
20010119,25.19,25.25,24.31,24.56,5607,0
20010122,24.56,24.56,24.56,24.56,0,0
20010123,26.56,27.63,26.31,27.19,9594,0
20010124,27.50,30.00,27.38,29.69,19674,0
20010125,29.38,29.94,29.00,29.63,13862,0
20010126,28.56,29.88,28.06,29.50,10378,0
20010129,29.27,31.31,29.25,30.72,1578800,0
20010130,31.19,31.34,29.00,31.03,876300,0
20010131,29.50,29.78,28.94,29.22,3593400,0
20010201,29.02,29.69,28.51,28.82,2500700,0
20010202,29.00,29.87,28.83,29.67,457000,0
20010205,29.14,30.44,29.14,29.97,987300,0
20010206,29.97,30.39,27.25,27.90,8798900,0
20010207,28.15,28.65,27.95,28.01,1246700,0
20010208,28.10,28.25,27.70,28.12,603700,0
20010209,27.90,28.14,27.69,27.89,0,0
20010212,27.64,28.55,27.64,28.46,605900,0
20010213,27.65,28.00,26.00,26.38,2370700,0
20010214,25.38,26.50,25.27,26.12,32847600,0
20010215,25.92,26.50,25.86,26.24,1098600,0
20010216,26.30,26.50,25.68,25.70,1258000,0
20010219,25.70,25.70,25.70,25.70,0,0
20010220,25.45,25.79,24.26,24.50,3777200,0
20010221,25.40,25.49,24.52,24.52,2487900,0
20010222,24.90,25.25,24.68,25.08,943700,0
20010223,24.78,25.14,24.75,25.03,763600,0
20010226,25.08,25.87,25.01,25.77,625000,0
20010227,26.00,27.50,25.90,26.71,969700,0
20010228,26.96,28.00,25.80,26.17,1248000,0
20010301,27.10,27.19,26.25,26.70,18990200,0
20010302,26.95,27.79,26.95,27.35,29096300,0
20010305,27.90,28.00,27.32,27.48,1250800,0
20010306,27.45,28.50,27.30,27.50,1666800,0
20010307,27.55,27.70,27.20,27.50,824200,0
20010308,27.55,27.79,27.50,27.60,491600,0
20010309,27.52,27.60,27.05,27.48,1396100,0
20010312,26.85,27.26,26.75,26.93,2595000,0
20010313,26.68,27.36,26.53,27.36,980100,0
20010314,26.80,27.00,26.49,26.64,3294500,0
20010315,26.40,27.15,26.36,27.02,2436900,0
20010316,26.50,27.62,26.50,27.61,1625800,0
20010319,27.55,27.85,27.11,27.72,1212200,0
20010320,27.65,27.89,27.32,27.59,691100,0
20010321,27.40,27.44,26.81,26.88,11497800,0
20010322,27.00,27.00,26.06,26.75,940300,0
20010323,26.50,27.27,26.36,26.50,1122900,0
20010326,26.80,28.21,26.80,27.07,784700,0
20010327,27.40,27.84,27.30,27.67,9546800,0
20010328,27.62,27.80,27.40,27.77,748800,0
20010329,27.53,28.17,27.44,27.92,1404100,0
20010330,28.50,29.65,28.50,29.22,5600400,0
20010402,28.95,29.40,28.31,28.36,1242700,0
20010403,28.36,28.36,27.05,27.21,1165000,0
20010404,27.50,28.26,27.45,27.73,991100,0
20010405,28.00,28.95,27.95,28.71,700400,0
20010406,28.20,28.49,27.25,27.76,478500,0
20010409,28.40,28.73,27.85,28.40,480200,0
20010410,28.65,29.15,28.18,29.00,5653100,0
20010411,28.75,28.97,28.08,28.50,1318000,0
20010412,28.25,28.91,28.10,28.25,498000,0
20010416,28.35,29.25,28.35,28.89,8734100,0
20010417,29.00,29.85,28.95,29.60,1307600,0
20010418,29.60,29.90,29.00,29.60,23064900,0
20010419,29.60,29.77,29.00,29.25,1951900,0
20010420,29.13,29.70,29.13,29.38,600600,0
20010423,29.38,29.60,29.22,29.36,691900,0
20010424,29.50,29.74,29.20,29.38,767700,0
20010425,29.50,29.70,29.40,29.58,10503500,0
20010426,29.55,29.97,29.50,29.70,1399700,0
20010427,30.00,30.15,29.93,29.95,2076600,0
20010430,29.95,30.20,29.80,29.91,1501800,0
20010501,29.91,29.91,29.33,29.55,1204200,0
20010502,29.60,29.75,29.20,29.50,1320500,0
20010503,29.40,30.00,29.30,29.93,12659600,0
20010504,29.81,30.00,29.65,29.95,874100,0
20010507,29.95,29.95,29.62,29.83,533300,0
20010508,30.30,31.68,30.30,31.50,2329900,0
20010509,31.46,32.20,31.00,32.05,1409000,0
20010510,32.05,32.55,31.51,31.75,20831400,0
20010511,31.67,31.95,31.30,31.40,2335500,0
20010514,31.40,31.70,31.15,31.70,7769600,0
20010515,31.75,32.03,31.75,31.93,886900,0
20010516,31.94,33.75,31.94,33.75,2726300,0
20010517,33.45,33.46,31.47,31.65,17998200,0
20010518,32.10,32.90,31.74,32.75,2727000,0
20010521,32.68,33.00,32.30,32.83,6693800,0
20010522,32.63,33.12,32.43,33.00,5429800,0
20010523,32.70,32.85,32.20,32.34,876000,0
20010524,32.20,33.00,31.87,32.93,2114300,0
20010525,32.92,33.00,32.50,32.87,4226900,0
20010528,32.87,32.87,32.87,32.87,0,0
20010529,32.85,33.45,32.72,33.21,11597200,0
20010530,33.15,33.25,32.73,32.91,47581600,0
20010531,32.00,32.79,31.88,32.41,792500,0
20010601,31.80,32.10,30.44,31.97,9896500,0
20010604,31.72,32.46,31.68,32.22,646600,0
20010605,32.23,33.00,32.12,32.93,4561600,0
20010606,32.62,32.71,32.15,32.15,1053500,0
20010607,32.05,32.10,31.15,31.75,7508300,0
20010608,31.80,32.20,31.70,32.03,1427500,0
20010611,31.80,32.04,31.67,31.82,1313700,0
20010612,31.80,32.04,31.45,31.96,1189000,0
20010613,31.96,32.77,31.96,32.43,5413300,0
20010614,32.15,32.20,31.25,31.27,4403300,0
20010615,31.45,32.20,31.35,31.58,1554000,0
20010618,31.73,32.38,31.60,32.14,1316200,0
20010619,32.21,32.55,32.21,32.51,366200,0
20010620,32.41,32.78,32.36,32.54,9528800,0
20010621,32.50,33.08,32.46,32.97,907200,0
20010622,32.77,32.95,32.51,32.60,7450300,0
20010625,32.85,32.85,31.88,32.20,7604800,0
20010626,31.80,32.75,31.61,32.69,636400,0
20010627,32.59,33.00,32.55,32.61,777300,0
20010628,32.71,32.71,31.90,32.11,814300,0
20010629,31.86,32.23,31.85,32.12,2936600,0
20010702,32.00,32.09,31.79,32.01,1664300,0
20010703,31.82,32.13,31.81,31.96,321900,0
20010704,31.96,31.96,31.96,31.96,0,0
20010705,31.85,32.30,31.71,31.99,512100,0
20010706,32.00,32.15,31.76,31.85,764200,0
