DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,0.9531,1.0156,0.9531,1.0156,440800,0
20010103,1.0000,1.0391,1.0000,1.0313,314400,0
20010104,1.0313,1.0313,1.0000,1.0078,283200,0
20010105,1.0234,1.0469,1.0156,1.0391,935200,0
20010108,1.0469,1.0547,1.0313,1.0469,261600,0
20010109,1.0469,1.0469,1.0313,1.0469,330400,0
20010110,1.0391,1.0547,1.0156,1.0234,534400,0
20010111,1.0313,1.0391,1.0234,1.0234,340000,0
20010112,1.0391,1.0391,1.0078,1.0391,16000000,0
20010115,1.0391,1.0391,1.0391,1.0391,0,0
20010116,1.0391,1.1328,1.0352,1.1094,5456800,0
20010117,1.1523,1.1719,1.1016,1.1250,4280000,0
20010118,1.1406,1.2188,1.1328,1.1641,1513600,0
20010119,1.1680,1.1719,1.1094,1.1484,149600,0
20010122,1.1406,1.2188,1.1250,1.1797,648800,0
20010123,1.1328,1.1875,1.0938,1.1211,688000,0
20010124,1.0859,1.1250,1.0000,1.1250,760800,0
20010125,1.1328,1.1406,1.0781,1.0781,227200,0
20010126,1.0625,1.1094,1.0625,1.1094,291200,0
20010129,1.1055,1.1094,1.0781,1.1094,204800,0
20010130,1.1094,1.1094,1.0938,1.1094,116000,0
20010131,1.1094,1.1250,1.0703,1.1094,215200,0
20010201,1.0977,1.2344,1.0625,1.2344,2936000,0
20010202,1.2500,1.2578,1.1641,1.1914,393600,0
20010205,1.1719,1.2500,1.1719,1.2500,341600,0
20010206,1.2734,1.3984,1.2734,1.3828,1124800,0
20010207,1.3828,1.3828,1.3203,1.3516,419200,0
20010208,1.3906,1.3906,1.2969,1.3359,360000,0
20010209,1.3047,1.3203,1.2734,1.3047,472000,0
20010212,1.2930,1.2969,1.2109,1.2891,416000,0
20010213,1.2539,1.3203,1.2266,1.3203,509600,0
20010214,1.2969,1.3203,1.2813,1.3203,258400,0
20010215,1.2891,1.4766,1.2891,1.4375,1436000,0
20010216,1.4609,1.5078,1.4453,1.5078,472000,0
20010219,1.5078,1.5078,1.5078,1.5078,0,0
20010220,1.5000,1.5703,1.5000,1.5703,410400,0
20010221,1.5586,1.5625,1.4688,1.5000,627200,0
20010222,1.4844,1.4922,1.4375,1.4688,540000,0
20010223,1.4219,1.4297,1.3828,1.3984,538400,0
20010226,1.3828,1.4063,1.3828,1.3828,54400,0
20010227,1.3672,1.3984,1.3281,1.3906,190400,0
20010228,1.4141,1.4141,1.3594,1.3984,100800,0
20010301,1.4063,1.4609,1.3906,1.4375,248000,0
20010302,1.4219,1.4375,1.3828,1.3906,96000,0
20010305,1.4023,1.4297,1.2969,1.2969,157600,0
20010306,1.2695,1.4219,1.2656,1.3984,896000,0
20010307,1.4063,1.4609,1.4063,1.4609,664000,0
20010308,1.4688,1.4688,1.4063,1.4453,475200,0
20010309,1.4141,1.4531,1.4141,1.4531,1018400,0
20010312,1.4375,1.5000,1.3906,1.5000,2371200,0
20010313,1.4922,1.4922,1.4219,1.4453,903200,0
20010314,1.4063,1.4453,1.3906,1.3984,50400,0
20010315,1.3984,1.4531,1.3906,1.4141,1388000,0
20010316,1.4023,1.4219,1.3984,1.4141,313600,0
20010319,1.4063,1.4297,1.4063,1.4297,89600,0
20010320,1.4063,1.4531,1.4063,1.4297,133600,0
20010321,1.3828,1.4375,1.3828,1.4297,117600,0
20010322,1.3828,1.4141,1.3281,1.4141,332000,0
20010323,1.3672,1.4063,1.3359,1.3594,295200,0
20010326,1.3438,1.3750,1.3438,1.3672,52000,0
20010327,1.3675,1.3675,1.3288,1.3288,240800,0
20010328,1.3200,1.3288,1.3200,1.3288,38400,0
20010329,1.3200,1.3200,1.3050,1.3050,219200,0
20010330,1.3125,1.3438,1.2975,1.3362,420000,0
20010402,1.3125,1.3362,1.3050,1.3288,124800,0
20010403,1.3288,1.3288,1.2975,1.3050,292000,0
20010404,1.2888,1.3200,1.2350,1.2975,368800,0
20010405,1.2263,1.3200,1.2263,1.3050,369600,0
20010406,1.3125,1.3362,1.2975,1.3288,115200,0
20010409,1.2962,1.3250,1.2500,1.3250,147200,0
20010410,1.3062,1.3350,1.3062,1.3312,608000,0
20010411,1.3300,1.3400,1.3300,1.3388,51200,0
20010412,1.3325,1.4225,1.3325,1.4188,173600,0
20010416,1.4188,1.4188,1.3450,1.3813,252800,0
20010417,1.3813,1.3950,1.3763,1.3875,191200,0
20010418,1.3875,1.4175,1.3650,1.4100,248000,0
20010419,1.4100,1.4725,1.3763,1.4288,287200,0
20010420,1.4288,1.4288,1.4138,1.4250,226400,0
20010423,1.4250,1.4350,1.4138,1.4288,16348800,0
