DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,14.42,14.47,13.38,13.62,15984,0
20010103,13.50,13.92,13.49,13.58,7276,0
20010104,13.65,13.67,12.40,12.95,7876,0
20010105,12.73,13.50,12.64,13.28,13700,0
20010108,13.24,13.78,13.09,13.30,8452,0
20010109,13.35,13.75,13.23,13.70,0,0
20010110,13.68,13.87,13.30,13.53,16428,0
20010111,13.58,13.70,13.48,13.50,6376,0
20010112,13.45,13.84,13.45,13.71,86828,0
20010115,13.71,13.71,13.71,13.71,0,0
20010116,13.71,13.71,13.31,13.36,0,0
20010117,13.50,13.70,13.23,13.26,7424,0
20010118,13.31,13.78,13.28,13.50,8968,0
20010119,13.50,13.58,12.79,12.95,0,0
20010122,12.95,12.95,12.95,12.95,0,0
20010123,12.51,12.82,12.01,12.25,10388,0
20010124,12.26,12.51,12.18,12.51,10244,0
20010125,13.84,15.17,13.78,14.78,52808,0
20010126,15.05,15.50,14.56,15.30,19344,0
20010129,15.29,15.49,15.01,15.25,0,0
20010130,15.24,15.24,14.62,14.69,0,0
20010131,14.61,14.61,14.17,14.53,808400,0
20010201,14.52,14.76,14.50,14.66,0,0
20010202,14.68,14.84,13.99,14.12,874800,0
20010205,14.17,14.61,14.17,14.46,0,0
20010206,14.45,14.66,14.34,14.61,1013600,0
20010207,14.61,14.85,14.61,14.85,0,0
20010208,14.83,15.23,14.56,14.68,412400,0
20010209,14.61,14.61,14.32,14.39,0,0
20010212,14.37,14.52,14.35,14.52,0,0
20010213,14.58,14.60,14.39,14.42,270800,0
20010214,14.42,14.65,14.22,14.61,0,0
20010215,14.97,15.32,14.97,15.22,1029200,0
20010216,15.14,15.17,14.98,14.98,594000,0
20010219,14.98,14.98,14.98,14.98,0,0
20010220,15.01,15.20,14.88,15.15,388400,0
20010221,15.20,15.53,15.20,15.29,626400,0
20010222,15.30,15.30,15.04,15.05,8988400,0
20010223,15.00,15.24,14.92,15.23,1060400,0
20010226,15.23,16.12,15.23,15.54,9277600,0
20010227,15.49,15.61,15.23,15.41,4798400,0
20010228,15.44,15.49,14.70,14.70,528400,0
20010301,14.88,14.88,13.81,14.43,1355200,0
20010302,14.38,14.85,14.24,14.74,580800,0
20010305,14.76,14.76,14.52,14.57,410400,0
20010306,14.57,14.66,14.54,14.61,378400,0
20010307,14.61,14.97,14.50,14.78,545200,0
20010308,14.77,14.79,14.65,14.66,254800,0
20010309,14.66,14.92,14.66,14.83,4476800,0
20010312,14.83,14.83,14.51,14.51,8294400,0
20010313,14.49,14.49,14.04,14.23,716800,0
20010314,14.17,14.21,13.84,13.93,16687200,0
20010315,13.96,14.19,13.96,14.17,710800,0
20010316,14.11,14.12,13.95,14.06,1089600,0
20010319,14.00,14.39,13.50,14.39,793600,0
20010320,14.39,14.39,13.99,13.99,392800,0
20010321,14.21,14.21,14.08,14.17,4951200,0
20010322,14.17,14.17,13.37,13.82,911600,0
20010323,13.77,13.93,13.57,13.84,532000,0
20010326,13.89,14.11,13.89,13.94,288800,0
20010327,13.95,13.95,13.69,13.82,320000,0
20010328,13.87,14.08,13.73,14.02,510400,0
20010329,14.02,14.06,13.74,13.95,618000,0
20010330,14.11,14.17,13.81,13.85,698000,0
20010402,13.59,13.78,13.50,13.63,604800,0
20010403,13.57,13.57,13.08,13.28,884000,0
20010404,13.28,13.34,12.90,12.95,899600,0
20010405,13.06,13.28,13.00,13.26,558800,0
20010406,13.24,13.31,12.98,13.01,341600,0
20010409,12.95,13.18,12.94,13.03,512000,0
20010410,13.10,13.37,13.10,13.36,778800,0
20010411,13.45,13.54,12.86,13.18,299600,0
20010412,13.15,13.26,12.88,13.01,448000,0
20010416,13.06,13.23,12.95,12.96,280400,0
20010417,13.02,13.50,13.02,13.45,278000,0
20010418,13.50,13.85,13.45,13.45,396400,0
20010419,13.45,13.72,13.45,13.59,4367600,0
20010420,13.57,13.57,13.18,13.33,155200,0
20010423,13.40,13.86,13.40,13.78,391200,0
20010424,13.73,14.09,13.71,13.95,487200,0
20010425,13.93,15.19,13.93,15.17,1021600,0
20010426,15.12,15.50,14.79,15.21,2597600,0
20010427,15.20,15.57,15.20,15.24,870400,0
20010430,15.20,15.50,15.13,15.26,577600,0
20010501,15.23,15.27,15.05,15.23,578400,0
20010502,15.27,15.27,14.98,14.99,381200,0
20010503,14.93,14.93,14.56,14.59,583200,0
20010504,14.57,14.57,14.30,14.30,1048800,0
20010507,14.32,14.45,14.27,14.39,433200,0
20010508,14.28,14.80,14.07,14.77,1538400,0
20010509,14.78,14.95,14.43,14.48,569600,0
20010510,14.46,15.26,14.45,15.09,646800,0
