DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,9.00,9.05,8.77,8.78,0,0
20010103,8.78,8.99,8.56,8.97,1784400,0
20010104,8.97,9.16,8.85,9.14,5754400,0
20010105,9.19,9.19,8.89,8.89,0,0
20010108,8.89,9.23,8.85,9.19,807600,0
20010109,9.19,9.19,8.96,9.06,0,0
20010110,8.94,8.96,8.71,8.83,1016400,0
20010111,8.83,8.83,8.49,8.53,1443600,0
20010112,8.49,8.76,8.45,8.62,0,0
20010115,8.62,8.62,8.62,8.62,0,0
20010116,8.55,8.97,8.53,8.91,0,0
20010117,8.94,9.00,8.85,8.91,0,0
20010118,8.91,9.06,8.90,8.96,490000,0
20010119,8.88,8.89,8.31,8.38,1037600,0
20010122,8.38,8.38,8.38,8.38,0,0
20010123,8.44,8.55,8.40,8.48,656400,0
20010124,8.48,8.52,8.33,8.40,771200,0
20010125,8.27,8.48,8.20,8.40,0,0
20010126,8.30,8.42,8.30,8.35,918000,0
20010129,8.81,8.99,8.50,8.69,0,0
20010130,8.50,9.05,8.50,8.78,0,0
20010131,8.59,8.86,8.58,8.72,0,0
20010201,8.77,8.82,8.69,8.74,0,0
20010202,8.80,8.88,8.71,8.72,436000,0
20010205,8.80,8.82,8.60,8.72,501200,0
20010206,8.74,8.96,8.73,8.94,641600,0
20010207,8.85,8.96,8.65,8.93,0,0
20010208,8.99,8.99,8.68,8.80,0,0
20010209,8.73,8.80,8.57,8.60,404000,0
20010212,8.66,8.82,8.57,8.80,800400,0
20010213,8.86,9.06,8.80,9.04,1063200,0
20010214,8.98,8.99,8.90,8.97,670400,0
20010215,8.91,8.95,8.89,8.93,460800,0
20010216,8.93,8.98,8.86,8.96,76000000,0
20010219,8.96,8.96,8.96,8.96,0,0
20010220,9.05,9.16,8.93,8.94,778000,0
20010221,8.93,8.93,8.53,8.54,608800,0
20010222,8.54,8.79,8.53,8.70,620800,0
20010223,8.75,8.85,8.68,8.79,537200,0
20010226,8.79,9.08,8.73,8.95,8616400,0
20010227,8.96,8.98,8.72,8.82,20892000,0
20010228,8.85,9.03,8.76,9.02,573600,0
20010301,8.91,8.91,8.63,8.68,1115600,0
20010302,8.65,8.86,8.59,8.80,738000,0
20010305,8.79,8.79,8.59,8.76,661200,0
20010306,8.73,9.00,8.70,8.89,436800,0
20010307,8.86,9.03,8.82,9.02,619200,0
20010308,9.05,9.13,9.00,9.13,512000,0
20010309,9.10,9.13,8.93,9.07,372400,0
20010312,9.13,9.13,8.93,8.94,550000,0
20010313,8.94,8.94,8.53,8.82,674400,0
20010314,8.78,8.92,8.44,8.54,527600,0
20010315,8.54,8.82,8.49,8.78,606000,0
20010316,8.57,8.79,8.57,8.69,623200,0
20010319,8.80,8.99,8.75,8.83,1062400,0
20010320,8.86,9.15,8.84,8.93,746800,0
20010321,8.90,8.98,8.82,8.84,756800,0
20010322,8.70,8.72,8.40,8.48,898000,0
20010323,8.41,8.66,8.33,8.65,624400,0
20010326,8.66,8.97,8.66,8.81,528800,0
20010327,8.90,8.93,8.61,8.86,918000,0
20010328,8.80,8.91,8.63,8.77,593200,0
20010329,8.75,8.90,8.69,8.86,428000,0
20010330,8.88,8.88,8.63,8.75,20592400,0
20010402,8.76,8.97,8.69,8.96,1333600,0
20010403,8.98,8.98,8.57,8.63,773600,0
20010404,8.55,8.93,8.55,8.86,527200,0
20010405,8.82,9.05,8.82,9.04,311600,0
20010406,9.05,9.25,8.94,9.25,1018400,0
20010409,9.35,9.78,9.35,9.71,2341600,0
20010410,9.88,9.96,9.48,9.57,1039600,0
20010411,9.50,9.50,9.21,9.30,4638800,0
20010412,9.30,9.39,9.03,9.39,745200,0
20010416,9.38,9.63,9.27,9.32,695200,0
20010417,9.35,9.60,9.34,9.60,746000,0
20010418,9.70,10.10,9.70,9.91,4870400,0
20010419,9.91,9.91,9.73,9.89,491200,0
20010420,9.89,9.90,9.48,9.61,621600,0
20010423,9.69,9.90,9.65,9.78,498400,0
20010424,9.62,9.74,9.50,9.72,1924400,0
20010425,9.69,9.90,9.53,9.90,637200,0
20010426,9.88,10.03,9.84,9.99,926000,0
20010427,10.01,10.29,10.01,10.16,1088000,0
20010430,10.11,10.15,9.90,10.15,1206000,0
20010501,10.15,10.27,10.09,10.21,813200,0
20010502,10.21,10.28,10.10,10.19,864400,0
20010503,10.16,10.22,10.06,10.12,8542400,0
20010504,10.14,10.44,10.13,10.33,1070400,0
20010507,10.25,10.35,10.22,10.24,570400,0
20010508,10.23,10.23,10.04,10.06,898000,0
20010509,10.10,10.10,9.95,10.01,722800,0
20010510,10.00,10.35,10.00,10.24,4564800,0
20010511,10.25,10.25,10.03,10.18,489200,0
20010514,10.18,10.25,10.13,10.14,499600,0
20010515,10.14,10.26,10.07,10.21,506800,0
20010516,10.00,10.37,10.00,10.37,620000,0
20010517,10.37,10.40,10.15,10.24,1025600,0
20010518,10.25,10.29,10.18,10.29,864800,0
20010521,10.29,10.34,10.26,10.34,591200,0
20010522,10.34,10.50,10.34,10.48,1120400,0
20010523,10.50,10.50,10.40,10.49,1292000,0
20010524,10.50,10.50,10.35,10.50,576000,0
20010525,10.50,10.50,10.35,10.48,614800,0
20010528,10.48,10.48,10.48,10.48,0,0
20010529,10.48,10.68,10.48,10.50,4629600,0
20010530,10.55,10.60,10.22,10.25,627600,0
20010531,10.26,10.34,10.20,10.34,8631600,0
20010601,10.38,10.46,10.27,10.44,402800,0
20010604,10.45,10.46,10.27,10.35,454800,0
20010605,10.37,10.47,10.25,10.28,4734800,0
20010606,10.20,10.25,10.07,10.15,774400,0
20010607,10.15,10.18,9.98,10.05,590800,0
20010608,10.04,10.04,9.75,9.94,888800,0
20010611,9.99,9.99,9.50,9.58,1204000,0
20010612,9.63,9.63,9.25,9.30,1117200,0
20010613,9.31,9.55,9.25,9.43,1354800,0
20010614,9.47,9.50,9.12,9.13,809200,0
20010615,9.20,9.31,9.13,9.19,13680800,0
20010618,9.32,9.35,9.22,9.22,21554000,0
20010619,9.13,9.32,9.13,9.25,1062400,0
20010620,9.25,9.35,9.24,9.25,9039600,0
20010621,9.28,9.38,9.27,9.27,5099600,0
20010622,9.29,9.30,9.07,9.09,599200,0
20010625,9.09,9.38,9.01,9.01,4732800,0
20010626,9.00,9.07,8.95,8.99,898400,0
20010627,9.00,9.04,8.85,8.86,44119200,0
20010628,8.86,9.20,8.86,9.03,527600,0
20010629,8.98,9.26,8.93,9.10,646400,0
20010702,9.13,9.23,9.05,9.10,1106000,0
20010703,9.06,9.09,8.94,9.07,353200,0
20010704,9.07,9.07,9.07,9.07,0,0
20010705,9.05,9.05,8.84,8.93,856400,0
20010706,8.91,8.91,8.68,8.75,748400,0
20010709,8.73,8.80,8.68,8.76,444800,0
20010710,8.77,8.95,8.71,8.84,688400,0
20010711,8.86,9.00,8.85,8.95,631600,0
20010712,9.00,9.18,8.98,9.07,1016000,0
20010713,9.09,9.19,9.03,9.13,607200,0
20010716,9.13,9.35,9.13,9.35,4715600,0
20010717,9.34,9.34,9.24,9.24,532800,0
20010718,9.36,9.80,9.35,9.80,1212000,0
20010719,9.85,9.96,9.78,9.82,1012800,0
20010720,9.82,9.99,9.76,9.82,632400,0
20010723,9.98,9.98,9.78,9.78,21640000,0
20010724,9.78,9.80,9.57,9.58,338400,0
20010725,9.55,9.65,9.43,9.63,588400,0
20010726,9.58,9.58,9.35,9.43,626400,0
20010727,9.44,9.46,9.10,9.13,4569600,0
20010730,9.20,9.21,9.07,9.18,654000,0
20010731,9.15,9.29,9.15,9.15,272400,0
20010801,9.10,9.10,8.93,9.07,5128400,0
20010802,9.05,9.25,8.98,9.23,694000,0
20010803,9.23,9.23,9.12,9.21,517200,0
20010806,9.25,9.25,8.99,8.99,304800,0
20010807,8.98,9.01,8.78,8.90,21118000,0
20010808,8.85,9.05,8.85,8.91,701200,0
20010809,8.89,9.10,8.89,9.05,536400,0
20010810,9.03,9.22,8.94,9.15,432800,0
20010813,9.14,9.22,9.04,9.18,437200,0
20010814,9.16,9.28,9.15,9.21,278400,0
20010815,9.23,9.34,9.19,9.32,378400,0
20010816,9.32,9.32,9.04,9.07,657600,0
20010817,9.02,9.05,8.85,8.91,569600,0
20010820,9.00,9.03,8.86,8.93,632000,0
20010821,8.99,9.10,8.98,9.02,554000,0
20010822,8.82,8.82,8.15,8.54,43145200,0
20010823,8.48,8.54,8.38,8.45,6268400,0
20010824,8.48,8.59,8.46,8.54,712800,0
20010827,8.53,8.56,8.49,8.52,664800,0
20010828,8.52,8.54,8.43,8.43,5382800,0
20010829,8.45,8.53,8.45,8.50,5223600,0
20010830,8.49,8.50,8.40,8.43,4908800,0
20010831,8.42,8.68,8.40,8.64,948400,0
20010903,8.64,8.64,8.64,8.64,0,0
20010904,8.61,8.84,8.61,8.61,768000,0
20010905,8.51,8.63,8.34,8.49,755600,0
20010906,8.37,8.40,8.14,8.16,955200,0
20010907,8.13,8.19,8.00,8.00,5429600,0
20010910,8.01,8.30,7.98,8.17,9477200,0
20010911,8.17,8.17,8.17,8.17,0,0
20010917,7.88,7.90,7.70,7.70,2380800,0
20010918,7.75,7.88,7.73,7.77,1705200,0
20010919,7.75,7.89,7.65,7.83,1243600,0
20010920,7.83,7.83,7.48,7.48,1706000,0
20010921,7.30,7.43,7.23,7.36,2006800,0
20010924,7.36,7.95,7.36,7.93,188068400,0
20010925,7.93,7.94,7.54,7.63,1734000,0
20010926,7.56,7.58,7.23,7.27,2193600,0
20010927,7.29,7.29,7.08,7.19,1282800,0
20010928,7.28,7.46,7.08,7.32,1824000,0
20011001,7.31,7.37,7.14,7.15,1209200,0
20011002,7.15,7.46,7.05,7.38,1428000,0
20011003,7.08,7.99,7.06,7.93,3138400,0
20011004,7.87,8.10,7.86,7.94,1608400,0
20011005,7.94,7.94,7.74,7.83,1757200,0
20011008,7.83,7.84,7.73,7.75,699600,0
20011009,7.78,7.78,7.70,7.75,467200,0
20011010,7.74,8.07,7.69,8.06,1584800,0
20011011,8.09,8.52,8.09,8.40,1452400,0
20011012,8.36,8.36,8.01,8.24,873600,0
20011015,8.21,8.24,8.06,8.23,320000,0
20011016,8.14,8.35,8.09,8.32,744400,0
20011017,8.28,8.48,8.20,8.29,544400,0
20011018,8.29,8.29,7.78,8.19,2526400,0
20011019,8.16,8.20,8.04,8.18,943600,0
20011022,8.00,8.24,7.98,8.21,1323600,0
20011023,8.14,8.50,8.14,8.24,1467200,0
20011024,8.24,8.30,8.04,8.07,1014800,0
20011025,8.01,8.20,7.95,8.15,1339200,0
20011026,8.31,8.74,8.25,8.74,1154000,0
20011029,8.74,8.74,8.41,8.44,1098000,0
20011030,8.43,8.43,8.10,8.13,841200,0
20011031,8.11,8.36,8.10,8.31,1216800,0
20011101,8.31,8.40,8.15,8.37,920000,0
20011102,8.34,8.70,8.34,8.68,553600,0
20011105,8.63,8.88,8.63,8.85,954400,0
20011106,8.84,9.16,8.81,9.10,854400,0
20011107,9.03,9.28,8.95,9.25,1459200,0
20011108,9.23,9.41,9.21,9.24,513600,0
20011109,9.20,9.23,9.11,9.22,579600,0
20011112,9.13,9.13,9.00,9.11,567200,0
20011113,9.10,9.38,9.10,9.36,8676800,0
20011114,9.40,9.78,9.40,9.62,1494800,0
20011115,9.75,9.99,9.67,9.69,5565600,0
20011116,9.70,9.70,9.47,9.53,1062400,0
20011119,9.57,9.93,9.57,9.85,4918000,0
20011120,9.83,9.83,9.63,9.65,664400,0
20011121,9.57,9.59,9.41,9.53,825600,0
20011122,9.53,9.53,9.53,9.53,0,0
20011123,9.54,9.75,9.53,9.71,402800,0
20011126,9.71,9.73,9.44,9.73,1029200,0
20011127,9.65,9.65,9.43,9.50,646000,0
20011128,9.48,9.48,9.25,9.25,727600,0
20011129,9.25,9.50,9.18,9.47,745200,0
20011130,9.47,9.59,9.46,9.49,754800,0
20011203,9.49,9.51,9.34,9.39,709200,0
20011204,9.39,9.50,9.39,9.46,981600,0
20011205,9.50,9.76,9.50,9.71,1013200,0
20011206,9.71,9.92,9.66,9.90,1020000,0
20011207,9.88,9.88,9.70,9.70,1067600,0
20011210,9.65,9.74,9.58,9.64,1297200,0
20011211,9.70,9.82,9.65,9.71,1350800,0
20011212,9.72,9.88,9.69,9.72,649600,0
20011213,9.68,9.80,9.55,9.71,836800,0
20011214,9.73,9.76,9.48,9.48,852800,0
20011217,9.55,9.78,9.52,9.67,1133600,0
20011218,9.62,9.99,9.62,9.94,1111200,0
20011219,9.94,9.99,9.82,9.92,845200,0
20011220,9.87,9.96,9.66,9.80,909600,0
20011221,9.85,9.99,9.78,9.89,1237200,0
20011224,9.91,9.94,9.78,9.81,193200,0
20011226,9.82,10.25,9.82,10.16,946000,0
20011227,10.16,10.21,9.83,9.86,756800,0
20011228,9.86,9.87,9.66,9.66,1046400,0
20011231,9.72,9.96,9.67,9.75,697200,0
20020102,9.81,9.88,9.79,9.82,728000,0
20020103,9.82,10.06,9.80,10.04,881600,0
20020104,10.07,10.30,10.07,10.21,492000,0
20020107,10.24,10.25,10.16,10.18,434400,0
20020108,10.09,10.24,10.09,10.22,577600,0
20020109,10.27,10.28,9.91,9.99,948800,0
20020110,9.96,10.06,9.92,10.03,674400,0
20020111,10.03,10.07,9.88,9.88,531200,0
20020114,9.89,10.13,9.88,10.06,1156000,0
20020115,10.06,10.33,10.04,10.24,1494400,0
20020116,10.28,10.32,9.84,9.85,1331200,0
20020117,9.85,9.85,9.75,9.81,1680800,0
20020118,9.78,9.96,9.76,9.86,1669600,0
20020121,9.86,9.86,9.86,9.86,0,0
20020122,9.88,10.04,9.80,9.90,909200,0
20020123,9.91,10.13,9.91,10.07,1050000,0
20020124,10.07,10.27,10.07,10.23,933600,0
20020125,10.23,10.32,10.10,10.17,880800,0
20020128,10.11,10.34,10.10,10.29,813200,0
20020129,10.30,10.32,9.99,10.00,896800,0
20020130,9.90,10.00,9.81,9.93,811200,0
20020131,9.95,10.15,9.88,10.15,1176400,0
20020201,10.16,10.18,9.99,10.05,892400,0
20020204,10.05,10.18,9.93,10.01,928000,0
20020205,10.02,10.20,9.93,10.01,678000,0
20020206,10.02,10.10,9.91,10.02,959200,0
20020207,10.07,10.16,9.91,9.91,925200,0
20020208,9.91,9.95,9.83,9.88,1116000,0
20020211,9.90,10.30,9.89,10.26,676800,0
20020212,10.21,10.30,10.07,10.11,731600,0
20020213,9.99,10.28,9.81,10.22,1795200,0
20020214,10.25,10.44,10.14,10.25,934800,0
20020215,10.25,10.30,10.15,10.16,849600,0
20020218,10.16,10.16,10.16,10.16,0,0
20020219,10.12,10.12,10.00,10.00,1096800,0
20020220,10.06,10.15,10.01,10.13,1348800,0
20020221,10.16,10.25,10.12,10.16,845200,0
20020222,10.16,10.38,10.12,10.34,1116400,0
20020225,10.34,10.46,10.24,10.39,4868800,0
20020226,10.30,10.48,10.23,10.40,953600,0
20020227,10.35,10.55,10.34,10.55,874800,0
20020228,10.55,10.65,10.48,10.51,929600,0
20020301,10.48,10.65,10.46,10.55,1227200,0
20020304,10.48,10.75,10.48,10.75,1112800,0
20020305,10.80,10.90,10.56,10.87,5234400,0
20020306,10.76,11.00,10.65,10.98,1370800,0
20020307,10.92,10.93,10.75,10.82,706400,0
20020308,10.82,10.89,10.60,10.62,761600,0
20020311,10.58,10.75,10.47,10.67,676000,0
20020312,10.61,10.81,10.56,10.80,710000,0
20020313,10.75,10.96,10.75,10.95,1144800,0
20020314,10.95,11.07,10.92,11.02,951200,0
20020315,11.10,11.21,11.03,11.19,1290400,0
20020318,11.08,11.14,10.86,11.10,950400,0
20020319,11.06,11.25,11.00,11.18,708400,0
20020320,11.09,11.22,11.09,11.19,530000,0
20020321,11.11,11.15,10.82,10.85,851600,0
20020322,10.80,10.81,10.67,10.72,626800,0
20020325,10.72,10.82,10.67,10.69,286800,0
20020326,10.68,10.93,10.68,10.91,692800,0
20020327,10.89,11.05,10.80,11.00,832400,0
20020328,10.99,11.03,10.79,10.81,585600,0
20020401,10.73,10.76,10.52,10.70,700800,0
20020402,10.67,10.83,10.53,10.56,1199600,0
20020403,10.55,10.67,10.51,10.57,1492400,0
20020404,10.54,10.68,10.53,10.66,1176800,0
20020405,10.66,10.84,10.65,10.76,684800,0
20020408,10.76,10.98,10.76,10.94,1434800,0
20020409,10.84,11.12,10.83,11.05,1068800,0
20020410,11.07,11.13,11.04,11.12,770800,0
20020411,11.10,11.12,11.02,11.04,1498400,0
20020412,11.04,11.12,11.00,11.10,806000,0
20020415,11.05,11.12,10.94,10.94,732000,0
20020416,10.95,11.09,10.93,11.05,1365600,0
20020417,11.05,11.05,10.97,11.02,601600,0
20020418,11.02,11.02,10.83,10.95,624000,0
20020419,10.96,10.99,10.87,10.97,5474400,0
20020422,11.00,11.01,10.85,10.87,512400,0
20020423,10.84,11.09,10.80,10.96,1596000,0
20020424,10.91,11.12,10.83,10.87,785600,0
20020425,10.77,11.06,10.76,11.03,1833200,0
20020426,11.03,11.16,10.98,10.98,1890000,0
20020429,10.94,11.02,10.88,10.89,2100000,0
20020430,10.90,10.97,10.81,10.94,2667600,0
20020501,10.94,11.05,10.93,11.00,3000400,0
20020502,11.02,11.34,11.01,11.33,2172000,0
20020503,11.36,11.41,11.24,11.25,1368400,0
20020506,11.25,11.27,11.17,11.17,9271200,0
20020507,11.18,11.35,11.14,11.31,26125200,0
20020508,11.28,11.41,11.19,11.24,18203600,0
20020509,11.18,11.27,11.13,11.16,1091600,0
20020510,11.16,11.18,10.96,11.05,2377200,0
20020513,11.06,11.09,11.01,11.03,2236000,0
20020514,11.00,11.13,11.00,11.08,3271200,0
20020515,11.09,11.18,11.06,11.06,2397600,0
20020516,11.09,11.16,11.06,11.07,5333200,0
20020517,11.04,11.24,11.04,11.10,976400,0
20020520,11.10,11.10,11.10,11.10,0,0
20020521,11.10,11.14,10.91,11.00,2780400,0
20020522,11.00,11.04,10.71,10.74,904000,0
20020523,10.75,10.94,10.73,10.79,5328800,0
20020524,10.82,10.95,10.80,10.85,1267600,0
20020527,10.85,10.85,10.85,10.85,0,0
20020528,10.84,10.84,10.64,10.75,1090800,0
20020529,10.65,10.77,10.62,10.66,526400,0
20020530,10.66,10.73,10.55,10.55,1357600,0
20020531,10.53,10.69,10.53,10.63,1456800,0
20020603,10.64,10.72,10.48,10.49,1660800,0
20020604,10.43,10.43,10.17,10.28,863200,0
20020605,10.23,10.60,10.23,10.57,781200,0
20020606,10.41,10.55,10.35,10.47,4946800,0
20020607,10.37,10.58,10.36,10.48,1365200,0
20020610,10.49,10.53,10.44,10.47,16834400,0
20020611,10.46,10.55,10.28,10.35,1458000,0
20020612,10.31,10.42,10.24,10.31,1134800,0
20020613,10.18,10.25,10.13,10.15,760000,0
20020614,10.15,10.15,9.95,10.03,1110800,0
20020617,10.03,10.23,10.03,10.22,1467200,0
20020618,10.23,10.31,10.16,10.25,1100000,0
20020619,10.26,10.34,10.03,10.07,1161200,0
20020620,10.04,10.17,9.99,10.01,1187200,0
20020621,9.93,9.99,9.73,9.79,1515200,0
20020624,9.79,9.90,9.65,9.83,1624000,0
20020625,9.83,9.91,9.71,9.71,1562400,0
20020626,9.73,9.76,9.55,9.75,1584800,0
20020627,9.75,9.83,9.63,9.75,1079200,0
20020628,9.76,9.95,9.76,9.80,2501200,0
20020701,9.75,9.81,9.63,9.63,1036400,0
20020702,9.64,9.76,9.57,9.59,1766400,0
20020703,9.55,9.62,9.22,9.24,1352000,0
20020704,9.24,9.24,9.24,9.24,0,0
20020705,9.25,9.55,9.25,9.53,68000000,0
20020708,9.53,9.56,9.43,9.52,939200,0
20020709,9.48,9.78,9.32,9.32,1507600,0
20020710,9.40,9.51,9.28,9.31,1173200,0
20020711,9.31,9.37,9.06,9.21,72073600,0
20020712,9.13,9.20,8.90,8.95,497200,0
20020715,8.89,8.89,8.47,8.84,984800,0
20020716,8.88,8.96,8.59,8.86,1962400,0
20020717,9.43,9.49,8.79,8.90,3119600,0
20020718,9.18,9.53,9.10,9.16,2003200,0
20020719,9.13,9.14,8.85,8.88,1636000,0
20020722,8.89,9.04,8.50,8.63,1587600,0
20020723,8.68,8.91,8.58,8.64,1633600,0
20020724,8.64,9.24,8.48,9.24,1616800,0
20020725,9.21,9.36,8.90,9.19,1760800,0
20020726,9.19,9.36,9.15,9.35,1337600,0
20020729,9.30,9.85,9.30,9.80,1652400,0
20020730,9.74,9.89,9.58,9.75,1816800,0
20020731,9.80,9.80,9.41,9.65,1719200,0
20020801,9.63,9.73,9.40,9.60,1234400,0
20020802,9.65,9.67,9.25,9.31,1288400,0
20020805,9.30,9.38,9.12,9.15,5477200,0
20020806,9.25,10.00,9.24,9.52,4110400,0
20020807,9.55,9.70,9.49,9.63,5674000,0
20020808,9.69,9.99,9.63,9.97,892800,0
20020809,10.00,10.35,9.94,10.31,9364400,0
20020812,10.32,10.50,10.22,10.45,2213200,0
20020813,10.37,10.69,10.31,10.32,5620800,0
20020814,10.33,10.63,10.22,10.56,935200,0
20020815,10.60,10.74,10.54,10.73,1300400,0
20020816,10.69,10.69,10.49,10.61,1659600,0
20020819,10.56,10.77,10.52,10.69,1935200,0
20020820,10.65,10.70,10.55,10.65,839200,0
20020821,10.59,10.71,10.55,10.61,1312800,0
20020822,10.61,10.74,10.50,10.55,1168000,0
20020823,10.48,10.57,10.40,10.42,722000,0
20020826,10.46,10.54,10.36,10.45,6241600,0
20020827,10.49,10.50,10.27,10.30,986400,0
20020828,10.29,10.31,10.13,10.24,709600,0
20020829,10.24,10.24,10.04,10.19,684400,0
20020830,10.15,10.30,10.11,10.15,1254800,0
20020902,10.15,10.15,10.15,10.15,0,0
20020903,10.15,10.15,9.98,10.05,1145600,0
20020904,10.06,10.27,10.05,10.27,1170400,0
20020905,10.24,10.27,10.09,10.11,770000,0
20020906,10.07,10.16,10.00,10.07,987600,0
20020909,10.07,10.15,9.90,10.07,950400,0
20020910,10.11,10.19,10.08,10.14,926800,0
20020911,10.09,10.14,10.01,10.01,1721200,0
20020912,9.96,9.99,9.79,9.86,903600,0
20020913,9.86,9.96,9.69,9.83,1107600,0
20020916,9.78,9.92,9.75,9.88,1283200,0
20020917,10.01,10.02,9.82,9.84,1554800,0
20020918,9.78,9.84,9.66,9.75,966000,0
20020919,9.72,9.78,9.57,9.57,657600,0
20020920,9.63,9.78,9.63,9.78,1757200,0
20020923,9.78,9.78,9.35,9.44,904400,0
20020924,9.45,9.45,9.14,9.25,1196800,0
20020925,9.28,9.63,9.23,9.63,1240000,0
20020926,9.65,9.74,9.57,9.63,1345200,0
20020927,9.58,9.60,9.35,9.35,2416800,0
20020930,9.29,9.29,8.84,8.99,2669200,0
20021001,8.99,8.99,8.56,8.89,3325600,0
20021002,8.89,8.95,8.72,8.78,1422800,0
20021003,8.78,8.78,8.53,8.55,1288400,0
20021004,8.55,8.55,8.20,8.31,14994800,0
20021007,8.16,8.27,7.99,8.02,2298800,0
20021008,7.98,8.45,7.98,8.31,2388400,0
20021009,8.25,8.34,8.06,8.06,1653200,0
20021010,8.06,8.59,7.88,8.55,6267200,0
20021011,8.59,9.09,8.59,8.87,1278400,0
20021014,8.85,8.93,8.67,8.72,1369200,0
20021015,8.76,9.29,8.76,9.19,1838400,0
20021016,9.19,9.19,8.85,8.92,1205200,0
20021017,9.16,9.75,9.14,9.73,2646400,0
20021018,9.66,9.66,9.44,9.50,2703600,0
20021021,9.50,9.71,9.32,9.63,33196000,0
20021022,9.63,9.66,9.48,9.56,1693200,0
20021023,9.56,9.65,9.35,9.53,1605600,0
20021024,9.53,9.63,9.43,9.45,8783600,0
20021025,9.45,9.63,9.41,9.63,1489200,0
20021028,9.69,9.75,9.44,9.44,726800,0
20021029,9.44,9.44,8.60,9.15,4874400,0
20021030,9.15,9.15,8.50,8.80,6433600,0
20021031,8.75,9.31,8.68,9.28,3796000,0
20021101,9.23,9.42,9.06,9.40,1463200,0
20021104,9.40,9.45,9.25,9.33,1287600,0
20021105,9.29,9.45,9.29,9.40,1187200,0
20021106,9.35,9.59,9.25,9.44,1388800,0
20021107,9.45,9.45,9.25,9.30,1364400,0
20021108,9.31,9.47,9.18,9.20,937200,0
20021111,9.16,9.20,8.92,8.92,1056400,0
20021112,8.94,9.24,8.92,9.07,1114800,0
20021113,9.07,9.34,8.95,9.16,1466400,0
20021114,9.25,9.49,9.23,9.49,1207600,0
20021115,9.44,9.56,9.38,9.51,950800,0
20021118,9.58,9.58,9.34,9.41,611600,0
20021119,9.41,9.41,9.25,9.30,680800,0
20021120,9.31,9.60,9.28,9.59,1556000,0
20021121,9.63,9.84,9.57,9.81,1224400,0
20021122,9.75,9.77,9.56,9.66,1527600,0
20021125,9.65,9.70,9.50,9.65,1069200,0
20021126,9.65,9.65,9.40,9.44,1554800,0
20021127,9.48,9.55,9.36,9.50,1325600,0
20021128,9.50,9.50,9.50,9.50,0,0
20021129,9.55,9.55,9.46,9.47,746000,0
20021202,9.49,9.66,9.49,9.56,1309200,0
20021203,9.59,9.66,9.40,9.41,1729200,0
20021204,9.35,9.55,9.23,9.48,1662000,0
20021205,9.48,9.48,9.10,9.23,1708000,0
20021206,9.16,9.29,9.04,9.25,1330400,0
20021207,9.25,9.25,9.25,9.25,0,0
20021208,9.25,9.25,9.25,9.25,0,0
20021209,9.20,9.20,9.04,9.04,1086400,0
20021210,9.01,9.10,8.94,9.07,1036000,0
20021211,9.06,9.15,8.98,9.15,4772800,0
20021212,9.20,9.27,9.11,9.27,1530000,0
20021213,9.23,9.32,9.10,9.21,2478400,0
20021216,9.21,9.38,9.21,9.36,1593600,0
20021217,9.39,9.39,9.20,9.25,1104400,0
20021218,9.23,9.24,8.99,9.11,1209200,0
20021219,9.12,9.27,8.91,9.01,1741200,0
20021220,9.01,9.30,8.99,9.19,1920400,0
20021223,9.19,9.19,8.87,8.91,1269200,0
20021224,8.90,8.90,8.75,8.79,1108400,0
20021226,8.83,9.03,8.83,8.95,805200,0
20021227,8.93,8.95,8.79,8.81,718000,0
20021230,8.76,8.96,8.72,8.91,774400,0
20021231,8.89,9.12,8.89,9.01,1175200,0
20030102,9.02,9.43,9.02,9.36,1767200,0
20030103,9.36,9.42,9.24,9.34,1122400,0
20030106,9.32,9.48,9.32,9.39,1630000,0
20030107,9.33,9.36,9.08,9.12,2032800,0
20030108,9.15,9.27,9.07,9.26,900800,0
20030109,9.27,9.50,9.27,9.36,936400,0
