DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010726,48.9500,50.5000,48.6000,49.9900,7745600,0
20010727,51.8000,51.8000,50.3000,51.2000,7495500,0
20010730,49.8400,50.9000,49.7000,50.7500,2553600,0
20010731,49.4000,51.0200,49.2100,49.8000,5765000,0
20010801,49.8500,50.7000,49.6000,50.2500,2500900,0
20010802,50.2000,52.2000,50.2000,51.8900,4199000,0
20010803,51.1100,51.1100,49.9900,50.6000,3717800,0
20010806,50.5000,50.5000,49.6500,50.2000,2783700,0
20010807,50.0000,50.9800,49.6000,50.2900,3323000,0
20010808,49.7500,50.9200,49.5000,49.5000,3464800,0
20010809,49.5000,49.5600,48.2500,49.1000,3450400,0
20010810,48.7000,49.9500,48.0300,49.5700,2316900,0
20010813,49.5500,50.0500,49.1000,49.5000,3027000,0
20010814,49.6500,49.9800,47.2500,47.6000,9289200,0
20010815,47.5000,47.5000,45.7500,46.6000,6310600,0
20010816,46.0000,46.5400,45.3000,46.2400,29303600,0
20010817,45.7500,46.1400,45.0500,45.5700,32620800,0
20010820,45.5700,46.0900,45.1900,45.8100,2259200,0
20010821,45.6000,46.8700,45.2500,45.7500,3762700,0
20010822,45.0000,45.7400,44.8500,45.2100,3828000,0
20010823,45.1100,45.6500,44.7500,45.4800,3334900,0
20010824,45.5300,47.9500,45.5300,47.2400,40092500,0
20010827,46.9500,47.0000,45.5000,46.6200,4855600,0
20010828,46.0000,46.4800,45.0000,45.1500,8451000,0
20010829,45.4800,45.4800,43.7500,43.9800,3893600,0
20010830,44.0000,44.0000,41.0000,41.8200,8337100,0
20010831,42.0000,43.0000,41.8000,42.4000,5343500,0
20010903,42.4000,42.4000,42.4000,42.4000,0,0
20010904,42.7500,44.2500,42.4000,42.5000,3149800,0
20010905,43.0000,43.0000,40.7000,41.3300,7267400,0
20010906,40.4000,40.7400,39.6100,40.2000,7186000,0
20010907,39.2200,39.5000,37.3000,37.8700,52144200,0
20010910,37.1000,38.7900,36.8500,37.6900,7944000,0
20010911,37.6900,37.6900,37.6900,37.6900,0,0
20010917,33.9000,35.0000,32.1200,32.8000,15861100,0
20010918,32.8000,33.2000,30.5000,31.9000,12398100,0
20010919,30.0000,31.4000,29.4000,31.0200,17204000,0
20010920,30.2000,31.0800,28.5000,29.5500,13190800,0
20010921,28.4000,31.0000,28.2600,30.7500,14485600,0
20010924,32.8000,33.7000,32.4500,33.1000,11560500,0
20010925,32.5200,33.3000,31.2500,31.8900,14888800,0
20010926,32.5000,33.2500,32.1400,32.2500,5533900,0
20010927,32.4000,33.3500,32.0500,33.0000,6114800,0
20010928,34.4500,34.9000,33.9700,34.5000,7068200,0
20011001,33.9000,34.0000,33.1500,33.3000,4886400,0
20011002,33.8000,35.0900,33.0000,35.0900,5187600,0
