DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,30.91,31.02,30.41,30.46,3204,0
20010103,30.46,30.81,30.41,30.56,1982,0
20010104,30.56,30.61,30.31,30.46,1579,0
20010105,30.51,30.51,30.10,30.15,0,0
20010108,30.21,30.35,29.95,30.15,0,0
20010109,29.95,30.21,29.90,29.95,0,0
20010110,29.95,29.95,29.60,29.70,1074,0
20010111,29.65,29.65,29.20,29.25,1925,0
20010112,29.14,29.30,29.00,29.00,0,0
20010115,29.00,29.00,29.00,29.00,0,0
20010116,29.50,29.50,28.79,28.89,1379,0
20010117,28.89,28.89,28.54,28.64,2082,0
20010118,28.84,29.25,28.49,29.25,0,0
20010119,29.14,29.50,29.09,29.20,0,0
20010122,29.20,29.20,29.20,29.20,0,0
20010123,29.20,29.45,29.14,29.34,1021,0
20010124,29.34,29.34,29.09,29.30,714,0
20010125,29.30,29.30,29.09,29.25,0,0
20010126,29.25,29.25,29.14,29.25,0,0
20010129,29.40,29.72,29.37,29.72,0,0
20010130,29.77,30.10,29.75,30.01,0,0
20010131,29.42,29.82,29.34,29.42,0,0
20010201,29.00,29.34,29.00,29.30,0,0
20010202,29.17,29.90,29.17,29.66,0,0
20010205,29.65,29.65,29.42,29.50,0,0
20010206,29.50,29.50,29.18,29.35,12000000,0
20010207,29.25,29.54,29.25,29.38,238300,0
20010208,29.37,29.38,29.09,29.30,0,0
20010209,29.34,29.41,29.10,29.17,0,0
20010212,29.30,29.34,29.09,29.17,0,0
20010213,29.13,29.25,29.10,29.13,198900,0
20010214,29.13,29.22,29.09,29.19,822500,0
20010215,29.09,29.13,28.90,29.09,662600,0
20010216,29.17,29.34,29.04,29.09,0,0
20010219,29.09,29.09,29.09,29.09,0,0
20010220,29.17,29.17,28.85,29.05,1146100,0
20010221,28.97,29.05,28.41,28.69,146900,0
20010222,28.53,28.61,27.86,27.94,262400,0
20010223,27.94,29.21,27.94,28.41,7150200,0
20010226,28.41,29.58,28.41,29.46,285900,0
20010227,29.46,30.01,29.43,29.95,16222800,0
20010228,29.95,30.99,29.94,30.56,193100,0
20010301,30.56,30.83,30.31,30.67,149900,0
20010302,30.83,31.68,30.83,31.15,8324300,0
20010305,31.15,36.37,31.15,31.32,399400,0
20010306,31.32,31.36,31.12,31.15,1122100,0
20010307,31.15,31.15,30.63,30.71,661500,0
20010308,30.71,30.71,30.61,30.71,72800,0
20010309,30.71,30.71,30.31,30.43,2146000,0
20010312,30.48,30.51,30.06,30.23,128500,0
20010313,30.22,30.56,30.22,30.47,92000,0
20010314,30.27,30.31,29.89,29.90,150100,0
20010315,29.54,29.89,29.25,29.54,91200,0
20010316,29.09,29.50,29.09,29.47,1167700,0
20010319,29.42,30.05,29.38,29.94,1979700,0
20010320,29.94,30.59,29.86,29.88,109000,0
20010321,29.89,30.06,29.09,29.15,22000000,0
20010322,29.21,29.25,28.20,28.69,146200,0
20010323,28.73,29.42,28.49,28.53,146300,0
20010326,28.49,29.22,28.49,29.22,1185200,0
20010327,29.17,29.34,28.69,29.32,101900,0
20010328,29.09,29.09,28.57,28.62,136300,0
20010329,28.65,29.09,28.58,28.97,167000,0
20010330,28.97,29.50,28.95,28.96,177100,0
20010402,29.40,29.69,29.28,29.65,145300,0
20010403,29.58,29.60,28.80,28.83,81900,0
20010404,29.04,29.29,28.81,28.96,97600,0
20010405,28.93,29.54,28.93,29.41,99600,0
20010406,29.42,29.42,28.84,28.89,66500,0
20010409,28.89,29.25,28.75,28.77,45200,0
20010410,28.77,28.93,28.60,28.62,126200,0
20010411,28.73,28.73,28.18,28.27,122900,0
20010412,28.27,28.27,27.92,28.10,184700,0
20010416,28.11,28.29,27.93,27.93,134500,0
20010417,28.00,28.37,27.88,28.29,90500,0
20010418,28.29,28.53,27.96,28.47,1307900,0
20010419,28.47,28.53,28.29,28.49,86000,0
20010420,28.53,28.69,28.30,28.39,3120800,0
20010423,28.53,28.59,28.16,28.35,101900,0
20010424,28.35,28.53,28.16,28.37,3141600,0
20010425,28.45,28.58,28.31,28.41,53200,0
20010426,28.41,28.91,28.41,28.78,181700,0
20010427,29.13,29.59,29.00,29.54,6265200,0
20010430,29.58,29.70,29.49,29.68,57500,0
20010501,29.68,29.87,29.54,29.84,123600,0
20010502,29.86,29.90,29.71,29.90,198300,0
20010503,29.65,29.82,29.46,29.71,1351000,0
20010504,29.42,29.64,29.16,29.53,145700,0
20010507,29.50,29.57,29.32,29.42,152500,0
20010508,29.42,29.42,29.01,29.29,192900,0
20010509,29.21,29.21,29.03,29.12,63700,0
20010510,29.13,29.21,29.09,29.13,47500,0
20010511,29.09,29.13,28.97,29.06,41400,0
20010514,29.08,29.09,28.90,29.09,59700,0
20010515,29.09,29.29,29.00,29.17,59800,0
20010516,29.17,29.55,29.17,29.55,92100,0
20010517,29.58,29.66,29.39,29.60,93200,0
20010518,29.58,29.58,29.32,29.44,176200,0
20010521,29.38,29.42,29.17,29.29,183600,0
20010522,29.37,29.89,29.36,29.66,243000,0
20010523,29.69,30.18,29.55,30.05,165600,0
20010524,30.05,30.35,29.98,30.33,216200,0
20010525,30.31,30.31,29.90,30.01,114500,0
20010528,30.01,30.01,30.01,30.01,0,0
20010529,30.18,30.59,30.10,30.39,90600,0
20010530,30.43,30.43,30.22,30.22,82000,0
20010531,30.22,30.46,30.22,30.31,75000,0
20010601,30.31,30.31,30.27,30.31,88500,0
20010604,30.29,30.71,30.18,30.71,16124900,0
20010605,30.70,31.11,30.70,31.08,99200,0
