DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,68.3750,69.0000,58.2500,61.8125,10222000,0
20010103,59.8750,81.0000,58.1875,80.5938,11357900,0
20010104,79.0625,84.3750,72.2500,76.8750,7602200,0
20010105,76.4375,77.1875,67.7500,68.8125,4183700,0
20010108,66.3125,68.4062,59.3750,66.6875,6753600,0
20010109,68.0000,73.5000,67.0000,73.1250,6690700,0
20010110,71.9375,80.8750,69.6250,79.5625,7773600,0
20010111,74.4375,87.6250,72.5625,87.4375,8477700,0
20010112,86.0000,87.0625,82.1250,84.8750,6526800,0
20010115,84.8750,84.8750,84.8750,84.8750,0,0
20010116,83.3750,84.0313,76.5000,78.3750,4288500,0
20010117,82.1875,91.0000,82.0625,88.3750,7937200,0
20010118,90.0000,92.5000,85.6875,92.0000,6442500,0
20010119,97.6875,97.7500,79.0000,79.0000,8751000,0
20010122,80.9375,83.1250,77.1250,77.7500,8503400,0
20010123,79.1250,79.2500,71.3750,74.5000,11839500,0
20010124,75.3750,82.6875,75.3125,81.5000,10375400,0
20010125,73.5000,78.8125,72.3750,73.5000,15239600,0
20010126,73.4375,76.5000,69.5000,76.2500,7094200,0
20010129,75.8125,81.0000,73.5000,80.8750,5118200,0
20010130,80.5000,80.8750,75.5625,77.8125,4696600,0
20010131,79.6875,80.9375,72.8750,73.5000,5073900,0
20010201,74.1250,75.6250,69.1875,75.0000,8871200,0
20010202,73.6563,75.8437,66.2500,67.3750,9292600,0
20010205,65.6875,71.7500,62.6250,69.5000,8199700,0
20010206,69.4375,70.5625,65.5000,68.8125,3691300,0
20010207,67.2500,69.0000,62.5000,64.4688,5085400,0
20010208,65.4688,65.9375,60.6250,61.6250,4854100,0
20010209,59.9375,61.3125,58.7500,59.9375,6690300,0
20010212,56.8750,59.9375,52.8750,58.5000,7509500,0
20010213,60.0000,64.3750,56.6875,57.8750,5846200,0
20010214,54.1250,63.3750,53.5625,63.0000,91500000,0
20010215,65.0625,67.0000,63.1250,63.9688,6772400,0
20010216,59.9375,61.6875,58.7500,59.7500,5442700,0
20010219,59.7500,59.7500,59.7500,59.7500,0,0
20010220,59.5000,59.5937,54.5000,56.3125,5635300,0
20010221,54.9375,56.5000,48.0000,50.6875,9477200,0
20010222,51.7500,52.2500,48.1250,48.1250,12397300,0
20010223,48.7500,50.5000,45.8750,48.8750,7389900,0
20010226,50.5625,56.6875,47.3750,53.3125,11491700,0
20010227,51.1875,51.7500,47.1250,48.1875,7901200,0
20010228,49.1250,51.1250,46.7500,47.9688,6469700,0
20010301,49.0000,54.3750,48.1250,54.0000,10723400,0
20010302,50.6250,52.5000,48.0000,50.5625,11760500,0
20010305,49.5625,49.8125,44.6250,46.9375,8244800,0
20010306,49.3125,49.8750,48.0000,48.6875,4974100,0
20010307,49.8750,50.4375,46.3750,47.0000,6629800,0
20010308,46.8750,47.0000,43.2500,44.6250,5889700,0
20010309,42.7500,42.7500,38.8750,40.4375,98500000,0
20010312,39.6250,40.4375,36.7500,36.9375,12994000,0
20010313,37.4375,37.6250,33.7500,37.1250,9541200,0
20010314,35.2188,38.7500,35.1875,38.0000,9406400,0
20010315,40.4375,40.6875,33.2500,34.4375,8054500,0
20010316,33.5000,35.1250,33.1250,33.9375,6158200,0
20010319,33.9375,35.4375,29.9375,34.0000,15311200,0
