DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,71.0000,72.5625,62.1250,63.1250,1280600,0
20010103,56.2500,70.1250,56.0000,62.6250,2579100,0
20010104,63.0000,65.5000,58.1250,59.8750,1407200,0
20010105,60.1250,60.7500,52.3750,54.4375,2131400,0
20010108,50.3750,50.7500,45.3750,47.0000,3299900,0
20010109,46.8750,48.8750,45.1875,48.0000,2099200,0
20010110,46.8750,55.7500,46.8750,53.3750,1504900,0
20010111,53.7500,56.7500,52.6250,55.1250,1252500,0
20010112,55.8750,60.5000,53.6250,58.5000,1336600,0
20010115,58.5000,58.5000,58.5000,58.5000,0,0
20010116,59.5000,59.7500,57.0000,57.8750,871400,0
20010117,59.3750,62.1250,53.8750,54.8750,1732300,0
20010118,54.7500,57.5000,53.7500,57.0312,693400,0
20010119,61.5000,61.5625,53.9375,57.3750,697500,0
20010122,57.1562,62.0000,56.8125,60.8125,1100800,0
20010123,60.3125,69.3125,60.3125,69.0000,1609700,0
20010124,68.3750,75.1250,68.2500,70.1250,1562000,0
20010125,70.1250,71.0625,66.3125,68.7500,679500,0
20010126,66.8437,72.4375,66.2500,71.7500,582800,0
20010129,72.0000,74.7500,69.8750,74.1875,465200,0
20010130,73.8125,74.6250,68.0000,68.0938,616200,0
20010131,69.5000,71.8750,67.2500,67.3125,642300,0
20010201,67.0313,67.6250,62.8125,63.4375,634800,0
20010202,63.3125,63.8750,59.8750,59.8750,639700,0
20010205,59.8750,61.6250,58.8125,61.1250,684600,0
20010206,62.3125,69.0000,62.2500,66.7500,1042300,0
20010207,66.8750,66.8750,62.2500,62.8750,710300,0
20010208,64.0625,65.7500,62.6875,65.4375,786900,0
20010209,64.8750,64.8750,61.1875,63.5312,396800,0
20010212,62.8125,68.2500,61.8750,68.0625,491900,0
20010213,68.0000,69.2500,60.2500,60.8750,610500,0
20010214,60.1250,63.5000,58.5000,62.9375,846700,0
20010215,63.3750,64.3125,60.2500,63.3125,403600,0
20010216,60.5000,60.8750,56.0000,58.8125,1331300,0
20010219,58.8125,58.8125,58.8125,58.8125,0,0
20010220,59.3750,59.3750,52.7500,54.8750,1090300,0
20010221,51.4375,56.2500,50.7500,54.6250,1036300,0
20010222,54.3125,54.5000,45.5000,47.7500,1575000,0
20010223,46.0625,49.1250,44.8750,48.9375,2265400,0
20010226,51.1875,56.7500,49.8125,56.1250,1720100,0
20010227,55.0000,56.2500,49.5000,49.8125,866600,0
20010228,49.8750,54.1250,47.1875,49.7500,1028800,0
20010301,49.3750,49.4688,45.6250,48.0000,900400,0
20010302,46.9375,49.5000,45.6250,47.0625,504200,0
20010305,47.0625,49.1875,45.1250,46.0000,531000,0
20010306,48.5000,48.5625,43.1875,45.1250,1036100,0
20010307,45.0000,45.0000,41.5000,42.9375,1000400,0
20010308,42.1250,42.1875,38.7500,39.8125,790900,0
20010309,38.0000,40.8750,36.2500,36.5000,1256200,0
20010312,34.7500,36.1250,31.8750,32.0000,1255100,0
20010313,32.2500,36.1875,32.1250,35.7500,1420400,0
20010314,31.7500,36.7188,31.7500,34.6250,931000,0
20010315,35.3750,35.6250,31.6250,33.7500,1171100,0
20010316,33.5625,34.4688,30.8750,31.6250,1181000,0
20010319,31.6875,34.6250,31.1250,34.3125,1128600,0
20010320,34.5000,35.4375,31.7500,32.0625,1044900,0
20010321,31.5000,31.7187,29.2500,29.9375,1529000,0
20010322,29.1250,29.5000,25.6250,29.1875,2264600,0
20010323,29.7500,32.8750,28.6250,31.1250,1594000,0
20010326,32.5625,35.7813,32.0000,34.8750,1354800,0
