DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.63,5.88,5.56,5.88,2558,0
20010103,5.94,6.75,5.94,6.63,115634,0
20010104,6.56,6.63,6.31,6.31,4507,0
20010105,6.38,6.50,6.25,6.50,922,0
20010108,6.50,6.63,6.50,6.50,0,0
20010109,6.56,6.63,6.56,6.56,0,0
20010110,6.56,6.63,6.50,6.56,209,0
20010111,6.56,6.75,6.31,6.75,447,0
20010112,6.75,6.81,6.69,6.75,675,0
20010115,6.75,6.75,6.75,6.75,0,0
20010116,6.81,6.88,6.81,6.81,1430,0
20010117,6.88,6.88,6.75,6.81,2614,0
20010118,6.81,6.81,6.69,6.75,0,0
20010119,6.69,6.81,6.63,6.69,186,0
20010122,6.69,6.69,6.69,6.69,0,0
20010123,6.63,7.13,6.63,7.13,9701,0
20010124,7.25,7.25,7.06,7.13,0,0
20010125,7.13,7.13,7.00,7.13,0,0
20010126,7.06,7.13,7.00,7.00,0,0
20010129,7.41,7.41,7.25,7.38,0,0
20010130,7.16,7.53,7.06,7.53,0,0
20010131,7.07,7.14,7.01,7.10,0,0
20010201,7.10,7.10,6.96,7.00,0,0
20010202,7.00,7.12,6.90,7.01,0,0
20010205,7.02,7.09,7.02,7.08,3000000,0
20010206,7.15,7.29,7.11,7.28,577300,0
20010207,7.28,7.32,7.27,7.31,0,0
20010208,7.30,7.82,7.30,7.75,818700,0
20010209,7.75,7.84,7.53,7.75,1350300,0
20010212,7.80,7.87,7.75,7.77,889100,0
20010213,7.75,7.83,7.63,7.80,495900,0
20010214,7.76,7.80,7.60,7.75,0,0
20010215,7.87,8.11,7.87,8.05,562100,0
20010216,8.05,8.30,8.03,8.20,556400,0
20010219,8.20,8.20,8.20,8.20,0,0
20010220,8.15,8.25,8.09,8.15,155900,0
20010221,8.15,8.15,8.05,8.05,2047900,0
20010222,8.05,8.10,8.01,8.08,38600,0
20010223,8.10,8.30,8.00,8.20,54632800,0
20010226,8.25,8.40,8.25,8.35,12143700,0
20010227,8.35,8.40,8.30,8.35,35559900,0
20010228,8.45,8.50,8.40,8.43,691800,0
20010301,8.43,8.45,8.40,8.41,30080100,0
20010302,8.41,8.48,8.35,8.37,1169700,0
20010305,8.40,8.58,8.38,8.53,501800,0
20010306,8.56,8.61,8.48,8.50,1109300,0
20010307,8.55,8.58,8.35,8.40,1065900,0
20010308,8.39,8.50,8.39,8.50,324700,0
20010309,8.45,8.50,8.35,8.45,67700,0
20010312,8.35,8.50,8.35,8.42,109000,0
20010313,8.40,8.46,8.36,8.43,354500,0
20010314,8.43,8.43,8.30,8.36,359700,0
20010315,8.40,8.45,8.37,8.44,44700,0
20010316,8.45,8.45,8.36,8.36,86300,0
20010319,8.39,8.45,8.35,8.42,62600,0
20010320,8.45,8.45,8.35,8.35,167100,0
20010321,8.40,8.50,8.30,8.35,1104000,0
20010322,8.36,8.62,8.33,8.42,166200,0
20010323,8.50,8.50,8.35,8.40,54600,0
20010326,8.38,8.50,8.38,8.45,57000,0
20010327,8.50,8.55,8.40,8.45,10275400,0
20010328,8.45,8.45,8.35,8.41,19200,0
20010329,8.43,8.45,8.36,8.40,21166700,0
20010330,8.40,8.50,8.36,8.46,130600,0
20010402,8.60,8.74,8.56,8.66,12172900,0
20010403,8.68,8.72,8.65,8.69,179500,0
20010404,8.69,8.80,8.69,8.80,142800,0
20010405,8.79,8.90,8.75,8.80,231700,0
20010406,8.80,8.85,8.70,8.70,20103400,0
20010409,8.67,8.80,8.67,8.76,258500,0
20010410,8.77,8.88,8.77,8.80,234300,0
20010411,8.85,8.88,8.79,8.88,35058500,0
20010412,8.88,9.00,8.85,8.95,175700,0
20010416,8.95,8.98,8.80,8.90,313700,0
20010417,8.90,9.00,8.80,8.92,524300,0
20010418,8.93,8.95,8.83,8.88,77100,0
20010419,8.86,9.00,8.86,8.93,74200,0
20010420,8.88,9.00,8.45,8.95,8156700,0
20010423,8.95,9.15,8.95,9.10,1219300,0
20010424,9.10,9.23,9.10,9.20,21282800,0
