DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,83.00,85.38,76.56,78.88,6932,0
20010103,77.00,82.75,71.00,74.50,10916,0
20010104,74.50,75.00,67.56,70.06,13281,0
20010105,70.38,70.38,62.75,66.56,11423,0
20010108,66.00,66.00,61.50,64.38,57141,0
20010109,65.00,66.63,63.25,65.88,8045,0
20010110,65.00,70.63,64.75,69.31,16258,0
20010111,68.50,71.69,68.31,69.56,6920,0
20010112,68.38,70.25,67.88,69.94,6440,0
20010115,69.94,69.94,69.94,69.94,0,0
20010116,69.94,70.75,68.50,69.19,4582,0
20010117,69.63,70.50,66.00,67.63,0,0
20010118,67.63,67.63,62.50,62.63,17505,0
20010119,62.88,63.13,59.19,59.94,18683,0
20010122,59.94,59.94,59.94,59.94,0,0
20010123,63.25,68.88,62.38,68.88,6757,0
20010124,70.25,72.38,69.25,70.94,72868,0
20010125,70.50,70.69,68.88,69.63,5970,0
20010126,68.00,70.50,68.00,69.13,4764,0
20010129,73.91,75.09,71.00,73.56,0,0
20010130,74.56,76.06,71.00,71.00,2842600,0
20010131,71.30,75.90,71.18,73.53,4505300,0
20010201,73.40,73.53,67.50,69.88,1040200,0
20010202,69.51,71.55,68.60,71.06,369600,0
20010205,71.06,71.25,68.60,69.60,773200,0
20010206,70.75,73.52,70.55,72.60,517900,0
20010207,72.75,75.25,72.50,74.49,1171600,0
20010208,74.00,74.60,71.51,71.88,681700,0
20010209,72.90,72.90,69.30,69.97,431300,0
20010212,70.10,72.75,70.00,71.45,1256200,0
20010213,72.20,74.60,70.85,71.20,0,0
20010214,71.20,71.20,68.11,70.50,5491600,0
20010215,71.05,72.40,71.02,71.94,350500,0
20010216,71.70,72.63,70.05,71.48,397600,0
20010219,71.48,71.48,71.48,71.48,0,0
20010220,72.00,72.49,69.79,70.15,491100,0
20010221,69.50,71.15,68.30,68.80,449900,0
20010222,68.05,68.25,62.83,65.71,942300,0
20010223,65.50,67.00,64.00,66.83,1254900,0
20010226,67.75,69.10,67.40,68.00,745100,0
20010227,68.00,68.85,66.95,67.20,543400,0
20010228,67.00,67.90,64.71,65.86,16438500,0
20010301,65.86,65.88,61.80,63.70,3820300,0
20010302,63.10,64.60,62.40,63.55,901900,0
20010305,64.25,65.05,61.48,62.20,5453000,0
20010306,63.00,64.75,60.30,61.80,3748200,0
20010307,62.00,62.87,58.77,59.28,1254500,0
20010308,59.29,60.40,58.80,59.74,848200,0
20010309,59.73,60.14,58.50,58.70,1053600,0
20010312,55.00,55.01,47.80,49.50,2181600,0
20010313,49.50,52.25,48.00,50.90,2018300,0
20010314,50.00,51.75,49.00,49.50,1993500,0
20010315,50.10,51.55,48.75,49.70,10741100,0
20010316,49.60,49.60,45.55,46.85,1702200,0
20010319,46.00,49.00,42.98,47.50,2196900,0
20010320,47.55,47.55,40.50,43.30,2405200,0
20010321,44.10,45.00,43.70,44.42,1408700,0
20010322,37.00,37.25,31.50,36.00,5527600,0
20010323,39.50,40.94,37.78,40.27,3021800,0
20010326,41.90,43.25,40.46,41.23,3241800,0
20010327,42.00,43.25,40.50,42.71,1158300,0
20010328,42.61,45.25,41.40,43.29,5686400,0
20010329,44.75,46.09,43.61,44.60,1510100,0
20010330,44.45,47.48,43.95,46.45,5189600,0
20010402,44.85,45.00,41.85,42.82,1473400,0
20010403,42.65,43.30,40.20,40.91,1196900,0
20010404,41.15,42.34,39.40,39.41,1597300,0
20010405,39.80,43.25,39.80,42.61,1260800,0
20010406,42.75,44.22,40.96,42.90,685500,0
20010409,42.90,45.00,42.90,43.68,257900,0
20010410,40.00,41.25,36.50,38.50,5382600,0
