DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,40.5000,40.8750,39.5000,40.8125,27902,0
20010103,40.8125,40.8125,38.2500,39.2500,252664,0
20010104,38.0000,38.6875,35.3750,37.3125,84647,0
20010105,37.3125,38.1250,36.6250,38.0000,24290,0
20010108,38.3125,38.9375,37.2500,38.3125,30815,0
20010109,38.1250,38.5000,37.3125,37.7500,22143,0
20010110,37.9375,39.0000,37.2500,38.8125,22867,0
20010111,39.1875,39.1875,36.5625,37.2500,34146,0
20010112,37.5000,38.5000,37.3750,37.9375,24987,0
20010115,37.9375,37.9375,37.9375,37.9375,0,0
20010116,38.5000,39.0000,38.2500,38.6250,19533,0
20010117,38.5625,38.9375,38.2500,38.8125,19650,0
20010118,38.1250,38.7500,38.0000,38.3125,24450,0
20010119,37.3750,37.6250,36.5000,36.8750,43913,0
20010122,36.8750,36.8750,36.8750,36.8750,0,0
20010123,37.1250,38.5000,37.0000,38.1250,28272,0
20010124,37.6250,38.6875,37.6250,38.5625,21551,0
20010125,38.5625,39.7500,38.3750,39.5625,19875,0
20010126,39.6875,39.8750,39.0625,39.3125,59435,0
20010129,41.1875,41.6250,39.0000,40.1250,1067100,0
20010130,40.5937,42.0938,40.0000,40.0312,11640600,0
20010131,40.0000,40.8900,39.9300,40.7600,2478100,0
20010201,41.1200,41.9900,40.7300,41.9500,2463800,0
20010202,42.9900,42.9900,41.8000,42.1800,26500000,0
20010205,42.1800,42.3200,40.9200,41.1100,1977500,0
20010206,41.7500,41.7800,40.5100,41.0800,1956000,0
20010207,41.3300,42.8800,41.1700,42.8500,1896600,0
20010208,42.7500,42.7600,41.7200,41.8500,2067600,0
20010209,41.8500,42.3000,41.2900,41.4100,1715200,0
20010212,41.4500,41.6000,40.8200,41.4700,1386300,0
20010213,40.9000,42.0000,40.6500,42.0000,1734200,0
20010214,41.6000,42.4400,41.4400,42.2400,1651100,0
20010215,41.9300,42.6000,41.9200,42.6000,1495200,0
20010216,42.7900,44.0000,42.7900,43.6900,2982500,0
20010219,43.6900,43.6900,43.6900,43.6900,0,0
20010220,43.0200,44.5000,43.0200,43.9500,3266500,0
20010221,43.4500,44.2300,42.8200,42.8200,3477600,0
20010222,42.8300,43.3400,42.2000,42.8500,2917500,0
20010223,42.6000,43.2100,42.5200,42.8000,10138200,0
20010226,42.9000,44.1800,42.6200,44.0200,2151500,0
20010227,43.8500,44.3500,43.5200,44.2000,2547700,0
20010228,44.4600,44.9900,43.5000,44.3200,3596200,0
20010301,43.7500,44.7300,43.1100,43.3700,2154100,0
20010302,43.2500,44.5000,43.0600,44.3300,1989000,0
20010305,44.5800,44.5800,43.5800,43.6400,7695800,0
20010306,43.5000,43.8900,43.2500,43.8400,3881900,0
20010307,43.8600,44.7400,43.8000,44.7400,27200000,0
20010308,44.8000,45.2900,44.7000,45.2700,3792000,0
20010309,45.0500,45.0600,44.2300,44.5600,2059800,0
20010312,44.5500,44.7800,44.0700,44.2100,1985100,0
20010313,44.2100,44.2100,42.0000,42.8900,3660200,0
20010314,41.2500,43.2500,41.2100,42.2200,2463000,0
