DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,2.5625,2.5625,2.3125,2.3125,0,0
20010103,2.3750,2.8125,2.3125,2.8125,16811,0
20010104,3.0625,3.3750,2.9375,3.2500,33277,0
20010105,3.3750,3.3750,3.0000,3.2500,12009,0
20010108,3.2500,3.3125,3.1250,3.2500,8492,0
20010109,3.2500,3.6250,3.1875,3.5625,14471,0
20010110,3.5625,3.8125,3.3750,3.8125,14673,0
20010111,3.6875,3.9375,3.5625,3.9375,15666,0
20010112,3.8125,3.9375,3.6250,3.8125,7320,0
20010115,3.8125,3.8125,3.8125,3.8125,0,0
20010116,3.6875,3.8750,3.6875,3.8125,3695,0
20010117,3.8125,3.9375,3.7500,3.7500,8147,0
20010118,3.8750,3.9375,3.6875,3.8750,14581,0
20010119,4.0625,4.0625,3.5625,3.7500,1788020,0
20010122,3.7500,3.7500,3.7500,3.7500,0,0
20010123,3.9375,4.9375,3.9375,4.8750,24590,0
20010124,4.8750,5.4375,4.7500,5.1875,40736,0
20010125,5.1875,5.1875,4.6875,4.8125,35441,0
20010126,4.7500,4.7500,4.0625,4.1250,35375,0
20010129,5.6250,5.6875,5.3125,5.5625,1414000,0
20010130,5.8750,6.6563,5.3438,6.4375,3676200,0
20010131,4.8800,5.3900,4.8500,5.2800,4331900,0
20010201,5.1800,5.9400,4.9400,5.0900,2660600,0
20010202,5.0000,5.2500,4.0000,4.7000,11117400,0
20010205,4.5800,4.9700,4.4500,4.8600,724800,0
20010206,4.8900,4.9500,4.5500,4.5800,671100,0
20010207,4.5800,4.5800,4.1500,4.3600,1952300,0
20010208,4.3600,4.4800,4.2500,4.2900,761300,0
20010209,4.2400,4.2400,4.0500,4.2000,1081400,0
20010212,4.1500,6.6400,4.1500,4.8600,1631800,0
20010213,5.0500,5.1900,4.9500,5.0200,9069200,0
20010214,5.0000,5.0000,4.6100,4.9000,4604400,0
20010215,5.0000,5.2600,4.9500,5.2300,2098100,0
20010216,4.9500,5.0000,4.8500,4.9600,847900,0
20010219,4.9600,4.9600,4.9600,4.9600,0,0
