DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,11.28,11.28,10.97,11.00,0,0
20010103,10.94,11.28,10.75,10.84,18796,0
20010104,10.72,10.75,9.94,10.22,11904,0
20010105,10.22,10.31,9.97,10.06,8664,0
20010108,10.03,10.22,9.97,10.13,0,0
20010109,10.09,10.16,10.00,10.09,9510,0
20010110,10.03,10.13,9.91,10.03,187300,0
20010111,10.09,10.09,9.75,9.78,4466,0
20010112,9.75,9.97,9.69,9.97,9132,0
20010115,9.97,9.97,9.97,9.97,0,0
20010116,9.94,9.94,9.56,9.78,0,0
20010117,9.66,9.81,9.59,9.72,3186,0
20010118,9.84,9.94,9.75,9.88,3876,0
20010119,9.91,10.00,9.66,9.91,83388,0
20010122,9.91,9.91,9.91,9.91,0,0
20010123,9.91,10.16,9.84,9.97,0,0
20010124,9.97,10.22,9.94,10.13,6378,0
20010125,10.16,10.22,9.94,10.00,6284,0
20010126,9.91,10.09,9.66,10.06,5508,0
20010129,10.31,11.05,10.00,10.02,0,0
20010130,10.38,11.05,10.00,11.05,392000,0
20010131,9.99,10.07,9.88,10.05,463200,0
20010201,9.98,10.00,9.87,9.94,0,0
20010202,9.84,10.13,9.84,9.93,0,0
20010205,9.88,10.10,9.88,9.94,0,0
20010206,9.95,10.10,9.92,10.02,551800,0
20010207,10.05,10.40,9.98,10.24,866200,0
20010208,10.19,10.40,10.16,10.25,652400,0
20010209,10.25,10.48,10.25,10.48,1559800,0
20010212,10.38,10.47,10.13,10.45,4911200,0
20010213,10.40,10.50,10.26,10.45,267800,0
20010214,10.43,10.56,10.25,10.50,556000,0
20010215,10.39,10.45,10.34,10.40,449400,0
20010216,10.41,10.65,10.41,10.64,517400,0
20010219,10.64,10.64,10.64,10.64,0,0
20010220,10.63,10.73,10.55,10.68,336000,0
20010221,10.65,10.93,10.65,10.84,554200,0
20010222,10.84,11.13,10.78,10.95,936800,0
20010223,10.93,11.09,10.61,10.73,44506400,0
20010226,10.78,11.00,10.73,10.88,495000,0
20010227,10.98,10.99,10.86,10.90,340000,0
20010228,10.98,11.09,10.89,11.06,374200,0
20010301,11.00,11.07,10.85,10.91,663200,0
20010302,10.95,10.95,10.77,10.94,569000,0
20010305,10.94,10.95,10.76,10.92,193000,0
20010306,10.80,10.86,10.70,10.80,577200,0
20010307,10.75,10.99,10.73,10.82,60283600,0
20010308,10.80,11.00,10.74,10.97,347000,0
20010309,10.90,11.25,10.85,11.23,893000,0
20010312,11.14,11.21,11.03,11.07,428000,0
20010313,11.07,11.20,11.03,11.20,2611200,0
20010314,11.00,11.07,10.77,10.80,8869800,0
20010315,10.93,10.98,10.80,10.85,350600,0
20010316,10.85,10.99,10.80,10.90,618800,0
20010319,10.97,10.97,10.68,10.75,512800,0
20010320,10.70,10.85,10.56,10.60,6361600,0
20010321,10.65,10.78,10.57,10.67,820800,0
20010322,10.65,10.65,10.25,10.40,1423000,0
20010323,10.30,10.45,10.28,10.38,906000,0
20010326,10.38,10.74,10.38,10.63,10254400,0
20010327,10.60,10.78,10.57,10.66,22576000,0
20010328,10.57,10.68,10.43,10.52,2658400,0
