DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,47.56,48.19,46.94,47.25,73537,0
20010103,47.25,49.50,46.75,49.50,5732,0
20010104,50.00,51.13,49.63,50.31,4703,0
20010105,50.88,50.88,48.13,49.06,22333,0
20010108,48.63,49.00,47.13,48.94,6257,0
20010109,48.94,49.25,47.25,47.69,3963,0
20010110,47.50,47.69,45.94,47.44,2834,0
20010111,47.69,49.38,46.19,49.13,0,0
20010112,49.13,49.50,47.00,48.69,4003,0
20010115,48.69,48.69,48.69,48.69,0,0
20010116,48.50,48.69,47.31,48.00,5741,0
20010117,48.50,49.13,48.13,48.38,3851,0
20010118,48.38,49.50,48.38,49.38,3441,0
20010119,49.25,49.25,47.63,48.50,0,0
20010122,48.50,48.50,48.50,48.50,0,0
20010123,48.94,49.75,48.75,49.44,0,0
20010124,50.00,50.38,49.44,50.06,135374,0
20010125,50.50,50.94,49.81,50.25,4916,0
20010126,50.13,50.50,50.00,50.19,4035,0
20010129,52.38,53.09,51.00,53.00,418700,0
20010130,52.22,53.09,50.00,52.91,461100,0
20010131,51.70,52.85,51.70,52.49,498300,0
20010201,54.00,54.25,51.80,52.60,528100,0
20010202,52.60,53.34,52.00,53.06,359100,0
20010205,52.76,53.16,52.50,53.00,10384600,0
20010206,53.00,53.49,52.80,53.24,416300,0
20010207,53.25,53.32,53.00,53.10,3250900,0
20010208,53.25,53.25,52.00,53.22,414000,0
20010209,52.75,53.35,52.65,52.89,0,0
20010212,52.90,53.70,52.74,53.50,314100,0
20010213,53.50,53.82,53.25,53.80,580500,0
20010214,54.00,54.30,53.60,53.96,401900,0
20010215,54.70,54.99,53.78,53.88,0,0
20010216,53.51,54.89,53.35,53.92,404100,0
20010219,53.92,53.92,53.92,53.92,0,0
20010220,54.50,54.74,54.04,54.34,312400,0
20010221,54.34,54.49,53.45,53.72,452900,0
20010222,53.73,53.73,51.55,52.05,510800,0
20010223,52.10,52.10,51.11,51.50,599100,0
20010226,51.75,53.10,51.01,52.97,515500,0
20010227,53.00,53.10,52.45,52.72,221300,0
20010228,52.54,53.65,52.54,52.87,340500,0
20010301,52.75,52.80,51.43,51.98,513000,0
20010302,52.19,53.50,52.19,53.25,354000,0
20010305,53.26,54.95,53.00,54.39,560800,0
20010306,55.06,55.50,55.00,55.19,1446600,0
20010307,56.00,56.00,55.63,55.94,364000,0
20010308,55.99,57.38,55.96,57.29,352300,0
20010309,56.40,56.90,56.26,56.66,316100,0
20010312,55.50,57.25,55.27,56.55,567200,0
20010313,56.74,56.74,54.00,54.65,3483000,0
20010314,54.65,54.65,52.31,52.97,40527600,0
20010315,53.20,53.95,53.10,53.43,36500300,0
20010316,53.10,53.25,51.51,52.30,1024400,0
20010319,52.35,54.25,52.35,53.99,748500,0
20010320,53.99,55.00,52.86,53.41,558700,0
20010321,53.20,53.55,50.77,50.87,756400,0
20010322,50.88,50.88,48.26,49.44,1533100,0
20010323,49.80,50.30,49.40,49.71,278000,0
20010326,49.51,52.10,49.51,51.42,329700,0
20010327,50.01,50.50,49.50,49.64,1894300,0
20010328,49.35,51.10,47.50,50.60,1463200,0
20010329,50.21,50.52,48.70,49.92,502500,0
20010330,49.75,50.50,49.00,49.99,424200,0
20010402,50.19,51.01,50.10,50.35,299100,0
20010403,50.26,50.36,48.81,48.88,558700,0
20010404,49.15,50.90,49.15,50.09,333500,0
20010405,51.09,52.25,51.01,51.69,636300,0
20010406,51.31,51.31,50.12,50.75,431500,0
20010409,50.60,52.71,50.00,51.68,1213200,0
20010410,51.68,52.47,50.46,52.09,955600,0
20010411,52.08,52.08,50.60,50.88,134200,0
20010412,50.81,51.15,49.05,49.99,1146500,0
20010416,50.12,50.43,49.57,50.43,317000,0
20010417,50.01,50.20,49.20,49.50,402300,0
20010418,50.60,54.50,49.61,54.10,3740800,0
20010419,54.10,55.20,53.51,54.98,940700,0
20010420,54.90,55.00,53.94,54.39,568300,0
20010423,54.64,55.00,54.01,54.37,442400,0
20010424,54.30,54.30,53.02,53.24,394900,0
20010425,53.80,54.56,53.06,54.56,417500,0
20010426,54.56,55.50,54.56,55.19,677400,0
20010427,55.90,56.60,55.23,56.33,1352800,0
20010430,56.98,57.00,55.65,55.77,387200,0
20010501,56.02,56.64,55.33,56.61,330900,0
20010502,57.05,58.50,56.87,58.23,681500,0
20010503,57.60,57.90,56.37,56.39,855900,0
20010504,55.75,57.35,55.50,57.15,1198800,0
20010507,56.85,57.60,56.85,56.99,137800,0
20010508,56.81,57.23,56.51,56.71,255200,0
20010509,56.46,57.15,56.25,56.75,307500,0
20010510,56.50,58.38,56.50,58.08,318300,0
20010511,58.33,58.40,56.69,56.70,222300,0
20010514,56.45,57.07,56.30,57.07,356200,0
20010515,57.25,58.59,57.10,57.78,613300,0
20010516,57.75,60.80,57.55,60.68,875400,0
20010517,60.68,61.95,59.91,61.81,547600,0
20010518,61.80,61.80,61.10,61.66,532600,0
20010521,61.60,62.40,60.82,62.22,359700,0
20010522,62.30,62.30,61.00,61.50,481300,0
20010523,61.29,61.44,60.80,61.00,340300,0
20010524,60.90,62.78,60.81,62.26,393600,0
20010525,62.27,62.90,62.20,62.84,1232500,0
20010528,62.84,62.84,62.84,62.84,0,0
20010529,62.40,65.10,62.40,64.46,707400,0
20010530,64.21,64.21,62.52,62.77,3638000,0
20010531,62.75,62.90,62.00,62.90,322300,0
20010601,62.90,63.56,62.14,63.22,221900,0
20010604,63.00,63.65,62.75,63.38,160000,0
20010605,63.00,65.50,63.00,65.43,575100,0
20010606,65.01,65.01,64.21,64.50,231500,0
20010607,64.40,64.41,63.30,63.59,6367000,0
20010608,63.59,63.76,63.14,63.25,2306000,0
20010611,63.25,63.60,62.15,63.43,351600,0
20010612,63.80,63.80,62.00,62.51,451400,0
20010613,60.00,62.74,60.00,62.33,361200,0
20010614,62.26,62.30,60.64,60.69,429500,0
20010615,60.44,60.44,58.84,59.15,913900,0
20010618,59.15,61.35,58.60,61.18,458000,0
20010619,61.10,61.59,60.50,60.59,172900,0
20010620,60.61,61.00,60.10,60.84,1240300,0
20010621,60.85,62.24,60.30,62.24,442100,0
20010622,62.24,63.16,61.57,62.05,442000,0
20010625,61.90,62.00,60.95,61.17,248100,0
20010626,60.45,62.25,59.70,61.87,401500,0
20010627,61.55,63.80,61.55,62.78,402100,0
20010628,62.78,63.91,62.78,63.61,282600,0
20010629,63.62,63.95,62.50,62.50,1483300,0
20010702,62.75,64.85,62.13,64.60,574700,0
20010703,64.50,64.65,63.35,63.98,352300,0
20010704,63.98,63.98,63.98,63.98,0,0
20010705,63.99,63.99,63.26,63.58,218000,0
20010706,63.58,63.60,61.89,61.89,308900,0
20010709,61.90,62.40,60.64,61.16,2859600,0
20010710,61.17,61.31,59.45,59.76,958700,0
20010711,59.00,63.60,57.76,63.36,11596300,0
20010712,64.05,66.94,63.52,66.94,1215000,0
20010713,66.94,69.18,66.94,68.66,2237000,0
20010716,68.50,68.80,67.55,68.09,3151600,0
20010717,68.08,71.20,67.46,71.19,1824300,0
20010718,70.19,71.30,69.66,70.67,1172600,0
20010719,69.61,70.80,68.73,69.53,958300,0
20010720,69.01,69.64,68.75,69.55,453600,0
20010723,69.59,69.70,69.07,69.09,457000,0
20010724,69.00,69.00,67.75,68.22,2427800,0
20010725,68.37,69.75,68.15,69.31,843800,0
20010726,69.43,69.99,69.02,69.92,348500,0
20010727,69.85,70.34,69.70,69.86,283500,0
20010730,70.50,71.88,70.50,71.80,581400,0
20010731,71.71,71.93,70.37,70.54,738100,0
