DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20070928,14.0800,14.1200,13.9900,14.1000,58600,0
20071001,14.2000,14.2300,13.8800,14.0000,132200,0
20071002,13.9600,14.1400,13.9400,14.0100,120400,0
20071003,13.9400,13.9700,13.8600,13.9200,109500,0
20071004,13.9400,14.1300,13.9200,14.1100,1511100,0
20071005,14.1600,14.1700,14.0400,14.0600,90100,0
20071008,14.0400,14.0700,13.9600,14.0200,199600,0
20071009,14.0900,14.1300,13.7200,14.0300,5201400,0
20071010,14.1000,14.1800,14.0300,14.1600,180900,0
20071011,14.1300,14.2800,14.0000,14.1100,117500,0
20071012,14.1200,14.3900,14.0900,14.3800,115500,0
20071015,14.3700,14.3900,14.0100,14.1200,129300,0
20071016,14.0900,14.1600,13.7600,13.8000,130600,0
20071017,13.9500,14.0700,13.7700,13.9500,128100,0
20071018,13.9700,14.1500,13.9500,14.0600,147900,0
20071019,14.0300,14.1200,13.9600,13.9900,94700,0
20071022,13.8700,13.9900,13.7800,13.9400,131200,0
20071023,13.9600,14.0000,13.6600,13.8600,156800,0
20071024,13.8200,13.9300,13.5200,13.8000,143900,0
20071025,13.7500,13.8500,13.6100,13.7400,2279800,0
20071026,13.6600,13.8300,13.6100,13.7300,117800,0
20071029,13.7500,13.7800,13.4100,13.4400,129200,0
20071030,13.4000,13.4200,13.2100,13.3000,1952600,0
20071031,13.2900,13.4700,13.2300,13.4600,77000,0
20071101,13.3200,13.4200,13.1000,13.1400,84100,0
20071102,13.1900,13.2500,13.0200,13.1800,65600,0
20071105,13.1400,13.1500,12.9600,13.0300,116000,0
20071106,13.0500,13.2500,13.0500,13.2300,109300,0
20071107,13.0500,13.1300,12.7600,12.7600,107400,0
20071108,13.2400,13.9200,13.0500,13.7600,4118043,0
20071109,13.7400,13.8700,13.3800,13.5700,146400,0
20071112,13.5600,13.7400,13.5100,13.5100,211600,0
20071113,13.6300,13.9500,13.6300,13.9400,158000,0
20071114,13.9200,14.0700,13.5000,13.5000,5765392,0
20071115,13.4800,13.5000,13.2800,13.3900,223800,0
20071116,13.2400,13.3700,13.1100,13.2500,5684891,0
20071119,13.2500,13.3100,13.1300,13.1300,143000,0
20071120,13.1000,13.2700,12.6200,12.8000,5421072,0
20071121,12.8000,13.0400,12.7000,12.9000,144200,0
20071123,12.9100,13.0100,12.8700,13.0100,51200,0
20071126,13.0000,13.0200,12.7300,12.7300,122800,0
20071127,12.7200,12.8300,12.3900,12.6800,5298832,0
20071128,12.7700,12.9700,12.7000,12.9600,2050501,0
20071129,12.9100,13.1200,12.7300,12.9800,130800,0
20071130,12.9900,13.1000,12.7700,12.9400,173100,0
20071203,13.1900,13.2200,12.9500,13.1100,134300,0
20071204,13.1000,13.3100,13.0500,13.2100,3803554,0
20071205,13.3700,13.5100,13.3200,13.4700,156900,0
20071206,13.3900,13.5400,13.2500,13.4900,125600,0
20071207,13.4300,13.4600,13.3000,13.3400,178800,0
20071210,13.3600,13.4100,13.2200,13.2900,99500,0
20071211,13.3400,13.3600,13.0200,13.0200,3197218,0
20071212,13.2900,13.4500,13.1500,13.4500,124500,0
20071213,13.3900,13.4500,13.2600,13.3500,858659,0
20071214,13.2900,13.3600,13.1900,13.3000,120400,0
20071217,13.3500,13.3500,13.0600,13.0600,72900,0
20071218,13.3000,13.3000,12.6800,13.0600,137200,0
20071219,13.0400,13.0900,12.8300,12.8300,110400,0
20071220,12.9900,12.9900,12.6800,12.8600,163700,0
20071221,13.0100,13.1100,12.9500,13.0000,201400,0
20071224,13.0500,13.2500,13.0500,13.2500,1225954,0
20071226,12.9800,13.0150,12.7800,12.7900,72700,0
20071227,12.8000,12.8900,12.7500,12.8600,87200,0
20071228,12.9300,13.0200,12.8000,12.8200,1749355,0
20071231,12.7700,13.0800,12.7500,13.0000,127100,0
20080102,13.0300,13.0700,12.6200,12.7000,3982506,0
20080103,12.6900,12.7700,12.3700,12.4100,3249099,0
20080104,12.3000,12.3000,11.9600,11.9800,4293164,0
20080107,12.2800,12.4800,12.2700,12.4000,131100,0
20080108,12.4500,12.4700,11.7300,11.7700,146700,0
20080109,11.8000,11.8100,11.0500,11.5300,13056395,0
20080110,11.3800,11.7400,11.3800,11.6600,142600,0
20080111,11.5600,11.7500,11.4000,11.6000,74300,0
20080114,11.6700,11.7300,11.4500,11.7200,73200,0
20080115,11.9500,12.0300,11.5550,11.5600,114200,0
20080116,11.5900,11.7200,11.3900,11.4300,126300,0
20080117,11.4500,11.5700,11.3300,11.3800,185000,0
20080118,11.4100,11.4900,10.9300,11.0900,125700,0
20080122,10.5400,11.0700,10.5000,10.9700,69300,0
20080123,10.7000,11.0200,10.4800,11.0200,5517116,0
20080124,11.0400,11.2100,10.8400,11.1500,135800,0
20080125,11.2400,11.2500,11.0100,11.0300,62300,0
20080128,10.9700,11.2500,10.8800,11.2400,95800,0
20080129,11.3700,11.5200,11.2500,11.4800,108100,0
20080130,11.3400,11.6000,11.2800,11.3200,1638838,0
20080131,11.1100,11.6900,11.1100,11.5900,3813813,0
20080201,11.6500,11.7600,11.5700,11.7200,48300,0
20080204,11.7000,11.7000,11.5000,11.5900,165300,0
20080205,11.4500,11.4800,11.1200,11.1600,117700,0
20080206,11.2200,11.2200,10.9700,10.9800,3426809,0
20080207,10.9600,11.0100,10.7700,10.9700,90500,0
20080208,11.8900,11.9300,11.4300,11.6100,6774950,0
20080211,11.7300,11.7700,11.5600,11.6400,85900,0
20080212,11.6900,11.7800,11.6200,11.6600,4226139,0
20080213,11.7600,11.9700,11.7100,11.8900,120300,0
20080214,11.9500,11.9800,11.7400,11.7400,83900,0
20080215,11.7800,12.1100,11.6800,12.0800,159800,0
20080219,12.2600,12.2600,11.9100,11.9600,3773578,0
20080220,11.9100,11.9700,11.5800,11.8900,116500,0
20080221,11.8700,11.9900,11.6000,11.6300,2137721,0
20080222,11.7000,11.8800,11.5500,11.8000,110900,0
20080225,11.9000,12.3200,11.9000,12.3000,244300,0
