DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20090805,28.94,29.25,28.42,28.58,1652570,0
20090806,28.74,28.74,27.52,28.01,4040896,0
20090807,28.25,28.66,28.13,28.57,2973359,0
20090810,28.41,28.75,28.05,28.72,2050793,0
20090811,28.76,28.98,28.40,28.85,2905532,0
20090812,28.85,30.29,28.66,30.02,4547514,0
20090813,30.24,31.66,30.05,30.65,4217788,0
20090814,30.60,30.65,30.04,30.23,2092095,0
20090817,29.86,30.94,29.64,29.74,1726571,0
20090818,29.26,29.58,28.87,29.00,2723292,0
20090819,28.76,29.42,28.71,29.38,2008095,0
20090820,29.47,29.94,29.22,29.85,1429813,0
20090821,30.06,30.35,29.90,30.06,2395111,0
20090824,30.08,30.38,30.00,30.24,1600044,0
20090825,30.37,30.58,30.02,30.04,1625285,0
20090826,29.99,30.30,29.83,30.20,1277820,0
20090827,30.28,30.35,29.73,30.05,1447796,0
20090828,30.16,30.30,29.42,29.64,2014294,0
20090831,29.51,29.93,29.43,29.93,1684127,0
20090901,29.94,30.20,29.60,29.86,2671886,0
20090902,29.87,29.87,29.20,29.49,2779673,0
20090903,29.54,29.79,28.97,29.76,2149657,0
20090904,29.67,30.12,29.51,30.08,1981289,0
20090908,29.80,30.46,29.30,30.31,2584227,0
20090909,29.26,30.10,29.26,29.88,3499217,0
20090910,29.94,30.09,29.63,30.08,2696217,0
20090911,30.08,30.59,30.08,30.40,2393294,0
20090914,29.58,30.67,29.58,30.66,3431295,0
20090915,30.66,30.80,30.07,30.10,3105298,0
20090916,30.23,30.27,29.90,30.14,2570912,0
20090917,30.03,30.54,29.79,30.02,3018677,0
20090918,30.09,30.80,29.85,30.75,4529828,0
20090921,30.62,30.62,29.85,29.96,2482629,0
20090922,30.05,30.18,29.73,29.88,2750472,0
20090923,29.99,30.02,29.38,29.84,3009029,0
20090924,29.83,29.92,29.45,29.55,2177131,0
20090925,29.52,29.64,28.92,28.98,2112288,0
20090928,29.43,29.95,29.22,29.93,1714285,0
20090929,29.93,30.13,29.71,30.00,2002198,0
20090930,30.05,30.08,29.62,29.82,3271084,0
20091001,29.56,29.65,28.98,28.98,2340232,0
20091002,28.85,29.25,28.85,29.15,2414525,0
20091005,29.28,29.28,28.64,28.92,1999435,0
20091006,29.11,29.17,28.76,28.78,2843141,0
20091007,28.63,28.89,28.28,28.39,3042189,0
20091008,28.62,28.81,28.51,28.68,2225853,0
20091009,28.65,28.82,28.60,28.64,2080268,0
20091012,28.74,28.96,28.65,28.73,1800079,0
20091013,28.75,29.05,28.70,28.97,2379261,0
20091014,29.20,30.00,29.05,29.94,3946165,0
20091015,29.78,31.70,29.78,31.63,6584317,0
20091016,31.09,31.38,30.80,31.22,2547273,0
20091019,31.27,31.29,30.90,31.25,2112622,0
20091020,31.22,31.26,30.75,30.96,1861575,0
20091021,30.86,31.57,30.78,31.09,2175366,0
20091022,31.12,31.55,30.80,31.48,2072434,0
20091023,31.47,31.74,30.89,30.93,1813772,0
20091026,30.96,31.41,30.33,30.63,2404585,0
20091027,30.60,31.24,30.52,31.07,1579933,0
20091028,31.05,31.19,30.55,30.62,2410877,0
20091029,30.74,30.97,30.20,30.77,2095668,0
20091030,30.72,31.16,29.77,29.88,3125360,0
20091102,29.88,30.77,29.75,30.69,2452487,0
20091103,30.68,30.85,30.17,30.48,2012938,0
20091104,30.60,31.08,30.37,30.66,2098756,0
20091105,30.66,31.61,30.65,31.56,2385178,0
20091106,31.51,31.66,31.17,31.64,1463387,0
20091109,31.78,32.51,31.70,32.49,1923319,0
20091110,32.40,32.71,32.23,32.62,1713575,0
20091111,32.78,33.07,32.22,32.43,2445272,0
20091112,32.40,32.49,31.91,31.97,2034540,0
20091113,31.92,32.58,31.90,32.18,2387216,0
20091116,32.19,32.98,32.19,32.79,2143593,0
