DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,39.81,39.81,37.63,37.94,149000,0
20010103,38.50,38.88,36.00,37.50,23350,0
20010104,37.25,37.38,34.25,35.38,26429,0
20010105,35.94,37.50,35.75,36.75,81527,0
20010108,37.50,37.94,36.88,37.19,21838,0
20010109,35.50,36.00,32.63,34.56,36389,0
20010110,35.00,46.00,34.63,35.06,18318,0
20010111,35.50,36.25,34.81,35.94,26821,0
20010112,36.25,37.50,35.81,36.25,22235,0
20010115,36.25,36.25,36.25,36.25,0,0
20010116,36.31,36.88,34.88,36.13,30360,0
20010117,36.38,37.38,36.38,36.88,149489,0
20010118,37.13,38.19,36.75,37.88,47791,0
20010119,37.75,38.25,36.75,38.19,32302,0
20010122,38.19,38.19,38.19,38.19,0,0
20010123,38.50,39.50,38.31,39.25,20085,0
20010124,39.50,39.75,38.81,39.25,20164,0
20010125,39.25,40.31,39.13,40.06,16104,0
20010126,40.06,40.06,38.56,38.94,16646,0
20010129,41.06,41.09,39.00,39.25,1771200,0
20010130,39.00,41.34,39.00,39.84,1102300,0
20010131,39.90,40.24,38.75,39.13,1599100,0
20010201,39.10,39.43,38.11,38.96,10343900,0
20010202,38.92,39.28,38.85,39.09,1488800,0
20010205,40.25,40.87,39.75,40.54,4396100,0
20010206,40.62,41.35,40.15,40.50,1950400,0
20010207,40.85,41.75,40.00,41.60,2226700,0
20010208,41.00,42.65,41.00,42.60,2960500,0
20010209,43.25,43.55,42.28,42.99,2695700,0
20010212,43.24,44.04,42.99,43.98,2502200,0
20010213,45.00,45.72,44.88,45.08,3962700,0
20010214,44.70,45.15,44.65,45.15,2984100,0
20010215,43.99,44.39,43.54,44.39,5189800,0
20010216,44.00,44.34,43.18,43.40,1783500,0
20010219,43.40,43.40,43.40,43.40,0,0
20010220,44.50,44.50,42.00,42.26,2433000,0
20010221,42.50,42.80,41.48,41.65,2090900,0
20010222,42.29,42.50,41.14,41.79,2721900,0
20010223,41.40,42.10,41.01,41.69,2296000,0
20010226,41.95,42.50,41.80,41.94,1486600,0
20010227,41.90,42.40,40.75,40.99,2704400,0
20010228,40.95,41.70,40.00,41.70,2887900,0
20010301,42.45,43.26,42.31,43.23,3508100,0
20010302,43.25,44.50,43.22,44.25,2953100,0
20010305,44.28,45.30,44.00,44.97,1499000,0
20010306,44.80,45.20,44.26,44.50,2165800,0
20010307,44.35,45.75,44.25,45.75,3872000,0
20010308,46.10,46.20,45.20,45.77,2277700,0
20010309,46.10,46.44,45.00,45.01,2288000,0
20010312,44.80,44.82,43.20,43.20,1705800,0
20010313,43.00,43.40,42.16,43.05,1258700,0
20010314,42.00,42.65,41.15,41.81,4487600,0
20010315,42.00,43.30,41.90,43.25,2955600,0
20010316,42.25,43.23,42.00,42.19,2364700,0
20010319,42.19,42.80,42.18,42.44,1178600,0
20010320,42.65,44.35,42.26,43.48,2976200,0
20010321,43.45,43.65,41.30,41.44,8419000,0
20010322,39.50,40.15,36.50,38.20,3527600,0
20010323,39.25,40.90,39.13,40.39,2170800,0
20010326,40.75,41.47,40.65,41.00,1236000,0
20010327,41.75,43.00,41.55,43.00,1960800,0
20010328,42.99,42.99,41.00,41.85,4400400,0
20010329,41.38,41.38,40.00,41.00,2184400,0
20010330,41.00,43.15,41.00,42.84,2213900,0
20010402,43.85,44.17,42.00,43.55,2553900,0
20010403,43.90,44.00,39.48,40.15,4123100,0
20010404,39.99,40.93,39.50,40.26,2722900,0
20010405,40.95,42.38,35.75,41.86,100,0
20010406,42.00,42.11,35.00,40.79,2449400,0
20010409,40.70,42.27,36.00,41.00,2782500,0
20010410,41.30,43.05,36.35,42.90,2082700,0
20010411,42.90,43.20,36.75,42.89,1185600,0
20010412,42.80,43.20,36.46,42.70,10500,0
20010416,42.85,43.93,37.00,43.34,1013100,0
20010417,43.10,43.50,37.20,43.35,6339700,0
20010418,43.38,43.55,37.90,42.80,2435400,0
20010419,42.65,42.80,37.40,41.75,3490200,0
20010420,42.00,42.15,36.52,41.15,42300,0
20010423,42.10,42.15,37.40,38.80,1897400,0
20010424,39.75,40.54,39.00,39.85,2897300,0
20010425,39.85,40.66,39.65,40.30,1887600,0
20010426,41.50,42.75,41.41,42.75,3665200,0
20010427,43.00,43.45,42.65,43.45,4560500,0
20010430,43.30,43.71,42.08,42.17,1628000,0
20010501,42.70,43.54,42.44,43.38,1785800,0
20010502,42.60,42.61,40.10,40.26,2420900,0
20010503,40.26,40.89,39.52,40.66,1426900,0
20010504,40.61,41.84,40.43,41.67,957000,0
20010507,38.25,39.50,37.81,39.28,11327000,0
20010508,39.03,39.59,38.55,39.54,3355900,0
20010509,39.75,40.36,39.65,40.36,2653000,0
20010510,41.40,41.40,40.43,40.85,3567400,0
20010511,40.56,40.69,39.99,40.23,1940800,0
20010514,40.23,40.54,39.80,40.19,1413200,0
20010515,40.49,40.65,40.00,40.08,1789600,0
20010516,40.23,40.91,39.85,40.48,2038300,0
20010517,39.60,40.94,39.56,40.51,1918000,0
20010518,40.71,41.83,40.55,41.76,2526900,0
20010521,42.00,42.20,41.50,42.14,2620600,0
20010522,42.35,42.36,41.30,41.65,2166000,0
20010523,42.00,42.20,41.50,41.88,2341500,0
20010524,41.88,42.15,41.73,42.11,1694500,0
20010525,42.11,42.11,41.00,41.30,2721900,0
20010528,41.30,41.30,41.30,41.30,0,0
20010529,41.15,41.27,39.61,40.06,2535000,0
20010530,39.75,40.32,39.27,39.35,2504700,0
20010531,39.50,39.61,39.15,39.40,2367400,0
20010601,38.60,39.05,38.59,39.05,2845400,0
20010604,39.10,39.45,38.95,39.20,1414100,0
20010605,39.15,39.23,37.75,38.20,4044100,0
20010606,37.80,37.80,35.60,37.00,5082200,0
20010607,37.01,37.07,36.25,36.86,2355100,0
20010608,36.80,38.07,36.55,37.67,2122400,0
20010611,37.53,38.00,37.40,37.94,3334000,0
20010612,37.85,38.50,36.50,36.97,4077600,0
20010613,37.38,37.60,36.60,36.64,3071800,0
20010614,36.60,36.65,34.73,35.58,3217500,0
20010615,34.85,36.70,34.85,35.83,3299600,0
20010618,36.02,36.05,35.16,35.16,1998600,0
20010619,35.50,35.55,34.24,35.21,2239200,0
20010620,35.59,35.59,34.80,35.05,1630600,0
20010621,34.75,35.20,33.35,33.74,2699400,0
20010622,33.84,34.36,33.30,34.07,2053000,0
20010625,34.07,34.15,32.00,32.40,4978500,0
20010626,32.30,33.52,31.90,32.40,20360900,0
20010627,32.50,33.20,32.16,32.83,2506000,0
20010628,33.00,33.09,32.70,32.85,2820400,0
20010629,32.85,33.30,32.61,32.95,2641400,0
20010702,33.60,33.66,32.86,33.13,1689000,0
20010703,33.50,33.50,32.85,33.00,776300,0
20010704,33.00,33.00,33.00,33.00,0,0
20010705,33.00,34.08,32.98,33.97,8070900,0
20010706,33.70,34.08,33.36,33.65,2239000,0
20010709,33.71,33.75,32.63,32.75,1922800,0
20010710,33.15,33.60,33.10,33.23,2701600,0
20010711,33.23,33.29,32.24,32.55,2152200,0
20010712,32.20,32.50,31.75,32.41,1512900,0
20010713,32.03,33.21,32.01,32.78,1323500,0
20010716,32.95,33.25,32.20,32.54,4081200,0
20010717,32.54,33.10,32.36,33.10,1857900,0
20010718,33.50,33.50,32.50,32.98,2357300,0
20010719,32.98,33.34,32.84,33.12,1130400,0
20010720,33.65,33.70,32.50,32.86,1478100,0
20010723,32.98,33.12,32.18,32.35,1648000,0
20010724,31.09,31.22,30.00,30.28,5012800,0
20010725,30.28,31.59,30.25,31.34,3538600,0
20010726,32.00,32.61,31.82,32.58,1461200,0
20010727,32.65,33.15,32.36,33.09,1573600,0
20010730,32.94,33.30,32.35,33.15,1674800,0
20010731,33.14,34.11,32.89,33.50,1510900,0
20010801,33.50,34.00,33.35,33.61,1233900,0
20010802,34.00,34.41,33.55,33.80,3557400,0
20010803,34.05,34.05,33.05,33.51,1521500,0
20010806,33.26,33.26,32.51,32.77,1550900,0
20010807,32.67,32.90,32.21,32.45,1246200,0
20010808,32.70,32.80,31.35,31.75,9854100,0
20010809,31.50,31.82,30.90,31.75,1865200,0
20010810,32.00,32.48,31.41,32.37,2080100,0
20010813,32.25,32.27,31.95,32.06,8340900,0
20010814,32.16,32.45,32.15,32.30,1549400,0
20010815,32.00,32.89,31.57,32.50,2437400,0
20010816,32.62,32.63,32.01,32.30,1402000,0
20010817,32.30,32.30,31.67,31.91,21215800,0
20010820,32.00,32.09,31.64,31.75,1919900,0
20010821,31.85,31.99,31.53,31.62,1279200,0
20010822,31.80,32.25,31.60,31.74,1960100,0
20010823,32.00,32.40,31.70,32.12,1387000,0
20010824,32.10,32.84,31.96,32.81,1188100,0
20010827,32.91,33.23,32.85,33.05,1015400,0
20010828,33.30,33.35,32.44,32.52,2016100,0
20010829,32.71,32.99,32.45,32.85,5303900,0
20010830,32.86,33.10,32.07,32.21,1205600,0
20010831,32.35,32.80,31.95,32.50,958700,0
20010903,32.50,32.50,32.50,32.50,0,0
20010904,32.35,33.39,32.35,32.61,1084400,0
20010905,32.41,32.79,32.02,32.62,1583000,0
20010906,32.28,32.45,31.65,31.97,10397400,0
20010907,31.50,31.97,31.45,31.48,1603400,0
20010910,31.39,31.94,31.18,31.46,1472400,0
20010911,31.46,31.46,31.46,31.46,0,0
20010917,30.49,30.73,30.15,30.34,1612300,0
20010918,30.50,30.50,28.20,28.29,1901700,0
20010919,28.60,28.76,25.00,26.79,2747500,0
20010920,26.79,27.34,26.00,26.52,5353400,0
20010921,25.25,28.00,25.20,26.00,2253500,0
20010924,27.00,27.00,26.02,26.31,1355700,0
20010925,26.57,26.69,25.30,25.54,1937400,0
20010926,25.74,25.74,24.75,24.99,3127100,0
20010927,25.49,25.72,24.74,25.51,2401000,0
20010928,26.00,27.56,25.83,27.30,2665400,0
20011001,27.30,27.44,26.60,27.00,2095400,0
20011002,26.80,27.92,26.80,27.42,2081200,0
20011003,27.62,28.61,27.35,28.32,3103800,0
20011004,29.32,29.32,28.35,28.94,1698100,0
20011005,29.00,29.25,28.20,28.85,5267600,0
20011008,28.85,29.50,28.60,29.35,1357900,0
20011009,30.02,30.07,28.95,29.50,1493600,0
20011010,29.60,30.39,29.60,30.25,1877000,0
20011011,30.00,30.70,30.00,30.43,1492300,0
20011012,30.31,30.73,29.30,30.25,1202800,0
20011015,30.00,30.24,29.00,29.15,1220300,0
20011016,29.10,30.15,29.10,29.99,2496900,0
20011017,30.69,30.69,28.70,28.74,2030800,0
20011018,28.85,28.90,27.46,27.55,1732400,0
20011019,27.57,28.92,27.33,28.45,1599900,0
20011022,28.80,29.13,28.60,28.76,1517900,0
20011023,28.92,29.10,27.80,28.05,1861900,0
20011024,28.20,28.25,25.75,25.90,4354200,0
20011025,25.80,27.97,25.80,27.60,4248000,0
20011026,27.60,28.20,26.96,28.00,3127800,0
20011029,28.05,28.59,27.68,28.34,2143100,0
20011030,28.34,29.60,28.34,28.85,3928900,0
20011031,29.60,29.60,28.60,28.87,2640600,0
20011101,28.65,29.49,28.11,29.31,2063400,0
20011102,29.31,29.31,28.30,28.79,1402500,0
20011105,29.00,29.40,28.80,29.01,2011100,0
20011106,28.76,29.15,28.50,29.01,1466700,0
20011107,28.85,29.13,28.56,29.00,14400000,0
20011108,28.70,29.85,28.65,29.55,3896700,0
20011109,29.65,30.40,29.56,29.80,1616100,0
20011112,29.00,29.76,29.00,29.54,1066900,0
20011113,29.79,30.33,29.27,30.19,1347600,0
20011114,30.19,30.19,28.85,28.98,1460500,0
20011115,28.22,28.36,27.31,28.31,2658900,0
20011116,28.25,28.73,27.58,28.55,4557900,0
20011119,28.40,28.47,27.50,28.44,2638200,0
20011120,28.40,29.47,28.35,29.26,1930500,0
20011121,29.26,29.26,27.05,27.75,13400800,0
20011122,27.75,27.75,27.75,27.75,0,0
20011123,27.75,28.29,27.11,28.25,1354100,0
20011126,27.80,28.25,26.69,28.25,2135600,0
20011127,27.85,29.29,27.85,28.85,2544100,0
20011128,28.45,28.45,26.80,27.05,5080200,0
20011129,25.10,27.25,24.10,27.00,13966000,0
20011130,26.75,27.14,26.29,26.77,3967600,0
20011203,26.25,27.15,25.41,26.46,3687300,0
20011204,27.00,27.29,26.26,27.29,3348600,0
20011205,27.46,28.35,27.28,27.94,8484400,0
20011206,27.60,28.05,27.20,27.79,3062000,0
20011207,27.70,28.35,27.30,27.80,1972500,0
20011210,27.45,27.45,26.23,26.79,2751100,0
20011211,26.79,26.79,24.75,25.14,8722000,0
20011212,24.70,24.70,22.45,23.67,14656400,0
20011213,23.20,24.75,23.00,24.06,8277800,0
20011214,23.50,24.70,23.01,24.31,6136500,0
20011217,24.20,24.21,22.77,22.95,7053200,0
20011218,22.50,22.80,20.80,22.10,15651000,0
20011219,21.25,24.80,21.25,24.70,12759200,0
20011220,25.10,25.40,23.85,24.37,7228400,0
20011221,24.38,25.62,23.65,23.69,6080300,0
