DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20061002,19.20,20.08,19.17,19.76,7112500,0
20061003,19.89,20.04,19.63,20.00,11417100,0
20061004,20.00,20.05,19.50,19.78,10722800,0
20061005,19.95,19.95,19.59,19.64,8782400,0
20061006,19.70,19.78,19.32,19.57,6282100,0
20061009,19.90,19.96,19.51,19.73,3518000,0
20061010,19.58,19.82,19.50,19.71,6132200,0
20061011,19.68,19.68,19.28,19.31,9504800,0
20061012,19.42,19.42,18.95,19.03,8324300,0
20061013,19.00,19.02,18.57,18.87,10659500,0
20061016,19.06,19.22,18.72,18.74,9966300,0
20061017,18.50,18.68,18.36,18.58,4902400,0
20061018,18.55,19.12,18.55,19.00,6600200,0
20061019,19.40,19.75,19.20,19.50,8959200,0
20061020,19.60,20.00,19.44,19.63,5712600,0
20061023,19.66,19.88,19.14,19.58,6783100,0
20061024,20.00,21.00,19.90,19.95,14763600,0
20061025,20.06,22.20,20.05,21.85,11829500,0
20061026,21.72,23.04,21.65,22.34,13490600,0
20061027,22.10,22.34,21.52,21.95,4564700,0
20061030,21.98,22.20,21.45,22.11,5795000,0
20061031,22.49,22.78,21.81,22.05,4165200,0
20061101,22.15,22.58,21.94,21.97,8517800,0
20061102,21.68,22.08,21.44,21.83,7359000,0
20061103,22.08,22.29,21.34,21.54,4823500,0
20061106,22.05,22.41,21.79,22.23,5462200,0
20061107,22.13,22.94,22.13,22.50,5057500,0
20061108,22.40,22.88,22.22,22.62,4660200,0
20061109,22.60,23.55,22.50,23.28,8630700,0
20061110,23.28,23.50,22.76,22.83,4421300,0
20061113,23.20,23.44,22.88,23.24,5379500,0
20061114,23.48,23.55,22.90,23.42,4358600,0
20061115,23.63,23.80,23.31,23.35,4149900,0
20061116,23.50,23.80,23.10,23.12,4629000,0
20061117,22.98,23.20,22.65,22.68,4082900,0
20061120,22.68,22.82,22.21,22.51,3844400,0
20061121,22.63,22.84,22.54,22.55,4081300,0
20061122,22.45,22.66,22.36,22.54,2753500,0
20061124,22.52,22.55,22.36,22.36,886000,0
20061127,22.17,22.37,21.72,21.85,4876600,0
20061128,21.66,22.50,21.49,21.62,4878300,0
20061129,22.50,23.84,21.52,22.16,5717600,0
20061130,22.19,22.94,22.09,22.80,6002400,0
20061201,22.41,22.85,22.41,22.85,4519400,0
