DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,50.50,51.94,49.56,50.13,10645,0
20010103,50.13,51.88,49.50,51.38,12815,0
20010104,51.38,54.00,51.00,52.94,22078,0
20010105,53.88,53.88,51.00,52.81,39086,0
20010108,52.88,53.81,51.00,51.69,10213,0
20010109,51.50,51.63,49.50,50.00,7550,0
20010110,50.06,50.44,48.88,50.44,11804,0
20010111,50.31,50.44,49.00,49.81,6871,0
20010112,49.94,49.94,48.19,48.75,6528,0
20010115,48.75,48.75,48.75,48.75,0,0
20010116,48.75,51.00,48.25,50.38,14476,0
20010117,50.38,50.38,49.00,49.75,7203,0
20010118,49.50,50.13,48.63,49.19,4988,0
20010119,49.19,49.25,47.63,47.63,5434,0
20010122,47.63,47.63,47.63,47.63,0,0
20010123,48.19,49.31,48.13,48.31,5411,0
20010124,48.31,49.00,47.56,47.94,0,0
20010125,47.81,50.44,47.81,50.00,12625,0
20010126,50.06,50.06,48.56,49.44,9077,0
20010129,49.84,51.97,49.84,50.56,640300,0
20010130,52.13,54.06,50.00,52.09,724500,0
20010131,51.88,52.98,51.50,52.50,1383300,0
20010201,53.50,53.59,51.84,53.19,1180800,0
20010202,52.85,53.35,51.85,52.44,1055800,0
20010205,52.34,52.97,52.30,52.89,0,0
20010206,52.89,53.25,52.42,52.67,0,0
20010207,52.68,53.25,52.16,53.04,699900,0
20010208,53.04,53.45,50.90,52.00,773300,0
20010209,52.00,52.00,50.20,50.81,991800,0
20010212,50.81,51.50,49.77,51.41,20337800,0
20010213,51.41,53.26,51.06,52.72,1177100,0
20010214,52.20,52.20,50.75,51.40,646200,0
20010215,51.82,53.93,51.82,53.67,0,0
20010216,52.80,53.82,52.41,52.96,351500,0
20010219,52.96,52.96,52.96,52.96,0,0
20010220,52.97,54.18,52.22,52.55,713700,0
20010221,52.45,53.10,51.58,51.80,320700,0
20010222,51.84,53.12,51.84,52.17,905700,0
20010223,51.95,52.65,50.76,51.53,696100,0
20010226,51.78,53.36,51.78,53.31,689400,0
20010227,52.50,53.82,52.50,53.35,10356600,0
20010228,53.45,54.28,53.17,53.74,657700,0
20010301,53.74,53.95,52.53,53.07,656100,0
20010302,53.08,54.40,53.08,54.35,707800,0
20010305,54.35,56.80,54.35,56.35,1046200,0
20010306,56.45,56.51,55.30,55.55,1108500,0
20010307,55.35,58.00,55.35,57.75,3574100,0
20010308,57.30,57.87,55.91,57.32,4987400,0
20010309,57.35,58.43,56.65,57.04,3313600,0
20010312,57.05,57.05,53.20,53.35,1087000,0
20010313,52.35,52.87,50.50,52.60,6363400,0
20010314,51.79,51.85,50.56,50.94,1367400,0
20010315,50.93,50.94,49.90,50.05,9750000,0
20010316,50.00,50.79,49.70,49.88,1433700,0
20010319,50.00,51.65,50.00,50.50,639000,0
20010320,50.95,52.89,50.05,52.07,1375800,0
20010321,52.10,52.10,50.15,50.32,13450000,0
20010322,49.80,50.17,47.02,49.00,1868100,0
20010323,48.51,49.73,47.55,49.41,3515800,0
20010326,49.25,51.18,48.70,50.21,701400,0
20010327,50.34,52.42,49.91,52.23,1115200,0
20010328,51.50,51.98,49.70,51.80,889100,0
20010329,51.30,52.16,49.40,50.50,3030800,0
20010330,50.73,51.68,50.17,50.78,1102200,0
20010402,51.12,52.00,49.47,49.47,695800,0
20010403,49.63,50.31,48.80,49.00,919800,0
20010404,49.10,50.33,49.05,49.42,2308400,0
20010405,49.90,50.15,49.53,49.96,2441900,0
20010406,49.75,49.75,48.00,48.00,1115300,0
20010409,48.25,50.24,48.25,49.43,1460500,0
20010410,50.90,52.61,50.50,52.46,1097900,0
20010411,53.95,53.95,52.07,52.41,821700,0
20010412,52.00,52.89,50.81,51.65,927500,0
20010416,52.05,53.05,51.75,53.00,1074400,0
20010417,52.40,52.55,51.30,51.60,872400,0
20010418,51.60,54.70,50.96,53.86,1283800,0
20010419,53.61,53.75,52.40,53.30,811700,0
20010420,53.07,53.91,52.01,52.20,2785700,0
20010423,52.20,53.29,52.20,52.51,1186800,0
20010424,52.70,53.71,52.05,52.39,1399300,0
20010425,52.50,52.60,51.60,52.11,547800,0
20010426,51.91,53.42,51.60,53.30,894900,0
20010427,53.15,54.15,53.15,54.01,11095400,0
20010430,54.21,57.00,54.21,56.53,5302500,0
20010501,56.54,57.20,55.45,56.89,1239000,0
20010502,56.50,57.45,55.62,57.18,1176000,0
20010503,57.05,57.05,55.40,56.02,775000,0
20010504,55.06,57.15,54.62,57.10,736000,0
20010507,56.75,58.00,55.90,56.35,771000,0
20010508,56.35,57.10,56.35,56.37,719300,0
20010509,56.38,57.05,55.75,56.22,896400,0
20010510,56.27,57.29,56.27,57.19,736500,0
20010511,57.26,57.26,55.75,56.77,971300,0
20010514,56.40,57.40,56.15,57.33,640700,0
20010515,57.00,58.17,56.80,57.99,1802500,0
20010516,57.80,62.00,57.35,61.52,2161100,0
20010517,61.35,63.50,61.21,62.05,2742600,0
20010518,61.90,62.49,60.50,60.95,1534300,0
20010521,61.10,61.25,59.85,60.91,1350600,0
20010522,59.91,60.01,58.95,59.02,1035900,0
20010523,59.00,59.80,58.64,58.84,1006000,0
20010524,58.76,58.76,56.50,57.00,1523700,0
20010525,57.00,57.29,56.40,56.60,282600,0
20010528,56.60,56.60,56.60,56.60,0,0
20010529,56.60,58.05,56.60,57.35,978900,0
20010530,57.35,57.95,56.70,57.02,758700,0
20010531,57.27,57.99,56.90,57.21,920900,0
20010601,57.30,57.85,56.11,57.67,1126400,0
20010604,57.70,57.90,57.48,57.80,2373500,0
20010605,57.30,59.62,56.38,58.60,1238800,0
20010606,58.35,59.42,58.08,58.36,1860600,0
20010607,58.35,59.06,58.35,58.85,353600,0
20010608,58.40,58.70,57.85,57.93,547200,0
20010611,57.85,57.95,56.76,56.99,4331300,0
20010612,56.65,56.65,55.61,55.80,7550600,0
20010613,55.25,56.53,55.25,55.95,928500,0
20010614,55.95,55.95,54.30,54.44,5669600,0
20010615,53.60,54.58,53.60,53.77,1204800,0
