DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20030430,19.38,19.72,19.38,19.70,121900,0
20030501,19.60,19.60,19.25,19.25,185000,0
20030502,19.25,19.40,19.25,19.31,126300,0
20030505,19.38,19.40,19.10,19.20,174300,0
20030506,19.20,19.57,19.16,19.38,249400,0
20030507,19.35,19.50,19.30,19.37,385900,0
20030508,19.40,20.15,19.40,19.91,221700,0
20030509,19.97,20.41,19.90,20.41,347300,0
20030512,20.48,21.20,20.48,20.85,225100,0
20030513,20.90,21.20,20.82,21.00,116200,0
20030514,20.95,21.10,20.75,20.83,223400,0
20030515,20.45,20.78,20.45,20.70,314100,0
20030516,20.75,20.85,20.45,20.45,158900,0
20030519,20.50,20.85,20.45,20.70,145600,0
20030520,20.65,20.81,20.20,20.60,132300,0
20030521,20.71,21.41,20.56,21.36,122800,0
20030522,21.30,21.73,21.30,21.66,324700,0
20030523,21.50,21.93,21.45,21.75,104700,0
20030527,21.60,22.10,21.50,21.51,112200,0
20030528,21.45,21.75,21.26,21.26,147100,0
20030529,21.25,21.25,20.80,21.25,133400,0
20030530,21.15,22.10,21.15,21.75,103700,0
20030602,21.90,22.20,21.75,21.91,239100,0
20030603,21.75,22.32,21.75,22.25,114700,0
20030604,22.30,22.85,22.30,22.65,203700,0
20030605,22.75,23.07,22.67,23.07,246200,0
20030606,22.95,23.60,22.95,22.98,164700,0
20030609,22.98,23.03,22.50,22.50,111300,0
20030610,22.55,22.90,22.55,22.75,85800,0
20030611,22.80,24.09,22.66,23.80,103000,0
20030612,24.15,24.25,22.97,23.16,267100,0
20030613,22.80,23.08,22.70,22.73,167800,0
20030616,22.80,22.99,22.55,22.70,137900,0
20030617,22.65,22.84,22.46,22.70,80400,0
20030618,22.65,22.75,22.42,22.72,81600,0
20030619,22.62,23.45,22.62,23.25,182700,0
20030620,23.15,23.31,22.88,23.31,148800,0
20030623,23.30,23.49,23.10,23.30,178100,0
20030624,23.24,23.74,23.23,23.64,94500,0
20030625,23.75,24.23,23.75,24.02,101700,0
20030626,24.05,24.17,23.72,23.96,185400,0
20030627,24.00,24.40,23.25,23.74,191400,0
20030630,23.78,24.09,23.75,23.75,826500,0
20030701,23.70,23.70,22.80,23.50,136700,0
20030702,23.40,23.43,22.41,22.75,272000,0
20030703,22.70,22.95,22.55,22.62,49700,0
20030707,22.70,22.80,21.90,22.00,266900,0
20030708,21.85,22.22,21.80,22.20,179100,0
20030709,22.20,22.94,21.89,22.94,166200,0
20030710,22.65,22.65,21.93,21.96,153400,0
20030711,22.05,22.20,22.02,22.10,86000,0
20030714,22.20,22.28,21.56,21.77,247600,0
20030715,21.95,21.95,21.05,21.05,258600,0
