DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,45.5000,47.0000,40.0000,43.2500,11049800,0
20010103,40.8125,52.7500,40.2500,51.0625,19349300,0
20010104,50.1875,53.6250,49.7500,52.3125,11644000,0
20010105,52.4063,53.6250,48.2500,49.9375,10270300,0
20010108,48.8750,49.0000,45.3750,48.2500,7968400,0
20010109,49.6250,50.6250,47.1875,48.0625,4745000,0
20010110,46.4375,52.4375,46.2500,52.0000,10914000,0
20010111,50.7500,53.9375,49.2500,52.1250,12127100,0
20010112,51.5625,52.8750,49.1875,50.0000,7968500,0
20010115,50.0000,50.0000,50.0000,50.0000,0,0
20010116,49.8750,50.5000,47.1250,48.4375,4865500,0
20010117,52.5000,54.1875,47.7500,48.3125,20066000,0
20010118,46.9375,54.4375,46.0000,54.1250,14058700,0
20010119,53.8125,55.1875,51.9375,53.9375,14122500,0
20010122,53.4375,54.1875,51.5000,53.6250,4890900,0
20010123,52.8125,56.8125,52.6250,55.3750,7340800,0
20010124,55.0312,58.6250,54.7500,55.7500,8334500,0
20010125,55.4375,57.2500,51.6250,52.3750,7387600,0
20010126,50.0000,53.3125,49.5000,51.9375,6474600,0
20010129,51.7500,54.0625,49.6250,53.0625,5100700,0
20010130,53.5625,55.1875,51.5000,52.8125,7087000,0
20010131,55.3750,59.2500,54.0000,54.0000,10787100,0
20010201,54.2500,59.0000,53.7500,57.6250,11457100,0
20010202,57.3750,58.7500,53.0000,53.0625,7275000,0
20010205,52.6562,53.9375,50.2500,50.8750,8417200,0
20010206,50.7500,53.6875,49.8125,50.5000,8439100,0
20010207,49.3750,49.8438,46.5000,48.0000,11786900,0
20010208,48.3750,49.8750,47.1250,47.3750,6806500,0
20010209,47.0625,49.2500,46.4375,47.4375,8025100,0
20010212,46.9375,51.0000,46.8750,49.5000,6752100,0
20010213,49.6250,51.2500,47.5625,47.7500,6139900,0
20010214,47.7500,52.0000,47.6250,51.2500,7327700,0
20010215,52.3125,57.2500,52.3125,54.0000,9711800,0
20010216,49.8750,50.3125,47.7500,47.8750,12091900,0
20010219,47.8750,47.8750,47.8750,47.8750,0,0
20010220,48.8750,48.8750,42.1250,42.3750,8689900,0
20010221,43.0625,46.5000,42.5000,43.2500,10572800,0
20010222,44.3125,45.8750,41.7500,42.8750,13914800,0
20010223,42.6875,42.8750,38.7500,41.1250,17581500,0
20010226,41.9375,42.0312,38.8750,41.8750,13253500,0
20010227,40.8125,42.0000,38.6250,38.7500,12206000,0
20010228,38.2500,39.8125,36.1250,38.8750,12345700,0
20010301,37.6875,41.7188,36.1875,41.5000,93900000,0
20010302,41.3125,44.9375,39.9375,42.5000,14631800,0
20010305,42.8125,45.0000,42.3750,43.2500,7528600,0
20010306,45.5937,47.8438,44.7500,45.1875,10465100,0
20010307,45.8750,46.1250,43.0625,45.5625,9036700,0
20010308,45.0000,46.8750,44.1250,45.3125,6416600,0
20010309,44.5000,44.5000,41.3750,42.9375,11183300,0
20010312,41.4688,44.5625,40.3750,41.3125,11432800,0
20010313,42.3125,44.5625,40.5625,44.5000,8154600,0
20010314,42.7500,46.0000,41.8750,44.7500,11855600,0
20010315,46.5625,46.7500,43.5000,43.5625,9932500,0
20010316,42.2500,43.5625,40.6250,41.5625,8226800,0
20010319,42.3750,45.3750,40.9375,44.8125,7486400,0
20010320,45.0000,46.1250,40.8750,41.1250,11016600,0
20010321,41.3750,43.9375,40.3125,41.6250,11866500,0
20010322,42.4375,46.5000,42.0625,46.5000,14400900,0
20010323,47.5000,48.1562,43.6250,46.0000,12249400,0
20010326,45.6875,45.9375,42.2500,43.1250,9471500,0
20010327,42.0600,44.9700,42.0600,42.1300,12333600,0
20010328,41.1300,42.6900,39.5600,39.6300,14169800,0
20010329,39.0600,40.5000,35.7500,36.9400,13883900,0
20010330,36.5000,36.5900,34.0600,35.1300,13686700,0
20010402,35.7500,36.3100,32.3800,33.1300,15643400,0
20010403,33.0000,34.1600,31.0000,31.4400,14281500,0
20010404,30.7500,32.2500,30.0000,30.3800,12799400,0
20010405,32.0000,34.7500,31.3100,33.2500,10378700,0
20010406,32.8100,33.8800,31.0000,32.1900,12429800,0
20010409,32.7100,33.3100,29.0000,31.4100,9558100,0
20010410,31.8500,36.0900,31.0100,35.0300,9441000,0
20010411,40.4000,42.7000,38.0700,39.2000,20681700,0
20010412,38.3300,42.5500,37.9100,41.1400,13257900,0
20010416,38.9900,41.5000,38.2300,40.2400,10914400,0
20010417,37.8700,42.5400,37.8700,40.9200,15667900,0
20010418,44.0000,49.7000,43.5000,46.0200,16316300,0
20010419,45.2000,50.6900,44.7500,50.0000,14217000,0
20010420,49.0000,52.1000,47.2500,48.4400,12477700,0
20010423,46.3100,46.6400,44.0000,44.8000,8366900,0
20010424,44.5600,48.1400,42.8100,43.8900,7803800,0
20010425,43.7200,46.6100,43.4500,46.0100,7811100,0
20010426,46.8300,47.2400,43.3400,43.4100,6387900,0
20010427,44.6300,46.6000,44.0000,45.8300,5085300,0
20010430,46.8400,49.2300,45.5600,47.4700,5932400,0
20010501,46.7500,48.1500,45.2100,48.0000,7634900,0
20010502,49.4400,50.4000,47.8800,48.2700,7899400,0
20010503,47.7300,48.1600,45.0400,45.8100,6276200,0
20010504,44.4200,46.2800,43.4500,44.5000,8058200,0
20010507,45.3900,45.4000,43.9000,44.3200,4729000,0
20010508,45.3000,45.7500,44.3000,45.1500,5144100,0
20010509,43.8700,44.9800,42.6500,43.3000,5719900,0
20010510,46.0600,46.0600,43.4100,43.4100,6074800,0
20010511,43.4100,44.7300,42.9100,43.1700,3545000,0
20010514,42.8100,43.0000,41.2600,41.8800,5443800,0
20010515,42.0100,44.4600,41.5200,41.9700,5447300,0
20010516,41.8000,45.0900,41.4500,44.1800,7348800,0
20010517,44.6500,45.4500,43.7500,44.9900,5951700,0
20010518,44.6000,46.4500,44.3100,45.3100,5075000,0
20010521,45.3600,50.0000,45.0500,49.7100,7685000,0
20010522,49.9000,50.9500,48.7500,49.2100,7420100,0
20010523,48.2500,48.2900,45.2700,45.4500,6872200,0
20010524,45.4600,45.5300,43.0200,44.8300,7917200,0
20010525,45.2000,45.7900,44.5300,45.4900,6034700,0
20010528,45.4900,45.4900,45.4900,45.4900,0,0
20010529,44.9000,45.3000,43.2000,43.9000,5877400,0
20010530,42.6900,42.6900,40.3500,41.2400,10386900,0
20010531,40.9600,42.0300,40.4600,41.2500,5423100,0
20010601,41.8900,42.0600,40.2800,41.8200,4895300,0
20010604,41.9600,42.1000,40.6400,41.5900,4414300,0
20010605,43.5400,46.5100,43.5000,45.6100,9501800,0
20010606,45.5900,46.9400,44.5000,45.2200,5913600,0
20010607,44.7200,49.5200,44.7000,49.3800,8522800,0
20010608,48.9100,49.1200,46.0000,46.4100,5243600,0
20010611,46.4000,46.4500,44.3700,44.7000,3563800,0
20010612,43.9000,45.6000,42.4400,44.6100,6252900,0
