DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.1250,13.3334,12.5834,13.0000,8691000,0
20010103,12.9584,13.0000,11.8541,12.3334,13911000,0
20010104,12.0834,12.3125,11.0834,11.5416,7125000,0
20010105,11.6666,11.7500,11.5416,11.6666,7845000,0
20010108,11.5625,12.1459,11.4584,12.0209,951600,0
20010109,11.9166,11.9166,11.5000,11.6666,4131000,0
20010110,11.5000,11.6666,11.4166,11.5209,8889000,0
20010111,11.4166,11.6666,11.2709,11.2709,841800,0
20010112,11.3334,11.3334,10.8334,11.2916,3781200,0
20010115,11.2916,11.2916,11.2916,11.2916,0,0
20010116,11.4166,11.5104,11.2500,11.3646,4767000,0
20010117,11.6250,11.7709,11.3334,11.5000,7161000,0
20010118,11.6771,11.7500,11.4584,11.7084,831000,0
20010119,11.5834,12.0416,11.4166,11.8334,1584600,0
20010122,12.0416,12.2084,11.7291,12.1250,7113000,0
20010123,12.0416,12.1250,11.8750,11.9166,1137000,0
20010124,12.0000,12.1666,11.5834,11.7500,159000000,0
20010125,11.6666,11.8750,11.6250,11.7709,511800,0
20010126,11.8334,12.3750,11.4166,12.1563,6825000,0
20010129,12.3750,12.3750,11.7500,12.0000,10035000,0
20010130,11.8750,12.2500,11.7709,12.0104,8421000,0
20010131,11.9166,12.2084,11.4584,11.5209,611400,0
20010201,11.4584,12.1250,11.4584,11.8750,12411000,0
20010202,11.7084,12.1666,11.6250,11.8646,3837000,0
20010205,12.1666,12.4166,11.6666,12.0000,7437000,0
20010206,12.0000,12.1250,11.8750,11.9166,4695000,0
20010207,11.8334,12.1250,11.6250,12.1041,1191600,0
20010208,12.0416,12.1250,12.0000,12.0625,236400,0
20010209,12.1250,12.2084,12.0000,12.1875,621600,0
20010212,12.1250,12.5000,12.0416,12.5000,4755000,0
20010213,12.5209,12.8125,12.5209,12.5938,340800,0
20010214,12.6459,12.7291,12.5834,12.7084,703200,0
20010215,12.7084,12.9584,12.6666,12.8750,4761000,0
20010216,12.5834,12.8959,12.4791,12.6666,3873000,0
20010219,12.6666,12.6666,12.6666,12.6666,0,0
20010220,12.4584,12.7500,12.4166,12.7500,394200,0
20010221,12.5416,12.7084,12.5000,12.7084,4575000,0
20010222,12.6666,12.7291,11.9166,12.4375,649200,0
20010223,12.2084,12.5209,12.1041,12.5000,638400,0
20010226,12.2500,12.6666,12.2500,12.6041,7011000,0
20010227,12.5416,12.5416,12.2500,12.3959,3981000,0
20010228,12.5000,12.5416,12.1666,12.5416,5277000,0
20010301,12.1041,12.5416,12.0625,12.5209,398400,0
20010302,12.4791,12.7500,12.4166,12.7084,794400,0
20010305,12.7500,12.8750,12.5209,12.7709,2415000,0
20010306,12.6666,13.0834,12.5834,13.0209,439200,0
20010307,12.8750,13.0625,12.6459,12.6666,4227000,0
20010308,12.7396,12.7916,12.4166,12.6666,6351000,0
20010309,12.5416,12.6666,12.3334,12.4584,4545000,0
20010312,12.4166,12.6041,12.2916,12.4791,495000,0
20010313,12.4166,12.6666,12.4166,12.5000,6741000,0
20010314,12.2291,12.5834,12.1563,12.3125,1052400,0
20010315,12.3125,12.5834,11.9791,12.1666,747600,0
20010316,12.2084,12.3334,12.0000,12.0416,673800,0
20010319,12.0625,12.6459,11.8334,12.1666,3999000,0
