DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20111102,27.40,27.40,25.79,26.62,2476685,0
20111103,26.94,27.07,26.38,26.39,1615000,0
20111104,26.17,26.59,24.88,25.19,1923266,0
20111107,24.91,25.48,24.37,24.60,2703443,0
20111108,25.10,25.34,24.76,24.94,2024426,0
20111109,24.35,25.00,23.84,23.89,1570806,0
20111110,24.48,24.71,23.52,23.65,1165905,0
20111111,23.88,24.09,23.63,23.79,1266127,0
20111114,23.58,24.10,23.49,23.93,1338952,0
20111115,23.94,24.36,23.82,23.99,1657666,0
20111116,23.95,24.60,23.78,24.12,1804502,0
20111117,24.00,24.19,23.66,23.85,1279111,0
20111118,23.88,24.14,23.72,23.93,1426202,0
20111121,23.70,23.81,23.34,23.62,1282010,0
20111122,25.02,26.14,22.67,23.63,2126367,0
20111123,23.27,23.75,22.88,23.68,1009639,0
20111125,23.45,23.45,22.88,23.00,991092,0
20111128,23.66,24.18,23.14,23.49,1567249,0
20111129,23.51,23.60,23.17,23.27,1222452,0
20111130,24.06,24.19,23.33,23.90,2320784,0
20111201,23.81,24.36,23.65,24.27,1046646,0
20111202,25.48,25.48,24.22,24.25,1208825,0
20111205,24.57,25.15,24.41,25.09,930821,0
20111206,25.02,25.07,24.51,24.83,662703,0
20111207,24.72,24.83,23.86,24.57,951186,0
20111208,24.45,24.55,23.80,23.88,938618,0
20111209,24.07,24.46,23.96,24.35,549757,0
20111212,23.95,24.19,23.24,23.92,1213318,0
20111213,24.02,24.45,23.71,23.85,1652724,0
20111214,23.60,23.60,22.93,23.41,1735951,0
20111215,23.55,24.06,23.44,23.92,1074896,0
20111216,24.14,24.94,24.01,24.67,2926928,0
20111219,24.67,24.85,24.15,24.25,1107108,0
20111220,24.59,24.72,23.96,24.31,1189902,0
20111221,24.45,25.03,24.02,24.92,2177306,0
20111222,25.07,25.65,24.80,24.83,971020,0
20111223,24.83,25.16,24.70,24.91,574944,0
20111227,24.84,25.05,24.47,25.05,664335,0
20111228,25.11,25.76,25.11,25.56,917655,0
20111229,25.67,26.46,25.50,25.95,3975152,0
20111230,25.99,25.99,25.14,25.69,1169701,0
20120103,26.02,26.43,25.07,25.14,1059026,0
20120104,25.07,26.07,24.84,25.97,1391847,0
20120105,25.78,25.81,24.87,25.60,2270700,0
20120106,25.54,25.62,25.12,25.17,524372,0
20120109,25.16,25.42,24.82,25.27,558658,0
20120110,25.46,25.70,25.25,25.58,1048244,0
20120111,25.46,26.26,25.39,26.06,1066217,0
20120112,26.08,26.14,25.68,25.70,709226,0
20120113,25.45,25.68,25.34,25.63,886123,0
20120117,25.90,26.28,25.59,25.63,465337,0
20120118,25.51,27.04,25.43,26.99,1453670,0
20120119,27.00,27.29,26.44,26.62,838326,0
20120120,26.62,26.68,26.30,26.36,1014818,0
20120123,26.45,26.60,25.56,25.75,842772,0
20120124,25.69,26.21,25.60,26.14,761348,0
20120125,26.04,26.63,25.82,26.60,881776,0
20120126,26.68,26.85,25.76,25.94,849938,0
20120127,25.61,25.98,25.61,25.81,685853,0
20120130,25.65,25.96,25.50,25.92,475232,0
20120131,26.11,26.25,25.65,25.91,792665,0
20120201,26.02,26.85,25.92,26.82,816601,0
20120202,26.86,26.99,26.62,26.65,715174,0
20120203,26.96,27.08,26.57,27.03,719800,0
20120206,26.90,27.12,26.64,26.78,655099,0
20120207,26.70,27.35,26.53,27.22,963738,0
20120208,27.16,27.39,26.80,27.39,737818,0
20120209,27.35,27.40,26.91,27.13,721478,0
20120210,26.96,27.13,26.83,27.07,527246,0
20120213,27.35,27.35,26.83,27.03,638849,0
20120214,26.90,27.21,26.82,26.92,926326,0
20120215,26.97,27.11,26.87,27.00,1071282,0
20120216,27.02,27.32,26.96,27.15,639647,0
20120217,27.26,27.63,27.17,27.59,583461,0
20120221,27.66,28.12,27.51,27.82,753478,0
20120222,27.66,28.06,27.48,27.53,467403,0
20120223,27.52,27.83,27.30,27.78,335842,0
20120224,27.89,27.94,27.24,27.26,827853,0
20120227,27.10,27.40,26.87,27.36,1428987,0
20120228,27.24,27.24,26.12,26.84,3443811,0
20120229,26.76,26.95,25.91,25.98,4345609,0
20120301,26.00,27.32,25.77,26.69,1801321,0
20120302,26.37,26.95,26.37,26.60,1594867,0
20120305,26.60,26.70,26.04,26.22,1339794,0
20120306,25.95,26.02,25.39,25.85,1334109,0
20120307,26.09,26.30,25.74,26.21,933187,0
20120308,26.30,26.70,25.97,26.62,894769,0
20120309,26.57,27.36,26.53,27.25,719491,0
20120312,27.38,27.63,27.26,27.53,879771,0
20120313,27.64,28.44,27.64,28.42,861562,0
20120314,28.41,28.48,28.20,28.36,1183033,0
20120315,28.39,28.84,28.06,28.73,689158,0
20120316,28.74,28.87,28.17,28.19,903039,0
20120319,28.21,28.50,27.88,27.94,796443,0
20120320,27.85,27.92,27.08,27.31,993164,0
20120321,27.30,27.56,27.25,27.33,871973,0
20120322,27.12,27.37,26.98,27.22,665756,0
20120323,27.37,27.37,27.06,27.20,519460,0
20120326,27.37,27.86,27.37,27.85,642094,0
20120327,27.92,28.02,27.61,27.99,601000,0
20120328,27.96,28.11,27.54,27.96,917926,0
20120329,27.81,27.81,27.25,27.66,855474,0
20120330,27.83,27.86,27.40,27.75,1311510,0
20120402,27.71,28.35,27.70,28.32,817040,0
20120403,28.33,28.55,27.93,28.25,1034277,0
20120404,27.91,27.94,27.58,27.80,1070496,0
20120405,27.75,28.23,27.75,27.97,477464,0
20120409,27.47,27.55,27.20,27.36,495403,0
20120410,27.24,27.34,26.58,26.94,909828,0
20120411,27.19,27.30,26.83,27.00,810198,0
20120412,26.91,27.39,26.87,27.32,646459,0
20120413,27.10,27.21,26.79,26.83,492701,0
20120416,27.11,27.30,26.50,26.90,850380,0
20120417,27.29,27.31,26.85,27.20,540528,0
20120418,27.12,27.73,27.04,27.65,1118701,0
20120419,27.61,27.97,26.90,27.10,1061279,0
20120420,27.18,27.64,27.07,27.36,807403,0
20120423,27.06,27.06,26.52,26.89,556403,0
20120424,26.95,27.50,26.90,27.10,518084,0
20120425,27.34,27.81,27.34,27.70,569558,0
20120426,27.64,28.10,27.63,28.10,459040,0
20120427,28.14,28.52,28.14,28.38,642610,0
20120430,28.32,28.32,27.81,27.88,363918,0
20120501,27.91,28.32,27.58,27.66,638983,0
20120502,27.45,27.95,27.40,27.76,834999,0
20120503,27.69,27.72,27.05,27.30,990227,0
20120504,27.30,27.30,26.45,26.45,869979,0
20120507,26.39,26.64,26.13,26.21,995143,0
20120508,26.10,26.44,25.65,26.36,925973,0
20120509,25.91,26.39,25.61,26.13,923465,0
20120510,26.30,26.56,26.05,26.14,701427,0
20120511,26.00,26.47,25.92,26.03,625735,0
20120514,25.83,26.05,25.43,25.43,567173,0
20120515,25.38,25.57,25.17,25.21,565472,0
20120516,25.43,25.76,25.30,25.37,1045305,0
20120517,25.34,25.36,24.42,24.42,1456121,0
20120518,24.42,24.87,24.42,24.67,994753,0
20120521,24.78,25.51,24.69,25.34,1096617,0
20120522,25.47,25.85,25.37,25.59,958068,0
20120523,25.36,25.79,24.83,25.79,1252419,0
20120524,25.94,26.14,25.76,26.14,528777,0
20120525,26.19,26.31,25.61,25.65,677719,0
20120529,25.79,26.34,25.74,25.89,800997,0
20120530,25.46,25.84,25.27,25.45,591896,0
20120531,25.54,25.55,24.97,25.33,1021519,0
20120601,24.71,25.03,24.45,24.48,1379367,0
20120604,24.48,24.55,24.03,24.51,643371,0
20120605,24.38,24.66,23.94,24.58,499542,0
20120606,24.89,25.49,24.89,25.49,553764,0
20120607,26.63,26.63,25.59,25.74,802010,0
20120608,25.71,26.09,25.32,25.92,862268,0
20120611,26.29,26.33,25.45,25.51,816095,0
20120612,25.50,25.67,25.35,25.58,1222697,0
20120613,25.34,25.50,25.07,25.17,891281,0
20120614,25.21,25.25,24.92,25.00,1478348,0
20120615,25.14,25.43,24.92,25.32,3023706,0
20120618,25.21,25.28,24.94,25.13,860856,0
20120619,25.25,25.60,25.05,25.08,1441322,0
20120620,25.03,25.05,24.49,24.72,1123043,0
20120621,25.17,25.45,24.27,24.28,1418578,0
20120622,24.39,24.39,23.89,24.02,1278872,0
20120625,23.70,23.79,23.21,23.61,1097589,0
20120626,23.62,24.07,23.48,23.92,1163853,0
20120627,24.02,24.35,23.85,24.29,1045051,0
20120628,23.60,24.61,23.02,24.59,1942859,0
20120629,25.28,25.51,25.03,25.17,1590715,0
20120702,25.27,25.46,24.90,25.04,708659,0
20120703,24.99,25.68,24.94,25.68,324886,0
20120705,25.55,25.70,25.33,25.53,620040,0
20120706,25.22,25.50,25.15,25.20,433059,0
20120709,25.09,25.25,24.77,25.00,692639,0
20120710,25.09,25.45,24.28,24.36,916138,0
20120711,24.35,24.35,23.30,23.93,1620484,0
20120712,23.71,23.71,23.17,23.18,1070430,0
20120713,23.23,23.85,23.22,23.31,1232546,0
20120716,23.24,23.48,23.00,23.16,990556,0
20120717,23.35,23.68,23.19,23.65,1377699,0
20120718,23.52,24.07,23.52,23.93,684761,0
20120719,23.96,24.16,23.66,24.12,689502,0
20120720,23.93,24.21,23.72,23.79,570816,0
20120723,23.41,24.00,23.31,23.88,660745,0
20120724,23.82,23.95,23.37,23.59,790812,0
20120725,23.72,23.99,23.52,23.91,568737,0
20120726,24.25,24.25,23.69,23.73,1402151,0
20120727,23.92,24.29,23.76,24.20,810636,0
20120730,24.17,24.28,24.01,24.20,626300,0
20120731,24.17,24.22,23.95,23.98,631628,0
20120801,24.06,24.19,23.54,23.90,1667477,0
20120802,23.38,23.71,22.43,23.57,1850800,0
20120803,23.65,24.15,23.65,24.03,1228619,0
20120806,24.11,24.25,23.83,24.13,701857,0
20120807,24.24,24.27,24.08,24.24,678217,0
20120808,24.10,24.23,23.90,24.15,488248,0
20120809,24.21,24.64,24.09,24.47,470647,0
20120810,24.36,24.72,24.26,24.46,627338,0
20120813,24.44,24.67,24.27,24.51,330077,0
20120814,24.67,24.82,23.96,24.06,609345,0
20120815,24.03,24.29,23.94,24.29,475660,0
20120816,24.25,25.06,24.25,24.94,942070,0
20120817,24.95,25.19,24.89,25.14,718662,0
20120820,25.30,25.40,25.06,25.29,710552,0
20120821,25.40,25.71,25.20,25.20,608529,0
20120822,25.10,25.20,24.83,25.02,575595,0
20120823,24.97,25.11,24.53,24.63,630865,0
20120824,24.58,24.72,24.34,24.50,581203,0
20120827,24.67,24.68,24.11,24.14,662901,0
20120828,23.93,24.57,23.93,24.05,517317,0
20120829,24.07,24.15,23.88,24.01,597690,0
20120830,23.88,24.19,23.85,24.09,503073,0
20120831,24.33,24.33,23.93,24.29,1153993,0
20120904,24.23,24.24,23.81,24.00,914953,0
20120905,24.04,24.23,23.91,24.07,1199583,0
20120906,24.31,24.97,24.30,24.97,689350,0
20120907,25.49,25.51,24.87,25.10,627564,0
20120910,24.87,25.00,24.57,24.58,864380,0
20120911,24.63,25.47,24.57,25.38,985362,0
20120912,25.40,25.47,24.82,25.00,788920,0
20120913,25.06,25.45,24.80,25.36,755954,0
20120914,25.38,25.68,25.31,25.57,1722770,0
20120917,25.57,25.59,25.11,25.34,799250,0
20120918,25.26,25.71,25.22,25.71,1182337,0
20120919,25.66,26.00,25.58,25.98,1004454,0
20120920,25.68,25.92,25.25,25.60,1498219,0
20120921,25.70,25.78,25.36,25.44,1292846,0
20120924,25.30,25.58,25.26,25.50,919715,0
20120925,25.55,25.71,25.40,25.41,1661661,0
20120926,25.44,25.53,24.81,24.98,1354947,0
20120927,25.14,25.50,24.97,25.30,944418,0
20120928,25.17,25.34,24.99,25.15,1538172,0
20121001,25.25,25.50,24.84,25.24,1837947,0
20121002,25.29,25.49,25.06,25.25,1068436,0
20121003,25.35,25.35,24.90,25.02,887027,0
20121004,25.15,25.28,24.98,25.15,903763,0
20121005,25.32,25.49,25.03,25.14,716929,0
20121008,25.07,25.14,24.90,25.11,434127,0
20121009,25.12,25.17,24.75,24.79,920069,0
20121010,24.77,24.84,24.47,24.56,717598,0
20121011,24.70,24.78,24.27,24.32,832824,0
20121012,24.59,24.88,24.52,24.61,1001761,0
20121015,24.68,24.83,24.34,24.73,620770,0
20121016,24.83,25.43,24.61,25.37,881274,0
20121017,25.26,25.48,25.01,25.08,814941,0
20121018,24.68,24.72,24.13,24.64,1419602,0
20121019,24.59,24.59,23.90,24.22,1757481,0
20121022,24.22,24.32,23.85,24.29,771361,0
20121023,23.99,24.23,23.79,24.20,1365217,0
