DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.95,5.95,5.73,5.74,0,0
20010103,5.77,6.11,5.75,6.07,38104,0
20010104,6.05,6.27,6.05,6.09,45032,0
20010105,6.09,6.09,5.83,5.89,48308,0
20010108,5.75,5.97,5.75,5.85,0,0
20010109,5.79,5.87,5.77,5.82,24036,0
20010110,5.77,5.95,5.72,5.87,113640,0
20010111,5.77,5.83,5.73,5.74,32956,0
20010112,5.73,5.91,5.67,5.87,40064,0
20010115,5.87,5.87,5.87,5.87,0,0
20010116,5.85,6.13,5.79,6.08,121848,0
20010117,6.03,6.47,6.03,6.31,54228,0
20010118,6.36,6.47,6.27,6.31,89772,0
20010119,6.26,6.27,6.05,6.11,31220,0
20010122,6.11,6.11,6.11,6.11,0,0
20010123,6.09,6.27,6.07,6.25,23168,0
20010124,6.19,6.23,6.05,6.07,31516,0
20010125,5.98,6.10,5.98,6.03,24956,0
20010126,6.05,6.26,6.05,6.21,24012,0
20010129,6.57,6.67,6.29,6.34,2558400,0
20010130,6.31,6.85,6.31,6.83,0,0
20010131,6.46,6.52,6.44,6.48,3150400,0
20010201,6.48,6.51,6.25,6.46,5338000,0
20010202,6.43,6.43,6.29,6.33,0,0
20010205,6.29,6.30,6.21,6.24,0,0
20010206,6.26,6.51,6.23,6.45,4273600,0
20010207,6.46,6.49,6.39,6.46,0,0
20010208,6.42,6.45,6.32,6.42,14217200,0
20010209,6.31,6.42,6.28,6.30,2586000,0
20010212,6.30,6.33,6.28,6.31,6472800,0
20010213,6.29,6.56,6.24,6.48,4473600,0
20010214,6.46,6.46,6.24,6.28,26644400,0
20010215,6.38,6.49,6.30,6.34,5850800,0
20010216,6.34,6.77,6.32,6.65,18389600,0
20010219,6.65,6.65,6.65,6.65,0,0
20010220,6.65,6.92,6.64,6.89,4216400,0
20010221,6.87,6.87,6.61,6.66,23877200,0
20010222,6.65,6.73,6.58,6.67,13808800,0
20010223,6.62,6.67,6.57,6.63,2216400,0
20010226,6.63,6.72,6.62,6.69,2386400,0
20010227,6.73,6.91,6.73,6.87,2444000,0
20010228,6.87,6.96,6.86,6.92,3228400,0
20010301,6.83,7.10,6.83,7.01,5124000,0
20010302,7.01,7.01,6.89,6.92,1798000,0
20010305,6.96,6.97,6.77,6.87,3183200,0
20010306,6.80,6.83,6.72,6.76,27140800,0
20010307,6.67,6.86,6.67,6.84,17106400,0
20010308,6.82,7.21,6.82,7.15,4974000,0
20010309,7.13,7.23,6.99,7.18,4356800,0
20010312,7.16,7.16,6.97,6.97,2822000,0
20010313,6.93,6.93,6.58,6.77,3918400,0
20010314,6.65,6.65,6.54,6.60,2134800,0
20010315,6.60,6.60,6.49,6.51,37802000,0
20010316,6.36,6.49,6.36,6.46,5071200,0
20010319,6.46,6.69,6.46,6.66,14054800,0
20010320,6.67,6.71,6.62,6.64,46200800,0
20010321,6.65,6.76,6.64,6.68,10915600,0
20010322,6.65,6.66,6.46,6.48,4625600,0
20010323,6.44,6.44,6.36,6.36,3003600,0
20010326,6.44,6.44,6.36,6.37,10089600,0
20010327,6.37,6.37,6.16,6.31,31234400,0
20010328,6.36,6.55,6.33,6.53,3610400,0
20010329,6.47,6.88,6.47,6.75,14726800,0
20010330,6.71,6.88,6.62,6.87,2927600,0
20010402,6.85,6.97,6.83,6.87,1746400,0
20010403,6.87,6.87,6.61,6.69,2396400,0
20010404,6.66,6.80,6.62,6.80,1946400,0
20010405,6.80,6.87,6.77,6.85,1751600,0
20010406,6.83,6.83,6.56,6.67,2177600,0
20010409,6.78,6.91,6.77,6.80,2504000,0
20010410,6.77,6.85,6.61,6.79,17342000,0
20010411,6.69,6.77,6.67,6.68,9780400,0
20010412,6.68,6.74,6.62,6.73,4772000,0
20010416,6.73,6.88,6.72,6.84,1868800,0
20010417,6.83,6.87,6.80,6.82,13268400,0
20010418,6.87,7.05,6.83,7.02,1953600,0
20010419,7.14,7.19,7.03,7.19,3505600,0
20010420,7.18,7.33,7.12,7.19,4426400,0
20010423,7.28,7.43,7.24,7.37,41857200,0
20010424,7.48,7.59,7.46,7.51,4088800,0
20010425,7.54,7.73,7.50,7.71,4331600,0
20010426,7.71,7.84,7.69,7.82,3598000,0
20010427,7.82,7.90,7.77,7.86,22267600,0
20010430,7.83,8.08,7.82,8.05,3375200,0
20010501,8.00,8.14,7.84,8.05,6963600,0
20010502,7.87,7.87,7.33,7.59,29367200,0
20010503,7.48,7.48,7.25,7.38,4801600,0
20010504,7.36,7.55,7.30,7.54,13480800,0
20010507,7.51,7.55,7.41,7.49,1645200,0
20010508,7.45,7.51,7.42,7.45,2416000,0
20010509,7.38,7.47,7.38,7.42,1414800,0
20010510,7.55,7.55,7.41,7.45,26546800,0
20010511,7.49,7.57,7.44,7.56,1765200,0
20010514,7.64,7.69,7.51,7.59,1862800,0
20010515,7.59,7.66,7.59,7.63,9404400,0
20010516,7.56,7.62,7.50,7.57,2463200,0
20010517,7.55,7.61,7.41,7.55,2816000,0
20010518,7.51,7.72,7.51,7.72,2078800,0
20010521,7.72,7.73,7.64,7.71,16989200,0
20010522,7.73,7.85,7.72,7.81,2161600,0
20010523,7.81,7.81,7.74,7.78,1689600,0
20010524,7.82,8.05,7.80,8.02,46151600,0
20010525,8.05,8.15,8.05,8.08,18624800,0
20010528,8.08,8.08,8.08,8.08,0,0
20010529,8.00,8.18,7.96,8.18,17766400,0
20010530,8.27,8.38,8.25,8.32,4016400,0
20010531,8.19,8.33,8.05,8.22,23356800,0
20010601,8.22,8.38,8.20,8.32,17814800,0
20010604,8.31,8.32,8.23,8.28,16966400,0
20010605,8.25,8.25,8.11,8.20,2664400,0
20010606,8.20,8.27,7.96,7.99,22758000,0
20010607,7.97,8.20,7.97,8.13,21406400,0
20010608,8.25,8.28,8.09,8.23,1910800,0
20010611,8.31,8.41,8.31,8.31,18352800,0
20010612,8.18,8.58,8.17,8.56,1717600,0
20010613,8.56,8.77,8.55,8.56,2830400,0
