DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,61.7813,62.0000,59.2500,59.9375,428000,0
20010103,59.4375,62.0000,58.6250,61.9375,493800,0
20010104,61.6875,64.0000,60.0000,60.6875,747100,0
20010105,60.7500,60.8750,58.0000,60.0000,993300,0
20010108,59.6562,60.1250,59.0000,60.1250,390700,0
20010109,60.0000,60.3750,58.8125,59.5000,579900,0
20010110,59.3750,61.0000,59.0625,60.7500,404700,0
20010111,60.8750,60.8750,59.6875,60.3750,476200,0
20010112,60.3125,60.5000,58.6250,58.6875,554500,0
20010115,58.6875,58.6875,58.6875,58.6875,0,0
20010116,58.4375,60.6250,58.3750,60.3750,687300,0
20010117,60.5625,61.0000,59.5937,59.5937,603900,0
20010118,59.9375,60.0000,58.1250,58.6250,238400,0
20010119,59.0625,59.0625,57.1875,57.7500,293500,0
20010122,57.7500,58.7500,57.6875,58.6875,375700,0
20010123,58.6875,59.5000,58.5625,59.1250,261900,0
20010124,59.3750,59.7500,58.7500,58.8125,187100,0
20010125,57.9375,58.8125,56.7500,57.1875,629600,0
20010126,57.3438,57.3750,56.5625,57.0000,821100,0
20010129,56.9688,58.0625,56.6250,56.7500,487100,0
20010130,56.9375,57.1250,55.3750,56.0625,466200,0
20010131,56.0937,56.3750,55.1250,55.8750,399400,0
20010201,55.8750,56.1250,55.4375,56.0000,246400,0
20010202,55.8125,57.0000,55.5625,56.0000,188000,0
20010205,56.0625,56.7500,55.6250,56.5000,189200,0
20010206,56.7500,56.7500,55.5000,56.1875,332100,0
20010207,56.0000,56.8438,55.8750,56.6875,236300,0
20010208,56.6875,57.1875,56.1250,56.8750,179300,0
20010209,56.8750,57.8750,56.7500,57.4375,205300,0
20010212,57.3438,58.5000,57.2500,58.3125,291500,0
20010213,58.2500,58.6250,58.0625,58.3125,208600,0
20010214,58.9375,59.1250,58.5625,58.6875,275900,0
20010215,58.6250,58.6250,57.8750,58.0625,384800,0
20010216,57.5625,57.7500,56.8750,57.1250,342900,0
20010219,57.1250,57.1250,57.1250,57.1250,0,0
20010220,57.0312,57.1250,56.0000,56.8125,210100,0
20010221,56.6250,56.8125,55.1250,55.3750,413400,0
20010222,55.5000,55.7500,53.5625,55.0937,229200,0
20010223,54.8750,55.3125,53.8750,55.1250,243700,0
20010226,55.1250,56.8125,55.1250,56.5000,480500,0
20010227,56.5625,57.7500,56.3125,57.0000,303800,0
20010228,57.2500,57.7500,56.4375,57.4375,312100,0
20010301,57.2500,57.8125,56.3125,57.5625,285900,0
20010302,57.5625,59.5625,57.5000,58.5000,475900,0
20010305,58.6875,59.2500,57.3750,58.0000,298100,0
20010306,58.0312,58.7500,57.0625,57.4375,158800,0
20010307,57.6250,57.6250,56.6875,57.1250,256800,0
20010308,57.0312,57.1250,55.5000,56.6250,338000,0
20010309,56.6250,56.9375,55.3750,55.3750,197300,0
20010312,55.5625,55.5625,53.7500,54.0000,256800,0
20010313,53.7500,54.7500,53.4375,54.7500,475100,0
20010314,53.7500,54.0000,52.6875,52.8750,437800,0
20010315,53.7500,54.0000,52.9375,53.1875,422800,0
20010316,52.5625,53.0625,51.2500,51.4375,820900,0
20010319,51.4375,51.8750,50.3750,51.6875,408600,0
20010320,51.5625,53.1875,51.2500,51.2500,431000,0
20010321,50.8125,50.8750,48.5000,48.7500,417000,0
20010322,48.6875,49.0000,45.7500,46.9375,662200,0
20010323,47.2500,50.6250,47.2500,49.2500,473200,0
20010326,51.5400,51.5600,51.0700,51.2000,671800,0
20010327,51.2200,53.1500,51.0300,53.0000,421500,0
20010328,52.5300,52.5300,51.9600,52.2600,412100,0
20010329,51.7000,52.4700,51.7000,51.7900,333100,0
20010330,51.8000,52.9000,51.7000,52.0900,664000,0
20010402,52.2100,52.6900,52.0000,52.0300,703900,0
20010403,52.0000,52.0500,50.6300,51.9900,737300,0
20010404,52.0100,52.1100,50.2600,50.4200,844100,0
20010405,50.5400,52.1000,50.5400,51.9900,269400,0
20010406,51.6100,52.5000,50.8000,51.0800,335400,0
20010409,51.1900,51.9300,51.0000,51.3500,141700,0
20010410,51.6500,52.3000,51.4500,52.1900,620600,0
20010411,52.1000,53.7500,52.1000,53.0300,555500,0
20010412,53.0000,53.2000,52.2800,53.2000,148100,0
