DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20130204,31.09,31.99,30.76,31.02,7695943,0
20130205,31.25,31.98,30.85,31.04,5014316,0
20130206,30.98,31.43,30.75,31.03,2126101,0
20130207,31.00,32.73,31.00,32.00,3800770,0
20130208,32.31,33.48,32.30,33.05,2599232,0
20130211,33.06,33.50,32.88,33.26,1487115,0
20130212,33.40,34.00,33.15,33.74,1637279,0
20130213,33.80,33.80,33.00,33.55,1269625,0
20130214,33.39,33.45,32.77,33.27,2954424,0
20130215,33.31,34.09,33.00,33.98,5415665,0
20130219,34.02,34.07,33.57,33.84,1206819,0
20130220,33.84,33.88,32.60,32.72,1843361,0
20130221,32.50,32.80,31.86,32.56,3242213,0
20130222,32.78,32.93,32.50,32.59,954407,0
20130225,32.68,32.69,32.00,32.07,818858,0
20130226,32.05,32.40,31.99,32.04,1048603,0
20130227,32.00,33.05,32.00,32.32,1343563,0
20130228,32.56,33.55,32.56,33.45,2991401,0
20130301,33.36,34.70,33.15,34.60,2333917,0
20130304,34.80,34.89,34.24,34.35,865348,0
20130305,34.41,34.48,33.75,34.29,1413387,0
20130306,34.34,34.38,33.85,33.85,802112,0
20130307,33.95,34.68,33.56,34.56,1319992,0
20130308,34.03,34.69,33.80,34.09,1541064,0
20130311,33.97,34.26,33.25,34.18,1729408,0
20130312,34.12,34.24,33.60,33.82,1557570,0
20130313,33.90,34.06,33.08,34.00,2240952,0
20130314,34.33,35.42,34.30,34.64,1865195,0
20130315,34.70,34.84,33.31,33.44,2692330,0
20130318,32.75,32.94,32.64,32.84,2371964,0
20130319,32.80,33.42,32.33,32.80,1336276,0
20130320,32.90,33.54,32.50,33.51,1944682,0
20130321,33.90,34.00,33.29,33.47,514497,0
20130322,33.55,33.75,32.74,33.12,763527,0
20130325,33.48,33.48,32.25,32.46,1324563,0
20130326,32.73,32.79,32.00,32.51,1396456,0
20130327,32.38,32.89,32.06,32.74,1896725,0
20130328,32.85,33.50,32.63,33.40,7435237,0
20130401,33.42,33.59,32.43,32.59,1466313,0
20130402,32.66,33.13,32.46,32.55,712189,0
20130403,32.67,32.98,32.36,32.53,1409612,0
20130404,32.41,32.50,31.71,31.84,1946314,0
20130405,31.73,32.07,30.57,31.96,3963480,0
20130408,31.95,32.98,31.77,32.92,1965108,0
20130409,33.05,33.59,32.56,33.44,2006864,0
20130410,33.76,33.76,32.98,33.15,969452,0
20130411,33.22,33.24,32.87,33.16,1826538,0
20130412,32.97,33.35,32.60,33.23,723441,0
20130415,33.07,33.23,32.17,32.24,839485,0
20130416,32.36,33.37,32.29,33.21,2271324,0
20130417,32.98,33.23,32.17,32.89,3140912,0
20130418,33.10,33.10,32.38,32.47,799890,0
20130419,32.71,32.79,31.81,32.71,2159266,0
20130422,32.90,32.90,32.22,32.66,922060,0
20130423,32.78,32.96,31.50,31.70,2736343,0
20130424,31.63,31.69,30.42,30.62,4149243,0
20130425,30.93,31.99,30.75,31.55,1520556,0
20130426,31.61,32.68,31.61,32.64,1421827,0
20130429,32.95,32.95,32.17,32.66,1711593,0
20130430,33.68,34.74,32.93,33.02,3390321,0
20130501,32.97,33.51,32.66,33.39,1394436,0
20130502,33.38,33.87,33.11,33.28,696250,0
20130503,33.62,33.64,33.00,33.21,998866,0
20130506,33.35,33.49,32.75,32.94,503640,0
20130507,33.08,33.08,32.29,32.88,700677,0
20130508,33.00,33.44,32.72,33.26,1034104,0
20130509,33.31,33.67,33.28,33.55,977130,0
20130510,33.54,33.61,32.97,33.18,534009,0
20130513,33.06,33.49,32.75,33.04,438632,0
20130514,33.13,33.75,32.85,33.08,872233,0
20130515,32.94,33.06,32.56,32.79,563406,0
20130516,33.48,33.80,33.16,33.39,1279483,0
20130517,33.35,33.90,33.19,33.90,962449,0
20130520,33.90,34.00,33.60,33.71,735671,0
20130521,33.57,33.74,32.99,33.04,1692350,0
20130522,32.55,33.99,31.75,33.55,26011096,0
20130523,33.25,33.80,32.71,32.84,9008453,0
20130524,33.20,33.62,32.53,33.46,5911577,0
20130528,33.80,34.28,33.59,34.26,4960455,0
20130529,34.25,34.25,32.88,32.95,3095633,0
20130530,32.77,33.10,32.10,32.24,3934038,0
20130531,32.30,32.34,31.80,32.00,6512338,0
20130603,32.01,32.84,31.31,32.75,3398831,0
20130604,32.83,32.99,31.84,32.40,4484285,0
20130605,32.42,32.42,31.75,32.17,3521856,0
20130606,32.17,32.31,31.54,32.08,2919005,0
20130607,32.26,32.33,31.21,31.50,5134189,0
20130610,31.83,32.11,31.47,32.01,4992132,0
20130611,31.70,32.02,31.40,31.70,6367498,0
20130612,31.95,32.03,31.40,31.53,7648422,0
20130613,31.47,31.55,30.87,31.17,5853198,0
20130614,31.00,31.26,30.61,30.80,10665378,0
20130617,31.40,31.76,30.71,30.96,26785572,0
20130618,31.33,31.39,30.95,31.18,24286257,0
20130619,31.06,31.24,30.82,31.00,23483382,0
20130620,30.89,31.04,30.05,30.19,14938683,0
20130621,30.55,31.09,30.34,30.60,33694457,0
20130624,30.15,30.50,29.40,30.38,40765925,0
20130625,30.80,31.62,30.50,31.49,13511685,0
20130626,31.80,31.90,30.92,30.97,23788098,0
20130627,31.46,31.51,30.79,30.87,16734836,0
20130628,30.90,31.39,30.54,30.89,19419177,0
20130701,31.02,31.06,30.13,30.61,17601074,0
20130702,30.22,30.83,29.62,29.70,11160918,0
20130703,29.67,29.74,28.97,29.28,12931571,0
20130705,29.81,30.18,29.78,30.17,10820723,0
20130708,30.45,30.97,30.22,30.94,15682364,0
20130709,31.12,31.40,30.94,30.98,8713674,0
20130710,31.08,31.24,30.47,31.04,6506188,0
20130711,31.43,31.45,30.84,30.92,4488711,0
20130712,31.02,31.38,31.01,31.35,5431095,0
20130715,31.31,31.65,31.10,31.58,4202558,0
20130716,31.56,31.65,31.10,31.16,4301147,0
20130717,31.23,31.23,30.85,30.99,3546553,0
20130718,31.11,31.20,30.77,30.82,4058764,0
20130719,30.79,30.80,30.12,30.24,8948546,0
20130722,30.36,30.59,30.16,30.28,4255736,0
20130723,30.41,30.44,29.76,30.06,5091944,0
20130724,30.13,30.55,29.66,29.90,4890004,0
20130725,29.88,30.55,29.71,30.52,5474030,0
20130726,30.40,30.53,30.00,30.43,5051867,0
20130729,30.27,30.54,29.98,30.09,4123553,0
20130730,30.15,30.32,29.89,30.04,4630067,0
20130731,30.00,30.19,29.80,29.81,5382355,0
20130801,29.97,30.21,29.46,30.16,8108412,0
20130802,30.12,30.96,29.91,30.94,5187489,0
20130805,30.47,31.39,30.47,31.25,7283523,0
20130806,31.68,32.50,31.09,31.13,12471427,0
20130807,31.10,31.40,30.65,31.24,5921384,0
20130808,31.40,31.83,31.18,31.24,7161858,0
20130809,31.14,31.24,30.78,30.91,2784105,0
20130812,30.68,30.99,30.04,30.33,5793669,0
20130813,30.50,30.75,30.20,30.45,3116215,0
20130814,30.50,30.63,30.08,30.14,3858235,0
20130815,29.94,30.16,29.79,30.02,5818910,0
20130816,29.94,30.20,29.75,30.00,3678834,0
20130819,29.91,30.30,29.84,29.87,2487689,0
20130820,29.86,30.41,29.71,30.23,3804100,0
20130821,30.07,30.19,29.60,29.85,3531428,0
20130822,29.83,30.01,29.57,29.87,3030848,0
20130823,29.88,30.23,29.64,30.20,2536299,0
20130826,30.16,30.16,29.65,29.80,7179862,0
20130827,29.53,29.67,29.00,29.20,8106184,0
20130828,29.07,29.83,28.81,29.57,7067390,0
20130829,29.43,29.61,29.22,29.47,1590580,0
20130830,29.45,29.50,29.04,29.15,2296295,0
20130903,29.46,29.77,29.19,29.43,2052149,0
20130904,29.45,29.71,29.35,29.69,3187757,0
20130905,29.72,30.49,29.66,30.33,5688117,0
20130906,30.45,30.95,29.97,30.61,5245917,0
20130909,30.64,31.00,30.35,30.59,2723837,0
20130910,31.33,31.82,30.86,30.95,5024358,0
20130911,31.36,31.46,30.89,31.33,6367914,0
20130912,31.36,31.39,30.82,31.08,2881462,0
20130913,31.07,31.30,30.91,31.05,3087304,0
20130916,31.44,32.18,31.39,31.85,7070796,0
20130917,32.01,32.51,31.98,32.38,4616280,0
20130918,32.28,32.73,31.96,32.72,3913180,0
20130919,32.80,32.90,32.15,32.51,4128746,0
20130920,32.68,32.75,31.87,32.19,11396912,0
20130923,32.19,32.19,31.35,31.58,3322080,0
20130924,31.62,31.67,31.21,31.48,2214403,0
20130925,31.48,31.59,31.03,31.06,3165797,0
20130926,31.22,31.64,31.20,31.58,2289127,0
20130927,31.56,31.60,31.05,31.15,2391036,0
20130930,31.10,31.32,30.93,31.12,2890360,0
20131001,31.12,32.04,31.01,31.78,3263593,0
20131002,31.67,32.13,31.43,32.00,3071508,0
20131003,31.79,31.82,31.34,31.48,2520456,0
20131004,32.29,32.56,31.64,32.05,5795504,0
20131007,31.70,32.38,31.59,31.93,4420227,0
20131008,31.86,32.09,31.46,31.53,4152484,0
20131009,31.73,31.73,31.08,31.43,3379940,0
20131010,31.78,32.36,31.47,32.36,4397614,0
20131011,32.44,32.77,32.03,32.40,6164770,0
20131014,32.03,32.46,31.86,32.29,2527757,0
20131015,32.22,32.42,32.00,32.07,2326575,0
20131016,32.26,32.97,32.26,32.89,3634817,0
20131017,32.83,33.19,32.77,33.03,2891468,0
20131018,33.16,33.30,32.85,33.22,3979447,0
20131021,33.16,33.34,32.62,32.77,2678231,0
20131022,32.92,33.00,32.26,32.51,3084570,0
20131023,32.48,32.90,32.48,32.60,2817761,0
20131024,32.75,32.89,32.50,32.74,2351477,0
20131025,32.80,32.80,32.35,32.47,1489764,0
20131028,32.53,32.53,31.94,31.98,3636364,0
20131029,31.99,32.30,31.92,32.03,2912021,0
20131030,32.17,32.61,31.95,32.06,4398642,0
20131031,32.00,32.28,31.66,31.66,4241692,0
20131101,31.77,31.93,31.38,31.84,5890546,0
20131104,31.84,31.99,31.52,31.93,3838920,0
20131105,31.90,31.97,31.26,31.69,6642202,0
20131106,32.08,32.18,30.89,31.27,6723340,0
20131107,31.38,31.53,30.86,31.04,5204590,0
20131108,31.17,31.63,30.96,31.59,4664000,0
20131111,31.70,32.00,31.62,31.77,3078718,0
20131112,31.75,31.98,31.45,31.84,3204215,0
20131113,31.65,31.81,31.28,31.72,4179762,0
20131114,31.93,32.18,31.48,31.68,2945035,0
20131115,31.69,31.87,31.41,31.81,3601726,0
20131118,31.84,31.96,31.46,31.62,2927512,0
20131119,31.66,31.95,31.20,31.42,2571776,0
20131120,31.42,31.82,31.21,31.37,2374419,0
20131121,31.49,31.72,31.32,31.58,4425171,0
20131122,31.64,31.73,31.25,31.36,3850494,0
20131125,31.41,31.42,31.06,31.29,4719830,0
20131126,31.46,31.92,31.39,31.42,4398447,0
20131127,31.45,31.55,31.10,31.28,1783246,0
20131129,31.29,31.45,31.08,31.15,1058601,0
20131202,31.31,31.60,31.09,31.15,4065226,0
20131203,31.13,31.24,30.89,31.09,5514818,0
20131204,31.07,31.33,30.96,31.21,3196403,0
20131205,31.20,31.70,31.00,31.44,6498010,0
20131206,31.62,31.69,31.30,31.54,3263672,0
20131209,31.56,31.94,31.39,31.75,3073774,0
20131210,31.62,31.62,31.20,31.36,2941864,0
20131211,31.43,31.54,30.76,31.09,4439435,0
20131212,30.98,31.41,30.98,31.17,3603540,0
20131213,31.31,31.89,31.23,31.58,3286505,0
20131216,31.67,32.00,31.55,31.70,2635565,0
20131217,31.91,31.97,31.32,31.64,2630326,0
20131218,31.61,32.20,31.30,32.17,3684403,0
20131219,32.14,32.37,31.66,32.31,3447344,0
20131220,32.33,32.69,32.26,32.38,3680956,0
20131223,32.61,32.64,32.16,32.37,2219816,0
20131224,32.30,32.48,32.07,32.37,624309,0
20131226,32.50,32.78,32.40,32.59,1504703,0
20131227,32.69,32.77,32.47,32.67,1322360,0
20131230,32.74,32.84,32.54,32.67,1803579,0
20131231,32.80,32.81,32.46,32.69,2270418,0
20140102,32.53,32.66,32.11,32.36,2576112,0
20140103,32.34,32.50,32.02,32.05,2524947,0
20140106,32.30,32.73,31.85,31.98,2763350,0
20140107,32.19,32.45,31.95,32.10,2338176,0
20140108,31.71,32.09,31.51,31.74,3965882,0
20140109,31.83,31.97,31.53,31.96,2303278,0
20140110,31.90,32.56,31.86,32.54,2999893,0
20140113,32.39,32.42,31.69,31.78,4042797,0
20140114,31.94,31.99,31.65,31.85,2334520,0
20140115,31.89,31.96,31.68,31.81,2916267,0
20140116,31.85,32.08,31.71,32.00,1960434,0
20140117,31.91,32.09,31.63,31.73,2502473,0
20140121,31.98,32.09,31.26,31.27,5681930,0
20140122,31.42,31.67,31.26,31.46,5693616,0
20140123,31.46,31.83,31.40,31.74,3263824,0
20140124,31.51,31.67,31.30,31.46,4532074,0
20140127,31.53,31.62,31.26,31.36,6933992,0
20140128,31.32,31.62,31.19,31.44,4203385,0
20140129,31.27,31.45,30.72,30.78,3152006,0
20140130,31.07,31.33,30.59,30.67,4700390,0
20140131,30.39,30.54,30.07,30.36,5302177,0
20140203,30.40,30.55,30.14,30.37,6569396,0
20140204,30.56,30.75,30.14,30.23,3657480,0
20140205,30.10,30.43,29.95,30.13,3758730,0
20140206,30.09,30.24,30.00,30.05,3327118,0
20140207,30.11,30.80,30.11,30.70,4134225,0
20140210,30.78,31.53,30.78,31.14,6339692,0
20140211,29.63,29.75,28.77,29.13,29137996,0
20140212,29.20,30.13,29.13,30.00,14394220,0
20140213,29.93,30.17,29.56,29.67,7891632,0
20140214,29.62,30.00,29.55,29.88,5579063,0
20140218,29.91,30.59,29.88,30.27,6087798,0
20140219,30.04,30.16,29.63,29.75,6169876,0
20140220,29.74,30.17,29.64,29.97,4699291,0
20140221,29.99,30.03,29.53,29.61,3235700,0
20140224,29.78,30.07,29.62,29.70,3106683,0
20140225,29.56,30.38,29.55,30.13,4412585,0
20140226,30.04,30.45,30.00,30.40,3647374,0
20140227,30.40,30.74,30.35,30.72,3778003,0
20140228,30.75,31.02,30.63,31.02,5186785,0
20140303,30.88,31.18,30.79,30.99,3534683,0
20140304,31.23,31.30,30.80,30.89,5502025,0
20140305,31.00,31.14,30.59,30.72,4399171,0
20140306,30.82,31.05,30.67,30.78,3617531,0
20140307,30.88,30.99,30.47,30.58,4421485,0
20140310,30.62,30.64,30.20,30.35,3902923,0
20140311,30.47,30.63,30.08,30.28,2641354,0
20140312,30.07,30.24,29.65,29.70,4363340,0
20140313,29.72,29.78,29.06,29.25,4090945,0
20140314,29.25,29.82,29.23,29.42,4021861,0
20140317,29.48,29.61,29.32,29.38,3837073,0
20140318,29.42,29.48,29.25,29.28,5453353,0
20140319,29.31,30.11,29.27,29.91,5692444,0
20140320,29.81,30.11,29.67,30.09,3672359,0
20140321,30.37,30.43,29.19,29.26,9668645,0
20140324,29.32,29.38,28.97,29.14,4632751,0
20140325,29.27,29.38,29.11,29.26,3181985,0
20140326,29.41,29.45,29.16,29.21,3914897,0
20140327,29.21,29.40,29.08,29.30,2987046,0
20140328,29.46,29.51,28.91,29.01,6398897,0
20140331,29.07,29.14,28.66,28.94,8689164,0
20140401,28.97,29.39,28.97,29.35,3657996,0
20140402,29.28,29.70,29.14,29.62,2341243,0
20140403,29.71,29.71,29.39,29.62,2896462,0
20140404,29.64,30.00,29.21,29.32,4963371,0
20140407,29.25,29.32,28.85,29.00,4073651,0
20140408,28.90,29.22,28.68,29.15,4744627,0
20140409,29.22,29.22,28.77,29.06,3631256,0
20140410,28.99,29.22,28.80,28.86,5372582,0
20140411,28.76,28.87,28.28,28.40,3185507,0
20140414,28.48,28.78,28.26,28.48,2559888,0
20140415,28.57,28.57,28.14,28.55,3231553,0
20140416,28.55,28.70,28.40,28.53,4220853,0
20140417,28.51,28.71,28.46,28.60,3425756,0
20140421,28.70,29.06,28.53,29.03,4437455,0
20140422,29.52,30.01,29.18,29.89,8353770,0
20140423,29.75,29.89,29.30,29.39,3803292,0
20140424,29.30,30.02,29.25,29.89,4412085,0
20140425,29.81,30.29,29.62,30.16,4864480,0
20140428,30.52,30.67,30.04,30.40,3704400,0
20140429,30.43,30.53,30.20,30.53,2531680,0
20140430,30.36,30.46,29.96,30.26,4116083,0
20140501,30.31,30.53,30.18,30.31,3206975,0
20140502,30.32,30.75,30.30,30.64,3042084,0
20140505,30.42,30.63,30.11,30.53,4425246,0
20140506,29.85,31.39,29.56,30.89,6532397,0
20140507,30.10,30.74,30.00,30.65,6810642,0
20140508,30.55,30.81,30.41,30.48,2687249,0
20140509,30.47,30.57,30.05,30.54,3339654,0
20140512,30.58,30.86,30.55,30.81,1970976,0
20140513,30.80,30.86,30.60,30.73,1932225,0
20140514,30.64,30.81,30.48,30.64,2253638,0
20140515,30.53,30.64,30.35,30.46,3104463,0
20140516,30.43,30.61,30.32,30.60,3058738,0
20140519,30.60,30.63,30.28,30.46,3671103,0
20140520,30.51,30.58,30.27,30.28,2538724,0
20140521,30.38,30.50,30.24,30.42,2421857,0
20140522,30.35,30.55,30.26,30.33,4522725,0
20140523,30.34,30.58,30.30,30.53,4085453,0
20140527,30.74,30.77,30.54,30.70,2395740,0
20140528,30.73,30.73,30.43,30.48,5791017,0
20140529,30.60,30.77,30.50,30.72,2610773,0
20140530,30.79,30.93,30.67,30.70,3076576,0
20140602,30.80,30.96,30.65,30.92,3561280,0
20140603,30.89,31.26,30.79,31.25,3323037,0
20140604,31.18,31.45,31.13,31.37,3349879,0
20140605,31.41,31.65,31.22,31.61,2784654,0
20140606,31.62,31.80,31.61,31.74,2524196,0
20140609,31.78,32.01,31.65,32.01,3194759,0
20140610,31.94,32.51,31.91,32.50,4639811,0
20140611,32.50,32.53,32.10,32.13,3600715,0
20140612,32.08,32.13,31.82,31.99,4298497,0
20140613,31.96,32.14,31.83,32.12,1904472,0
20140616,32.08,32.21,31.99,32.13,2197198,0
20140617,32.06,32.85,32.06,32.81,4407376,0
20140618,32.72,32.89,32.46,32.89,2482841,0
20140619,32.97,33.05,32.53,32.55,4062916,0
20140620,32.40,32.58,32.05,32.46,7836209,0
20140623,32.54,32.73,32.43,32.64,2513649,0
20140624,32.67,32.70,32.35,32.37,1772489,0
20140625,32.41,32.57,32.29,32.37,2751433,0
20140626,32.35,32.43,32.08,32.24,2240152,0
20140627,32.21,32.41,32.16,32.38,1435038,0
20140630,32.45,32.73,32.12,32.27,1852751,0
20140701,32.46,32.61,32.31,32.51,2263485,0
20140702,32.50,32.76,32.50,32.74,1850691,0
20140703,32.76,32.92,32.65,32.91,1370189,0
20140707,32.88,32.89,32.56,32.56,2087559,0
20140708,32.40,32.51,32.17,32.48,1846249,0
20140709,32.47,32.64,32.29,32.46,1339862,0
20140710,32.22,32.69,32.02,32.52,2003750,0
20140711,32.44,32.56,32.30,32.37,1422893,0
20140714,32.56,32.85,32.40,32.73,1900180,0
20140715,32.63,32.71,32.26,32.39,2496213,0
20140716,32.43,32.70,32.35,32.63,1768097,0
20140717,32.43,32.51,32.15,32.21,2154325,0
20140718,32.15,32.74,32.07,32.69,3261028,0
20140721,32.61,32.88,32.60,32.85,2513326,0
20140722,32.96,33.23,32.83,32.87,2590603,0
20140723,32.85,32.94,32.78,32.84,2078639,0
20140724,32.90,32.97,32.76,32.89,2007927,0
20140725,32.77,32.90,32.68,32.82,1579592,0
20140728,32.77,32.97,32.67,32.86,1627838,0
20140729,32.80,33.22,32.70,33.03,2994380,0
20140730,33.15,33.25,32.92,33.14,1800583,0
20140731,32.91,33.13,32.87,32.91,3002684,0
20140801,32.77,33.04,32.59,32.74,5381094,0
20140804,32.72,33.35,32.58,33.24,4676097,0
20140805,32.57,32.88,31.98,32.21,5935961,0
20140806,32.03,32.37,32.01,32.30,3163841,0
20140807,32.37,32.48,31.67,31.79,3747757,0
20140808,31.80,32.34,31.80,32.32,2191479,0
20140811,32.46,32.65,32.38,32.60,2282458,0
20140812,32.48,32.69,32.35,32.45,2837930,0
20140813,32.71,33.04,32.69,32.87,3729172,0
20140814,32.93,33.10,32.87,33.07,2562480,0
20140815,33.13,33.69,33.13,33.69,3842973,0
20140818,33.75,34.01,33.70,33.93,3459887,0
20140819,33.95,34.57,33.89,34.52,2922483,0
20140820,34.52,34.85,34.45,34.79,2720929,0
20140821,34.77,34.98,34.69,34.89,2041808,0
20140822,34.82,34.94,34.73,34.89,2300500,0
20140825,35.00,35.03,34.81,34.90,2417191,0
20140826,34.98,35.21,34.84,35.13,2956572,0
20140827,35.18,35.48,35.07,35.34,2746146,0
20140828,35.17,35.38,35.07,35.33,3760673,0
20140829,35.33,35.44,35.01,35.44,1190898,0
20140902,35.44,35.59,35.32,35.48,1654045,0
20140903,36.63,36.65,35.53,35.76,4220636,0
20140904,35.77,35.89,35.39,35.51,2383078,0
20140905,35.61,36.05,35.45,36.04,1602883,0
20140908,36.00,36.31,35.95,36.28,1913558,0
20140909,36.25,36.30,36.01,36.18,2832460,0
20140910,36.31,36.34,35.88,36.24,2287436,0
20140911,36.15,36.29,36.09,36.27,1768941,0
20140912,36.21,36.24,36.09,36.18,1920161,0
20140915,36.25,36.32,36.13,36.27,2164630,0
20140916,36.28,36.55,36.20,36.49,2252994,0
20140917,36.54,36.68,36.34,36.65,2525609,0
20140918,36.74,37.08,36.63,36.70,2336323,0
20140919,36.84,37.31,36.84,37.20,6105052,0
20140922,37.22,37.30,36.50,36.62,4951128,0
20140923,36.31,36.49,35.85,35.88,4421779,0
20140924,35.99,36.63,35.95,36.58,4714096,0
20140925,36.57,36.59,36.12,36.30,2061965,0
20140926,36.36,36.75,36.19,36.63,2124766,0
20140929,36.30,36.81,36.17,36.79,2075649,0
20140930,37.05,37.11,36.77,36.95,3412903,0
20141001,36.87,37.01,36.23,36.45,5508285,0
20141002,36.58,36.97,36.46,36.91,3670179,0
20141003,36.87,37.72,36.87,37.67,5948543,0
20141006,37.81,37.97,37.60,37.66,2693668,0
20141007,37.40,37.56,36.62,36.71,8116899,0
20141008,36.80,37.57,36.63,37.55,3565702,0
20141009,37.49,37.63,36.90,37.02,4336710,0
20141010,37.02,37.30,36.64,36.68,3689339,0
20141013,36.67,36.67,35.53,35.57,6677195,0
20141014,35.83,36.16,35.46,35.87,3078656,0
20141015,35.36,35.39,34.16,35.26,7155794,0
20141016,34.74,35.52,34.18,35.07,4181274,0
20141017,35.40,35.60,34.95,35.37,3438534,0
20141020,35.37,35.69,35.31,35.41,2543453,0
20141021,35.57,36.18,35.54,36.09,4772831,0
20141022,36.06,36.34,35.88,35.89,2263456,0
20141023,35.80,36.45,35.47,36.11,2925838,0
20141024,36.20,36.60,36.10,36.58,1418378,0
20141027,36.60,36.78,36.49,36.57,2511405,0
20141028,36.66,37.02,36.51,37.01,1533402,0
20141029,36.88,36.94,36.31,36.62,2271776,0
20141030,36.63,37.40,36.55,37.32,2137901,0
20141031,37.74,37.91,37.05,37.16,2589530,0
20141103,37.08,37.82,37.02,37.72,4071275,0
20141104,38.01,39.12,38.01,39.12,9723740,0
20141105,39.29,39.41,38.76,39.27,11878891,0
20141106,39.35,39.72,39.27,39.71,4457084,0
20141107,39.65,40.30,39.62,40.23,6818977,0
20141110,40.30,40.34,40.03,40.16,7530110,0
20141111,40.16,44.13,39.92,43.72,20246313,0
20141112,43.90,43.96,42.56,42.64,21414898,0
20141113,42.66,43.29,42.61,43.24,6151288,0
20141114,43.19,43.45,42.86,43.14,2689490,0
20141117,43.86,44.43,42.98,44.23,9537394,0
20141118,44.88,44.94,43.03,44.19,12181375,0
20141119,44.33,44.38,43.21,43.40,7031136,0
20141120,42.91,43.25,42.71,43.15,5091131,0
20141121,43.48,43.87,42.85,43.87,5192498,0
20141124,44.09,44.93,43.83,44.58,4179357,0
20141125,44.58,44.72,43.87,43.91,3589015,0
20141126,44.27,44.70,43.87,44.67,2131385,0
20141128,44.75,45.09,44.75,44.93,1332156,0
20141201,45.20,45.24,44.26,44.37,3153115,0
20141202,44.37,44.95,44.28,44.74,2500597,0
20141203,44.74,45.01,44.39,44.88,2008310,0
20141204,44.79,44.90,43.85,44.00,4294633,0
20141205,43.97,44.46,43.83,43.98,3313964,0
20141208,44.20,44.39,43.87,44.10,5889345,0
20141209,43.18,44.49,42.74,43.82,5516141,0
20141210,43.85,44.20,42.70,42.77,4398000,0
20141211,42.97,43.50,42.76,42.88,4942195,0
20141212,42.72,43.09,41.74,41.77,4050331,0
20141215,42.25,42.49,41.34,41.74,5947406,0
20141216,41.65,42.01,40.83,40.85,4606599,0
20141217,41.08,41.43,40.83,41.13,7628313,0
20141218,41.84,43.15,41.79,43.15,6578062,0
20141219,43.03,43.73,42.63,43.51,5601641,0
20141222,43.57,43.78,42.95,43.41,1921541,0
20141223,43.60,43.73,42.76,42.97,2612498,0
20141224,43.06,43.99,43.00,43.84,1300640,0
20141226,43.80,44.28,43.80,44.20,1518039,0
20141229,44.02,44.23,43.85,44.01,2007239,0
20141230,43.98,44.10,43.09,43.35,2251147,0
20141231,43.46,43.88,43.00,43.03,2148909,0
20150102,43.46,43.70,43.06,43.31,1784851,0
20150105,43.25,43.63,42.97,43.05,3116681,0
20150106,43.15,43.36,42.29,42.63,3987015,0
20150107,43.00,43.56,42.98,43.51,2481935,0
20150108,44.75,44.87,44.00,44.18,3121258,0
20150109,44.06,44.44,43.68,44.25,2999107,0
20150112,44.34,44.34,43.28,43.42,2168274,0
20150113,43.89,44.22,42.57,42.81,3668576,0
20150114,42.50,43.23,42.29,43.03,2481327,0
20150115,43.27,43.77,42.90,42.94,2719250,0
20150116,42.80,44.29,42.77,44.22,2761564,0
20150120,44.20,44.20,43.22,43.56,3471042,0
20150121,43.57,44.63,43.44,44.25,1991904,0
20150122,44.35,44.82,43.65,44.51,2914674,0
20150123,44.52,44.80,43.97,44.12,2885511,0
20150126,44.04,44.31,43.85,44.09,1926811,0
20150127,43.60,43.90,43.21,43.30,3008263,0
20150128,43.73,44.29,43.07,43.11,2425148,0
20150129,43.05,43.67,42.56,43.32,4927327,0
20150130,43.18,43.56,42.64,42.73,3146933,0
20150202,43.03,43.38,42.37,43.38,2136733,0
20150203,43.51,43.81,43.20,43.50,4910840,0
20150204,43.86,44.04,43.22,43.46,5102908,0
20150205,43.55,44.08,43.12,43.40,3470904,0
20150206,43.44,44.24,43.28,43.66,5408025,0
20150209,43.50,43.66,42.66,42.87,4467136,0
20150210,43.13,44.01,42.81,43.91,4112336,0
20150211,44.88,46.12,44.88,45.77,7071088,0
20150212,47.24,47.40,45.26,45.79,6989570,0
20150213,44.74,45.50,44.36,45.46,6413282,0
20150217,45.55,46.24,45.45,46.20,4055844,0
20150218,46.11,46.43,45.82,45.85,3276876,0
20150219,45.83,46.00,45.49,45.65,2928791,0
20150220,45.70,45.89,45.11,45.60,3713002,0
20150223,45.71,45.93,45.21,45.58,2664458,0
20150224,45.65,45.79,45.28,45.40,1869770,0
20150225,45.55,45.97,45.39,45.72,2958773,0
20150226,45.83,46.69,45.80,46.62,4902993,0
20150227,46.54,46.88,46.04,46.09,5555462,0
20150302,46.55,47.61,46.55,47.31,5261715,0
20150303,47.28,47.34,46.34,46.54,2256151,0
20150304,46.40,46.49,45.86,46.23,3293014,0
20150305,46.69,46.83,45.99,46.46,2327567,0
20150306,46.30,46.53,45.67,45.78,3486498,0
20150309,45.87,46.96,45.48,46.29,3758563,0
20150310,46.13,46.28,45.68,45.70,2189462,0
20150311,45.88,46.58,45.73,46.01,3245036,0
20150312,46.31,46.87,46.14,46.84,2276543,0
20150313,46.86,46.86,46.02,46.45,2487056,0
20150316,46.71,47.03,46.55,46.98,2519822,0
